author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
mrclydepratt,It is the mark of an educated mind to be able to entertain a thought without accepting it.,United States,English,2015-01-06 17:01:00,2015-01-06 17:02:00,74,74,3,,0
mrclydepratt,"Every run counts. Every bit of junk food hurts. Do a few pushups. Run another minute. No mercy, it's not a game, it's your life.",United States,English,2015-01-06 17:02:00,2015-01-06 17:02:00,74,74,5,,0
mrclydepratt,Good Words won't cover up Ugly Actions.,United States,English,2015-01-06 17:06:00,2015-01-06 17:06:00,74,74,8,,0
mrclydepratt,If the music is too loud then you're too old,United States,English,2015-01-06 17:08:00,2015-01-06 17:08:00,74,74,9,,0
mrclydepratt,"Set me free, leave me be. I don't wanna fall another moment into your gravity.",United States,English,2015-01-06 17:09:00,2015-01-06 17:10:00,74,74,10,,0
mrclydepratt,Bad luck either destroys you...,United States,English,2015-01-06 17:11:00,2015-01-06 17:11:00,74,74,11,,0
mrclydepratt,"It was beautiful and simple, as truly great swindles are.",United States,English,2015-01-06 17:14:00,2015-01-06 17:14:00,74,74,12,,0
mrclydepratt,Everybody gets so much information all day long that they lose their common sense.,United States,English,2015-01-06 17:15:00,2015-01-06 17:15:00,74,74,15,,0
mrclydepratt,Sometimes the right path is not the easiest one. –Grandmother Willow (Pocahontas),United States,English,2015-01-06 17:15:00,2015-01-06 17:15:00,74,74,16,,0
mrclydepratt,#TheSocialNetwork #MarkZuckerberg: A guy who builds... #movie #moviequotes #quote #quotes,United States,English,2015-01-06 17:17:00,2015-01-06 17:17:00,74,74,17,,0
mrclydepratt,Don’t judge each day by the harvest you reap but by the seeds you plant,United States,English,2015-01-06 17:18:00,2015-01-06 17:18:00,74,74,18,,0
mrclydepratt,when u gotta get up early and you sit on the bed for 20 minutes like,United States,English,2015-01-06 17:18:00,2015-01-06 17:19:00,74,74,19,,0
mrclydepratt,Success is the ability to deal with failure without losing enthusiasm.,United States,English,2015-01-06 17:21:00,2015-01-06 17:21:00,74,74,20,,0
mrclydepratt,"If you don't like her, that means you have problem.",United States,English,2015-01-06 17:22:00,2015-01-06 17:23:00,74,74,22,,0
mrclydepratt,"When it is obvious that the goals cannot be reached, don't adjust the goals, adjust the action steps.  – Confucius",United States,English,2015-01-06 17:23:00,2015-01-06 17:23:00,74,74,22,,0
mrclydepratt,The happiness of your life depends upon the quality of your thoughts.,United States,English,2015-01-06 17:25:00,2015-01-06 17:25:00,74,74,24,,0
mrclydepratt,"It came to me that reform should begin at home, and since that day I have not had time to remake the world.",United States,English,2015-01-06 17:27:00,2015-01-06 17:28:00,74,74,25,,0
mrclydepratt,I love Mickey Mouse more than any woman I have ever known.,United States,English,2015-01-06 17:28:00,2015-01-06 17:29:00,74,74,27,,0
mrclydepratt,Keep your dream alive. Dreaming is still how the strong survive. –Oliver and Company,United States,English,2015-01-06 17:29:00,2015-01-06 17:29:00,74,74,27,,0
mrclydepratt,"Just once, I wish we would encounter an alien menace that wasn't immune to bullets.",United States,English,2015-01-06 17:30:00,2015-01-06 17:30:00,74,74,29,,0
