author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
musallimmahmud1,“#Messi the only player who can win the #BallondOr.” - Lothar Matthaus. Read more here: http://t.co/C0vPENqPzp http://t.co/gIZru2nobS,Unknown,English,2015-10-16T13:12:00,2015-10-16T13:12:00,8.0000000000,0E-10,1.0000000000,R,True
musallimmahmud1,"Injury-hit @realmadriden, @FCBarcelona eye return to summit @LaLiga http://t.co/anJ5nYcGkx http://t.co/5LzURhqQ2M",Unknown,English,2015-10-16T13:12:00,2015-10-16T13:12:00,8.0000000000,0E-10,2.0000000000,R,True
musallimmahmud1,Spanish legend #Raul has announced he will retire at the end of the @NYCosmos' #NASL season  http://t.co/yH8vMACqPz http://t.co/uRp0Uy5iL1,Unknown,English,2015-10-16T13:12:00,2015-10-16T13:12:00,8.0000000000,0E-10,3.0000000000,R,True
musallimmahmud1,Russian Navy can strike ISIS positions in Syria anytime – general — RT News https://t.co/OvB6PUwhXD,Israel,English,2015-10-16T14:19:00,2015-10-16T14:19:00,8.0000000000,2.0000000000,5.0000000000,R,True
musallimmahmud1,#Merkel will Engagement zur Beendigung des #Syrien-Kriegs verstärken http://t.co/GEgLJabz7E,Israel,German,2015-10-17T06:23:00,2015-10-17T06:23:00,8.0000000000,2.0000000000,6.0000000000,R,True
musallimmahmud1,#Syrien-Konflikt - Steinmeier zu Besuch bei #Assads iranischen Freunden http://t.co/8fFArtPg64,Israel,German,2015-10-17T08:45:00,2015-10-17T08:45:00,8.0000000000,3.0000000000,7.0000000000,R,True
musallimmahmud1,#SyrianArmy attacks rebels with Iranian support  http://t.co/8oMQ8a3kYW http://t.co/JULSL8WneT,Israel,English,2015-10-19T12:53:00,2015-10-19T12:54:00,8.0000000000,3.0000000000,8.0000000000,R,True
musallimmahmud1,"Syrian Army and Russian Air Force kill terrorists’ leaders, destroy their vehicles and positions http://t.co/MFQt7vTCQH",Israel,English,2015-10-19T13:00:00,2015-10-19T13:01:00,8.0000000000,3.0000000000,10.0000000000,R,True
musallimmahmud1,Report Finds Global Islamic State Attacks Spike in 3rd Quarter https://t.co/n895qCkc94,Israel,English,2015-10-22T08:19:00,2015-10-22T08:19:00,8.0000000000,3.0000000000,11.0000000000,R,True
musallimmahmud1,The army establishes control over Kafr Obeid village in Aleppo https://t.co/BjdA80zV09,Israel,English,2015-10-22T12:56:00,2015-10-22T12:56:00,8.0000000000,3.0000000000,12.0000000000,R,True
musallimmahmud1,#Syrien-Konflikt: #Russland ruft arabische Staaten und #Iran zur Kooperation auf https://t.co/DvSOjo4URS,Israel,German,2015-10-23T08:22:00,2015-10-23T08:22:00,8.0000000000,3.0000000000,13.0000000000,R,True
