author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
NovostiPermi,"Электропоезд ""Пермь-Екатеринбург"" готовят к запуску http://t.co/Wq2Ts1afJY",Unknown,LANGUAGE UNDEFINED,2015-09-22 11:41:00,2015-09-22 11:41:00,0,0,3,,0
NovostiPermi,На дороге Пермь - Усть-Качка насмерть сбита женщина http://t.co/cTL2agQf2o,Unknown,Russian,2015-09-23 07:04:00,2015-09-23 07:04:00,0,0,5,,0
NovostiPermi,"""Амкар"" обыграл ""Спартак-Нальчик"" в матче 1/16 Кубка России http://t.co/5gJNkwNNrn",Unknown,Russian,2015-09-24 18:42:00,2015-09-24 18:42:00,0,0,15,,0
NovostiPermi,«Миссис Пермь – 2015»: красоте все возрасты покорны http://t.co/mKhpUH9hMZ http://t.co/Bp2mqXI9fx,Unknown,Russian,2015-09-25 10:40:00,2015-09-25 10:40:00,0,0,19,,0
NovostiPermi,"Песню Nirvana признали самым идеальным хитом, с помощью компьютерного анализа http://t.co/R8MV0BbElq http://t.co/qrJpAsGggx",Unknown,Russian,2015-09-28 10:38:00,2015-09-28 10:38:00,299,7,27,,0
NovostiPermi,Екатеринбург и Пермь свяжет скоростная электричка http://t.co/T9zqIwWKH4 http://t.co/l8jaGWNEWh,Unknown,Russian,2015-09-28 16:58:00,2015-09-28 16:58:00,299,8,30,,0
NovostiPermi,"С 1 октября по маршруту ""Пермь-Екатеринбург"" будет курсировать электропоезд ""Парма"" http://t.co/DHfxmDu2f0",Unknown,Russian,2015-09-29 06:21:00,2015-09-29 06:22:00,299,8,32,,0
NovostiPermi,Мэром Соликамска стал Игорь Давлетшин http://t.co/xRb3QCVmMW,Unknown,Uzbek,2015-10-01 13:32:00,2015-10-01 13:33:00,299,7,45,,0
NovostiPermi,В Skype появился сервис перевода разговора в реальном времени http://t.co/fDK5up0OTH http://t.co/j30nbCdV1U,Unknown,Russian,2015-10-02 09:58:00,2015-10-02 09:58:00,299,8,47,,0
NovostiPermi,"Бренд ""Пермь Великая"" стал лидером конкурса ""Туристский бренд: лучшие практики 2015"" http://t.co/fpwDWpiNZV",Unknown,Russian,2015-10-07 08:18:00,2015-10-07 08:18:00,299,8,61,,0
NovostiPermi,Пермь от снега будут чистить 172 снегоуборочных машины http://t.co/SfBZuknRhx,Unknown,Russian,2015-10-08 17:29:00,2015-10-08 17:29:00,298,9,70,,0
NovostiPermi,"На трассе Пермь-Екатеринбург ""Рено-Логан"" угодил под грузовик ""МАЗ"" http://t.co/nEcuG8vgAW",Unknown,Uzbek,2015-10-11 11:59:00,2015-10-11 11:59:00,298,11,80,,0
