author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
NovostiSmr,Николай Меркушкин и Олег Дерипаска обсудили проект выпуска Ил-114 в Самаре http://t.co/8fQ4Ahc6Bo,Azerbaijan,Russian,2015-06-20 07:27:00,2015-06-20 07:29:00,490,46300,3244,,0
NovostiSmr,Появилось фото Lada Vesta  с открытым капотом http://t.co/MA7CmT1c39,Azerbaijan,Russian,2015-06-22 06:13:00,2015-06-22 06:13:00,491,46256,3261,,0
NovostiSmr,В Самаре площадь Революции закрыли из-за начавшейся реконструкции  http://t.co/I6Dfo4hj4M http://t.co/KGBDL0CgBU,Azerbaijan,Russian,2015-06-22 09:55:00,2015-06-22 09:55:00,491,46256,3270,,0
NovostiSmr,Apple зарегистрировала патент на новый композитный материал http://t.co/fAoGed7M0M,Azerbaijan,Russian,2015-06-22 11:32:00,2015-06-22 11:32:00,491,46253,3275,,0
NovostiSmr,АвтоВАЗ может выпустить Lada Vesta Cross http://t.co/LBKwj2wZLO,Azerbaijan,Russian,2015-06-22 13:04:00,2015-06-22 13:04:00,491,46251,3279,,0
NovostiSmr,Россияне стали стали более рациональными в кризис http://t.co/zqqI5OfhpZ,Azerbaijan,Russian,2015-06-22 14:09:00,2015-06-22 14:11:00,491,46250,3281,,0
NovostiSmr,АвтоВАЗ возобновляет производство http://t.co/jKT9igqX6B,Azerbaijan,Russian,2015-06-23 06:52:00,2015-06-23 06:52:00,490,46231,3288,,0
NovostiSmr,Самарская область получит 80 млн. рублей на улучшение лекарственного обеспечения граждан http://t.co/uhnhOAlZrk,Azerbaijan,Russian,2015-06-23 07:04:00,2015-06-23 07:04:00,490,46231,3289,,0
NovostiSmr,"Большинство жительниц Самары выходит замуж в 22-25 лет, мужчины женятся до 27  http://t.co/YYCPVYhd2P http://t.co/6hAuwmYGoG",Azerbaijan,Russian,2015-06-23 13:43:00,2015-06-23 13:43:00,490,46229,3303,,0
NovostiSmr,Куда исчезают более 1 млн тонн отходов АвтоВАЗа http://t.co/Ow6BxMRidl,Azerbaijan,Russian,2015-06-24 05:38:00,2015-06-24 05:38:00,491,46219,3306,,0
NovostiSmr,АвтоВАЗ продает свою долю в Тольяттинском заводе автоагрегатов http://t.co/bvdlfNu8Qt,Azerbaijan,Russian,2015-06-24 06:22:00,2015-06-24 06:22:00,491,46219,3308,,0
NovostiSmr,АвтоВАЗ продает поставщика http://t.co/bmgC5RVPH1,Azerbaijan,Russian,2015-06-24 08:03:00,2015-06-24 08:03:00,491,46219,3312,,0
NovostiSmr,"В Самаре ищут девушку,которая перед пропажей созвонилась со знакомым и кричала «Помогите!»  http://t.co/IkrxteoyBW http://t.co/DSlwWi4znQ",Azerbaijan,Russian,2015-06-24 09:13:00,2015-06-24 09:13:00,491,46218,3315,,0
NovostiSmr,20-летний самарец задержан за кражу еды и 7000 рублей из кафе http://t.co/1FC3MXkJzy,Azerbaijan,Russian,2015-06-24 09:25:00,2015-06-24 09:25:00,491,46218,3316,,0
NovostiSmr,"""Джи Эм АвтоВАЗ"" будет работать по четыре дня http://t.co/f3SCat3VdJ",Azerbaijan,Russian,2015-06-24 11:27:00,2015-06-24 11:27:00,491,46215,3322,,0
NovostiSmr,В Совете директоров АвтоВАЗа прибавление http://t.co/Pl7NjmCRDa,Azerbaijan,Russian,2015-06-26 06:12:00,2015-06-26 06:12:00,491,46778,3358,,0
NovostiSmr,"АвтоВАЗ ""утилизировал"" 53 тыс. машин http://t.co/2Z88mdYxam",Azerbaijan,Russian,2015-06-26 07:54:00,2015-06-26 07:54:00,491,46788,3362,,0
NovostiSmr,Самарская Фабрика-кухня получит на реконструкцию 400 млн рублей от Минфина http://t.co/H5px7JZwf2,Azerbaijan,Russian,2015-06-26 08:10:00,2015-06-26 08:10:00,491,46789,3363,,0
NovostiSmr,В Самарской области будут судить мошенника-альфонса из Удмуртии http://t.co/ruBbTw170O,Azerbaijan,Russian,2015-06-26 09:35:00,2015-06-26 09:37:00,491,46787,3366,,0
NovostiSmr,АвтоВАЗ не будет выплачивать дивиденды http://t.co/CxZD5pwuRl,Azerbaijan,Russian,2015-06-26 11:01:00,2015-06-26 11:01:00,491,46788,3370,,0
NovostiSmr,В самарском Струковском саду состоится костюмированный бал  http://t.co/nl9f5Pc1VA http://t.co/AdbtjbSrsh,Azerbaijan,Russian,2015-06-26 11:21:00,2015-06-26 11:22:00,491,46788,3371,,0
NovostiSmr,В Госдуме предлагают ввести контрсанкции против Coca-Cola и Pepsi http://t.co/2MhOov1HHC,Azerbaijan,Russian,2015-06-26 11:57:00,2015-06-26 11:58:00,491,46787,3373,,0
NovostiSmr,В России «Макдоналдс» ввел Wi-Fi по паспорту http://t.co/HphMbz7w3b,Azerbaijan,Russian,2015-06-26 14:36:00,2015-06-26 14:36:00,491,46787,3377,,0
NovostiSmr,Водитель Chevrolet уснул за рулем и врезался в МАЗ: 2 человека погибли http://t.co/u5S43CvtUE,Azerbaijan,Russian,2015-06-27 14:19:00,2015-06-27 14:19:00,492,46775,3391,,0
NovostiSmr,"В Самаре столкнулись «Хонда» и «Приора»: пострадали 7 человек, есть фото http://t.co/4osUHe4H4w",Azerbaijan,Russian,2015-06-27 19:34:00,2015-06-27 19:34:00,492,46775,3392,,0
NovostiSmr,В Самарской области столкнулись «Daewoo» и «Volkswagen»: пострадали 4 человека http://t.co/83VwwvXDcQ,Azerbaijan,Russian,2015-06-28 08:32:00,2015-06-28 08:33:00,492,46771,3395,,0
NovostiSmr,Продавцы Леруа Мерлен Самара устроили флеш-моб прямо в магазине http://t.co/imBQYiUMIX,Azerbaijan,Russian,2015-06-28 09:34:00,2015-06-28 09:34:00,492,46772,3396,,0
NovostiSmr,"Ян Муха покинул ""Крылья Советов"" http://t.co/KDOxTIJ61R",Azerbaijan,Russian,2015-06-29 05:53:00,2015-06-29 05:53:00,492,46896,3402,,0
NovostiSmr,"Клиенты ""Билайн"" Бизнес первыми в России смогут приобрести новую модель SIP-DECT телефона от Panasonic http://t.co/W1iMfkAvyw",Azerbaijan,Russian,2015-06-29 07:47:00,2015-06-29 07:47:00,492,46897,3407,,0
NovostiSmr,Проект создания Chevrolet Niva-2 могут возобновить http://t.co/h011SBYHaO,Azerbaijan,Russian,2015-06-29 11:15:00,2015-06-29 11:15:00,492,46899,3414,,0
NovostiSmr,Vueling начала летать из Самары в Барселону http://t.co/h2Rmm6ne9S,Azerbaijan,Russian,2015-06-29 11:28:00,2015-06-29 11:28:00,492,46899,3415,,0
NovostiSmr,Самарские спортсмены по итогам I Европейских игр завоевали 9 медалей http://t.co/wmPulstOX9 http://t.co/zbNE8cbFH3,Azerbaijan,Russian,2015-06-29 13:00:00,2015-06-29 13:00:00,492,46898,3419,,0
NovostiSmr,"Банк ""Солидарность"" увеличил капитал на 1000% http://t.co/c0syXV7NOT",Azerbaijan,Russian,2015-06-29 13:41:00,2015-06-29 13:41:00,492,46896,3422,,0
NovostiSmr,Интернет-библиотека «Флибуста» заблокирована Роскомнадзором http://t.co/CfPnQP6cC2,Azerbaijan,Russian,2015-06-29 14:41:00,2015-06-29 14:41:00,492,46896,3424,,0
NovostiSmr,АвтоВАЗ намерен занять 30% российского рынка автомобилей http://t.co/OdGh5wgDPE,Azerbaijan,Russian,2015-06-30 07:28:00,2015-06-30 07:28:00,492,46944,3433,,0
NovostiSmr,Мария Шарапова попала в топ-100 богатейших знаменитостей по версии Forbes http://t.co/mRnhjSFqP9,Azerbaijan,Bulgarian,2015-06-30 09:02:00,2015-06-30 09:02:00,492,46946,3437,,0
NovostiSmr,«Роснефть» купила «САНОРС» за $300 млн http://t.co/mZsUq13zjD,Azerbaijan,Ukrainian,2015-06-30 10:26:00,2015-06-30 10:26:00,492,46946,3440,,0
NovostiSmr,Lada предпочитают больше в Москве и Московской области http://t.co/4yQiATdhvY,Azerbaijan,Russian,2015-06-30 11:03:00,2015-06-30 11:03:00,526,46946,3441,,0
NovostiSmr,Из-за аномальной жары в Самаре могут сократить рабочий день http://t.co/WXBqfnIxCm http://t.co/GF54AkK0ag,Azerbaijan,Russian,2015-06-30 13:00:00,2015-06-30 13:00:00,791,46950,3445,,0
NovostiSmr,Nissan опроверг данные о выпуске новых моделей на ИжАвто http://t.co/wyNpB86x3T,Azerbaijan,Russian,2015-06-30 20:05:00,2015-06-30 20:05:00,789,46951,3452,,0
NovostiSmr,МВФ официально подтвердил: В Греции - дефолт http://t.co/bFlv3lIFHE,Azerbaijan,Russian,2015-07-01 07:42:00,2015-07-01 07:43:00,788,46950,3458,,0
NovostiSmr,"""Аком"" хочет построить завод за 1,2 млрд рублей http://t.co/Q32AqoYXzh",Azerbaijan,Russian,2015-07-01 09:36:00,2015-07-01 09:37:00,787,46948,3463,,0
NovostiSmr,"У ""Джи Эм АвтоВАЗ"" новый совет директоров http://t.co/9wvBpbz7pG",Azerbaijan,Russian,2015-07-01 11:27:00,2015-07-01 11:27:00,787,46948,3466,,0
NovostiSmr,В начале осени Skoda Superb третьего поколения появится в России http://t.co/TeryRFFm6N,Azerbaijan,Russian,2015-07-01 12:05:00,2015-07-01 12:05:00,787,46948,3467,,0
NovostiSmr,Задержание Владимира Сюсина: новые подробности http://t.co/aPl0ncotIa,Azerbaijan,Russian,2015-07-01 12:36:00,2015-07-01 12:37:00,787,46949,3469,,0
NovostiSmr,В «Парк Хаусе» детям бесплатно покажут спектакль «Гуси-лебеди» и устроят праздник  http://t.co/Xv4rqaSLoT http://t.co/FvsOuczlRI,Azerbaijan,Russian,2015-07-01 13:00:00,2015-07-01 13:00:00,787,46949,3470,,0
NovostiSmr,Самарские пешеходы не хотят светиться на загородных трассах  http://t.co/NYMIBcdH1m http://t.co/HyFCm4u3jo,Azerbaijan,Russian,2015-07-01 16:00:00,2015-07-01 16:00:00,786,46951,3476,,0
NovostiSmr,Смартфоны и интернет негативно влияют на память человека http://t.co/eWQz0Z05km,Azerbaijan,Russian,2015-07-02 08:13:00,2015-07-02 08:13:00,786,46951,3487,,0
NovostiSmr,Mitsubishi сократит производство в РФ более чем вдвое http://t.co/bJhhFJ25SH,Azerbaijan,Russian,2015-07-02 16:25:00,2015-07-02 16:25:00,786,46947,3501,,0
NovostiSmr,YotaPhone 2 начал продаваться в сетях «МегаФона» http://t.co/X65GWURMbH,Azerbaijan,Russian,2015-07-02 17:54:00,2015-07-02 17:54:00,786,46946,3502,,0
NovostiSmr,"""Крылья Советов"" лишились форварда http://t.co/1faE56ziXL",Azerbaijan,Uzbek,2015-07-03 05:58:00,2015-07-03 05:59:00,786,46940,3505,,0
NovostiSmr,Немецкие ученые встроят в смартфон тест на диабет и беременность http://t.co/6xrxExaulX,Azerbaijan,Russian,2015-07-03 12:15:00,2015-07-03 12:15:00,786,46937,3521,,0
NovostiSmr,В Самарской области стартовал Грушинский фестиваль http://t.co/1bi9KIvfX4 http://t.co/5sLgQkXrJu,Azerbaijan,Russian,2015-07-03 16:00:00,2015-07-03 16:00:00,786,46935,3527,,0
NovostiSmr,Casio выпустит смарт-часы в марте 2016 года http://t.co/MdTj285DFC,Azerbaijan,Russian,2015-07-03 16:30:00,2015-07-03 16:30:00,786,46935,3529,,0
NovostiSmr,"Учёные: Вселенная оказалась более пустой, чем предполагалось http://t.co/frjzuncQpg",Azerbaijan,Russian,2015-07-04 10:39:00,2015-07-04 10:40:00,786,46926,3533,,0
