author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
nikaafanchik,Банк с филиалом в Нижнем Новгороде лишился лицензии http://t.co/gydAzwijFa,Unknown,Russian,2015-07-03T11:32:00,2015-07-03T11:32:00,1951.0000000000,307.0000000000,1987.0000000000,R,True
nikaafanchik,"Сделали с Airbnb дико классную игру — нужно по фотке понять, где находится квартира   https://t.co/kxEzJSgfYY http://t.co/4HxLwO8dTX",Unknown,Russian,2015-07-15T11:52:00,2015-07-15T11:52:00,1445.0000000000,305.0000000000,1994.0000000000,R,True
nikaafanchik,UPD. Путин и Обама дали высокую оценку результатам завершившихся переговоров по Ирану  http://t.co/hFujMRfdK1,Unknown,Russian,2015-07-15T21:31:00,2015-07-15T21:31:00,1445.0000000000,306.0000000000,1996.0000000000,R,True
nikaafanchik,"Лидер обвиняемой в 14 убийствах ""банды Федоровича"" приговорен к 22 годам строгого режима http://t.co/PlgOZ1VMnL",Unknown,Russian,2015-07-16T07:53:00,2015-07-16T07:53:00,1445.0000000000,306.0000000000,1997.0000000000,R,True
nikaafanchik,Московских полицейских обязали фотографировать квартиры подчиненных. Еще селфи давайте делайте   https://t.co/2HpEtIJYmS,Unknown,Russian,2015-07-16T07:54:00,2015-07-16T07:56:00,1445.0000000000,306.0000000000,1998.0000000000,R,True
nikaafanchik,Бышовец: Аршавин и Павлюченко могут вернуться в сборную России http://t.co/SUh9z2jfgQ,Unknown,Russian,2015-07-16T08:34:00,2015-07-16T08:34:00,1445.0000000000,306.0000000000,1999.0000000000,R,True
nikaafanchik,Бесперспективно. https://t.co/trTrhFdhyI,Unknown,Russian,2015-07-16T10:19:00,2015-07-16T10:19:00,1445.0000000000,306.0000000000,2001.0000000000,R,True
nikaafanchik,"Женщины предпочитают дарить подругам парфюм, запах которого не нравится им самим http://t.co/qj9YCCTu0g",Unknown,Russian,2015-07-17T12:31:00,2015-07-17T12:31:00,1445.0000000000,307.0000000000,2006.0000000000,R,True
nikaafanchik,Генпрокуратура ДНР обнародовала документы по крушению Boeing #новости http://t.co/CsLba7yeUL,Unknown,Russian,2015-07-17T13:34:00,2015-07-17T13:34:00,1445.0000000000,307.0000000000,2007.0000000000,R,True
nikaafanchik,Минобрнауки рассмотрит возможность сдавать девятиклассникам ЕГЭ по базовой математике http://t.co/jk0EgmkK9W,Unknown,Russian,2015-07-17T18:11:00,2015-07-17T18:11:00,1445.0000000000,307.0000000000,2009.0000000000,R,True
nikaafanchik,США отказываются комментировать расследование крушения Boeing на Украине http://t.co/Koj9bJWIOf,Unknown,Russian,2015-07-18T03:11:00,2015-07-18T03:11:00,1445.0000000000,307.0000000000,2011.0000000000,R,True
nikaafanchik,"Два БикМака и БигТейсти влетели, да. Теперь я не хочу в Макдональдс. Ура, я снова патриот!",Unknown,Ukrainian,2015-07-18T11:52:00,2015-07-18T11:52:00,1446.0000000000,307.0000000000,2012.0000000000,R,True
nikaafanchik,Ради #Саакашвили #Гайдар станет украинкой.   http://t.co/ffEh8qIzen http://t.co/OSAiF9DAxj,Unknown,Ukrainian,2015-07-18T14:13:00,2015-07-18T14:13:00,1446.0000000000,307.0000000000,2015.0000000000,R,True
nikaafanchik,В ДНР заявили об обстреле Горловки http://t.co/61bTRpdXZu,Unknown,Russian,2015-07-19T18:52:00,2015-07-19T18:52:00,1445.0000000000,306.0000000000,2020.0000000000,R,True
nikaafanchik,"«Не могу понять, почему Россия отказалась от вето» http://t.co/eZ73NRtJSX http://t.co/X5LJj7Lc21",Unknown,Russian,2015-07-20T12:12:00,2015-07-20T12:12:00,1445.0000000000,307.0000000000,2025.0000000000,R,True
nikaafanchik,"Интерактивный памятник Левитану во Владимире может ""замолчать"" из-за отключения интернета http://t.co/zOyXXdmH8z",Unknown,Russian,2015-07-20T12:34:00,2015-07-20T12:34:00,1445.0000000000,307.0000000000,2027.0000000000,R,True
nikaafanchik,Польша и Голландия запустят русскоязычный телеканал для противодействия «пропаганде» России: http://t.co/ef6P7kCdCt,Unknown,Russian,2015-07-20T16:53:00,2015-07-20T16:53:00,1445.0000000000,306.0000000000,2028.0000000000,R,True
nikaafanchik,Доходы Huawei выросли на 30% в первом полугодии http://t.co/8VY35hx1bM,Unknown,Russian,2015-07-20T20:31:00,2015-07-20T20:31:00,1445.0000000000,306.0000000000,2030.0000000000,R,True
nikaafanchik,Вице-президента США укусила собственная собака: http://t.co/faapcMuwuc через @gazetaru,Unknown,Russian,2015-07-21T02:11:00,2015-07-21T02:11:00,1445.0000000000,306.0000000000,2031.0000000000,R,True
nikaafanchik,Монахини не дают Кэти Перри купить монастырь http://t.co/wy0wdogUz7 http://t.co/huKzEPvIyG,Unknown,Ukrainian,2015-07-21T16:31:00,2015-07-21T16:31:00,1445.0000000000,305.0000000000,2032.0000000000,R,True
nikaafanchik,Сегодня в 22:00 в программе Hard Day's Night Александр Любимов — создатель телекомпании ВИD. Не пропустите  https://t.co/ssjs1a8sV8,Unknown,Russian,2015-07-21T18:52:00,2015-07-21T18:52:00,1445.0000000000,306.0000000000,2034.0000000000,R,True
