author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
ocimnocxi,#ChooseAFavoriteRussianDish  борщ хоть и говорят что это украинская еда,Unknown,Bulgarian,2015-05-14T17:38:00,2015-05-14T17:38:00,1656.0000000000,121.0000000000,311.0000000000,,False
ocimnocxi,Мутко снова шокировал своим английским: tomorrow будет euro association (видео) #НоуКриминалити,Unknown,Ukrainian,2015-05-29T16:25:00,2015-05-29T16:25:00,1652.0000000000,119.0000000000,343.0000000000,,False
ocimnocxi,2«Tomorrow будет Euro association». Мутко снова говорит на английском #НоуКриминалити,Unknown,Russian,2015-05-29T16:50:00,2015-05-29T16:51:00,1652.0000000000,119.0000000000,344.0000000000,,False
ocimnocxi,'@MargoSavazh Мозгов 0',Unknown,Russian,2015-06-03T17:22:00,2015-06-03T17:22:00,1651.0000000000,118.0000000000,367.0000000000,,False
ocimnocxi,Sony больше не будет снимать фильмы про агента 007 http://t.co/ncm4hP7Tru,Unknown,Russian,2015-06-05T14:55:00,2015-06-05T14:55:00,1650.0000000000,118.0000000000,379.0000000000,R,True
ocimnocxi,"По факту пищевого отравления двух детей в спортивном детском лагере ""Лига"" возбуждено уголовное дело. Подробности  http://t.co/WDuvIWDMx7",Unknown,Russian,2015-06-15T15:55:00,2015-06-15T15:55:00,1638.0000000000,119.0000000000,381.0000000000,R,True
ocimnocxi,Греки возвращаются от евро к своим деньгам http://t.co/jaSKFPXZU1,Unknown,Russian,2015-07-03T17:51:00,2015-07-03T17:51:00,1638.0000000000,120.0000000000,389.0000000000,R,True
ocimnocxi,Шокирующее видео момента падения боинга на Украине! Максимальный RT!    http://t.co/TTcL3Oy9Ok,Unknown,Russian,2015-07-20T08:36:00,2015-07-20T08:36:00,1635.0000000000,121.0000000000,390.0000000000,R,True
ocimnocxi,#theFace  #ЗагадочноеЛицо в Нью-Йорке http://t.co/Du1gI36tEC,Unknown,Russian,2015-08-12T10:12:00,2015-08-12T10:13:00,1430.0000000000,125.0000000000,408.0000000000,R,True
ocimnocxi,Захарченко: ОБСЕ игнорирует гибель мирных жителей   http://t.co/bvDdvi71yc http://t.co/7Wyyi5sYdh,Unknown,Russian,2015-08-20T08:19:00,2015-08-20T08:19:00,1429.0000000000,123.0000000000,412.0000000000,R,True
ocimnocxi,"Вот в такую ситуацию можно попасть, если заказать первое попавшееся такси  http://t.co/lLiWML7UCi http://t.co/EGzPOn15mO",Unknown,Russian,2015-09-09T12:33:00,2015-09-09T12:33:00,1425.0000000000,125.0000000000,421.0000000000,R,True
ocimnocxi,"Глава ФМС:России не грозит поток мигрантов из Сирии,но ФМС гуманно отнесётся к просьбам тех,кто обратится за помощью  http://t.co/RUKQjC4Fbw",Unknown,Russian,2015-09-09T15:43:00,2015-09-09T15:43:00,1425.0000000000,125.0000000000,422.0000000000,R,True
ocimnocxi,Глава ФМС: Потоки беженцев в Европу не угрожают России  http://t.co/uOjschSTHB http://t.co/v9FESdnLez,Unknown,Russian,2015-09-09T15:45:00,2015-09-09T15:45:00,1425.0000000000,125.0000000000,423.0000000000,R,True
ocimnocxi,В распространении ложной информации замечены все про-западные СМИ и даже BBC - значит заказ прямо от спецслужб http://t.co/UrfCNopuUd,Unknown,Russian,2015-09-10T18:49:00,2015-09-10T18:49:00,1425.0000000000,125.0000000000,424.0000000000,R,True
ocimnocxi,"армия тренирует каждого мужчину в РФ. ты либо год бегаешь в армии, либо 10 лет от военкомата",Unknown,Russian,2015-09-27T20:52:00,2015-09-27T20:52:00,1408.0000000000,127.0000000000,429.0000000000,R,True
ocimnocxi,Путин и Обама: разговор о Сирии  http://t.co/U4So6bt2F0 http://t.co/fZYWq5YcM6,Unknown,Serbian,2015-09-29T13:33:00,2015-09-29T13:33:00,1407.0000000000,127.0000000000,436.0000000000,R,True
ocimnocxi,Картер: США нужна новая стратегия с появлением «зеленых человечков» http://t.co/w0hl60Sh1l © AP Photo/ Lee Jin-man http://t.co/kpGVSu8AXN,Unknown,Russian,2015-10-14T18:57:00,2015-10-14T18:57:00,208.0000000000,127.0000000000,431.0000000000,R,True
ocimnocxi,Муаммар Каддафи: прощание с полковником пустыни  #Эксклюзив_ХолоднаяВойна2_0   https://t.co/6iERVE5GfA https://t.co/MtMCRMl00l,Unknown,Russian,2015-10-20T16:23:00,2015-10-20T16:23:00,208.0000000000,128.0000000000,433.0000000000,R,True
ocimnocxi,Роскомнадзор заблокировал сайт «РБК-Украина» за призывы к войне с Россией и восхваление Бандеры https://t.co/oW2bjCtdVF,Unknown,Russian,2016-01-30T09:32:00,2016-01-30T09:32:00,207.0000000000,123.0000000000,438.0000000000,R,True
ocimnocxi,Бригада с С-300 в Челябинской области приведена в боеготовность  https://t.co/ck1NGWOkzD https://t.co/8us9nflwQS,Unknown,Russian,2016-01-30T10:55:00,2016-01-30T10:55:00,207.0000000000,123.0000000000,442.0000000000,R,True
ocimnocxi,"Русские либералы ничего не боятся, кроме Кадырова: пародисты выложили ролик в сеть   https://t.co/f6HLn8961c https://t.co/iOxmcLbAJa",Unknown,Russian,2016-02-03T16:14:00,2016-02-03T16:16:00,178.0000000000,125.0000000000,447.0000000000,R,True
ocimnocxi,Минобороны: Погибший в Сирии советник будет представлен к награде   https://t.co/9lL45mV0FP https://t.co/JPp7BsOmDJ,Unknown,Russian,2016-02-04T08:45:00,2016-02-04T08:45:00,178.0000000000,125.0000000000,449.0000000000,R,True
ocimnocxi,"Советские бойцы слушают своего товарища, играющего на гитаре. 1-й Белорусский фронт. 1944 год https://t.co/KWobFqCTuk",Unknown,Russian,2016-02-04T17:23:00,2016-02-04T17:36:00,179.0000000000,127.0000000000,454.0000000000,R,True
ocimnocxi,Самый большой в мире памятник Сталину был открыт в Праге 1 мая 1955 года. Народное название – «очередь за мясом» https://t.co/CA7YXGLSSg,Unknown,Russian,2016-02-07T07:33:00,2016-02-07T07:33:00,179.0000000000,125.0000000000,456.0000000000,R,True
ocimnocxi,Google Earth рассказал о реальных потерях украинских войск на Донбассе https://t.co/5md4M1K41K,Unknown,Russian,2016-02-07T16:16:00,2016-02-07T16:16:00,179.0000000000,124.0000000000,459.0000000000,R,True
ocimnocxi,Росмолодежь представила в ООН заявку на проведение фестиваля молодежи  @pospelovsv  https://t.co/m1AQJWRvrJ https://t.co/xPCokvJJzv,Unknown,Russian,2016-02-08T07:52:00,2016-02-08T07:52:00,179.0000000000,123.0000000000,459.0000000000,R,True
