author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
olegIdmitrenko,вперед к звездам http://t.co/trBsmhnmGn,Russian Federation,Ukrainian,2015-06-29T08:47:00,2015-06-29T08:47:00,1987.0000000000,970.0000000000,9572.0000000000,R,True
olegIdmitrenko,БМП силовиков продолжают охоту за князем Игорем на Луганщине http://t.co/FZV9QWLmfN http://t.co/HebAjq80pA,Russian Federation,Russian,2015-07-03T08:11:00,2015-07-03T08:11:00,1986.0000000000,967.0000000000,9578.0000000000,R,True
olegIdmitrenko,В Казани собрались молодые лидеры стран БРИКС  http://t.co/h1tYOMU3OK http://t.co/T5m2sQYxNZ,Russian Federation,Russian,2015-07-05T13:52:00,2015-07-05T13:52:00,1986.0000000000,965.0000000000,9581.0000000000,R,True
olegIdmitrenko,Черчесова выгнали из московского «Динамо» http://t.co/qoVdCCvn4j http://t.co/rTMKNIcm7n,Russian Federation,Russian,2015-07-11T09:31:00,2015-07-11T09:31:00,1985.0000000000,964.0000000000,9581.0000000000,R,True
olegIdmitrenko,В Пекине прокомментировали инициативу о трибунале по крушению Boeing  http://t.co/zeWNASnWUn,Russian Federation,Russian,2015-07-15T11:51:00,2015-07-15T11:51:00,1983.0000000000,962.0000000000,9590.0000000000,R,True
olegIdmitrenko,"С ""их долгом"" ?! Ахахахаха!  https://t.co/yx9yQabd0I",Russian Federation,Russian,2015-07-15T14:54:00,2015-07-15T14:54:00,1983.0000000000,962.0000000000,9591.0000000000,R,True
olegIdmitrenko,В карантине из-за вируса MERS в Южной Корее остаются 258 человек http://t.co/RxDPQ2xpaO,Russian Federation,Russian,2015-07-16T02:12:00,2015-07-16T02:12:00,1983.0000000000,962.0000000000,9593.0000000000,R,True
olegIdmitrenko,Планы на выходные: «Битва на Неве» http://t.co/HQOYCeDxWx,Russian Federation,Russian,2015-07-16T10:31:00,2015-07-16T10:33:00,1982.0000000000,962.0000000000,9595.0000000000,R,True
olegIdmitrenko,ЭКСКЛЮЗИВ. Идеолог цветных революций Джин Шарп дал интервью «Газете.Ru» http://t.co/Rwg7FMlteR http://t.co/ULUkkInPPj,Russian Federation,Russian,2015-07-16T14:32:00,2015-07-16T14:32:00,1982.0000000000,962.0000000000,9597.0000000000,R,True
olegIdmitrenko,Минфин Греции продлил банковские каникулы до 19 июля http://t.co/Jo5Wyhf18c,Russian Federation,Russian,2015-07-16T19:52:00,2015-07-16T19:52:00,1982.0000000000,962.0000000000,9603.0000000000,R,True
olegIdmitrenko,"Керри заявил, что Boeing был сбит с контролируемой ополченцами территории http://t.co/ipsRpVo31l",Russian Federation,Russian,2015-07-16T21:32:00,2015-07-16T21:32:00,1982.0000000000,962.0000000000,9604.0000000000,R,True
olegIdmitrenko,Траурные мероприятия пройдут на месте крушения Boeing 777 в Донбассе http://t.co/XTOuLj02SX,Russian Federation,Russian,2015-07-17T00:32:00,2015-07-17T00:32:00,1982.0000000000,963.0000000000,9605.0000000000,R,True
olegIdmitrenko,"Яценюк подтвердил, что Украина и США подписали договор об ""открытом небе"" http://t.co/iWO9ScnUun",Russian Federation,Ukrainian,2015-07-17T08:53:00,2015-07-17T08:53:00,1982.0000000000,963.0000000000,9607.0000000000,R,True
olegIdmitrenko,"Нехороша Маша, да теперь и не наша! https://t.co/cjG6isMDz7",Russian Federation,Ukrainian,2015-07-17T09:52:00,2015-07-17T09:53:00,1982.0000000000,963.0000000000,9608.0000000000,R,True
olegIdmitrenko,'@salty_1970 я буду на вас жаловаться @rubin_paceka !',Russian Federation,Russian,2015-07-18T11:53:00,2015-07-18T11:53:00,1981.0000000000,961.0000000000,9613.0000000000,R,True
olegIdmitrenko,Захарченко: на линии разграничения сосредоточены 70 тысяч украинских силовиков #новости http://t.co/GgYwAYq3UX,Russian Federation,Russian,2015-07-18T13:13:00,2015-07-18T13:13:00,1981.0000000000,961.0000000000,9614.0000000000,R,True
olegIdmitrenko,"Воробьёв: расизм — это хуже, чем вирус Эбола http://t.co/UZ6nLk3XPI",Russian Federation,Russian,2015-07-18T13:52:00,2015-07-18T13:52:00,1981.0000000000,962.0000000000,9615.0000000000,R,True
olegIdmitrenko,Пятилетняя девочка в США выжила при падении из окна благодаря мягкому миньону http://t.co/INMTpVMVpz,Russian Federation,Russian,2015-07-19T04:51:00,2015-07-19T04:51:00,1981.0000000000,961.0000000000,9618.0000000000,R,True
olegIdmitrenko,Мэр Вышнего Волочка скончался в Турции http://t.co/3nDg8saP28,Russian Federation,Russian,2015-07-19T13:52:00,2015-07-19T13:52:00,1981.0000000000,961.0000000000,9619.0000000000,R,True
olegIdmitrenko,"'@SFGO76 Он, сука, всех пчел своих заморил! Должен ответить! @rubin_paceka @MedvedevRussia'",Russian Federation,Russian,2015-07-20T12:34:00,2015-07-20T12:34:00,1981.0000000000,959.0000000000,9622.0000000000,R,True
olegIdmitrenko,Про Мишу и Машу http://t.co/RqhNDREjLG,Russian Federation,Ukrainian,2015-07-20T18:33:00,2015-07-20T18:33:00,1981.0000000000,959.0000000000,9623.0000000000,R,True
olegIdmitrenko,Контактная группа обсуждила создание дополнительного пункта пропуска в ЛНР http://t.co/dLR8iseQhZ,Russian Federation,Russian,2015-07-21T18:53:00,2015-07-21T18:54:00,1980.0000000000,960.0000000000,9629.0000000000,R,True
olegIdmitrenko,Порошенко уволил судью Конституционного суда Украины  http://t.co/LayU4my6hQ,Russian Federation,Ukrainian,2015-07-22T07:12:00,2015-07-22T07:12:00,1980.0000000000,960.0000000000,9631.0000000000,R,True
olegIdmitrenko,Крым поддержит инициативу Пореченкова и Павлова о создании киностудии http://t.co/z9mxS65S6R,Russian Federation,Russian,2015-07-22T15:51:00,2015-07-22T15:52:00,1980.0000000000,967.0000000000,9633.0000000000,R,True
olegIdmitrenko,"Госсекретарь США назвал ""насильственной аннексией"" присоединение стран Балтии к СССР http://t.co/lcuby0m5pV",Russian Federation,Russian,2015-07-22T23:31:00,2015-07-22T23:32:00,1981.0000000000,967.0000000000,9635.0000000000,R,True
olegIdmitrenko,СМИ: Путин предлагал Берлускони стать министром #новости http://t.co/imObusvOKV,Russian Federation,Russian,2015-07-23T11:34:00,2015-07-23T11:34:00,1981.0000000000,965.0000000000,9637.0000000000,R,True
olegIdmitrenko,до чего могут довести американские сериалы http://t.co/guvB8IF60B,Russian Federation,Russian,2015-07-23T17:24:00,2015-07-23T17:24:00,1981.0000000000,961.0000000000,9638.0000000000,R,True
olegIdmitrenko,СБУ ликвидировала нелегальный трубопровод для контрабанды горючего из России http://t.co/ZTVn80dNnw,Russian Federation,Russian,2015-07-23T21:11:00,2015-07-23T21:11:00,1981.0000000000,959.0000000000,9639.0000000000,R,True
olegIdmitrenko,Медведев: крымский вопрос закрыт  http://t.co/2jNsZljkiT http://t.co/xS7pCQL6k7,Russian Federation,Russian,2015-07-25T05:51:00,2015-07-25T05:51:00,1981.0000000000,956.0000000000,9644.0000000000,R,True
olegIdmitrenko,«Динамо» — «Мордовия»: онлайн-трансляция матча начнётся в 18:30 http://t.co/UoPseimIZK,Russian Federation,Russian,2015-07-25T12:51:00,2015-07-25T12:51:00,1981.0000000000,955.0000000000,9645.0000000000,R,True
olegIdmitrenko,Сегодняшний день в России отмечается полномасштабными гуляниями по поводу Дня Военно-морских сил http://t.co/qPbWNFzkJr,Russian Federation,Russian,2015-07-26T16:27:00,2015-07-26T16:28:00,1981.0000000000,954.0000000000,9650.0000000000,R,True
olegIdmitrenko,"Депардье: в Белоруссии лучше и безопаснее, чем во Франции.   http://t.co/SJwvqO9gHd http://t.co/akh0nGNuUP",Russian Federation,Russian,2015-07-26T20:53:00,2015-07-26T20:53:00,1981.0000000000,954.0000000000,9651.0000000000,R,True
olegIdmitrenko,СМИ: в России может появиться единая база мобильных номеров  http://t.co/8hDMZ1tSun,Russian Federation,Russian,2015-07-26T22:32:00,2015-07-26T22:33:00,1981.0000000000,954.0000000000,9653.0000000000,R,True
olegIdmitrenko,Южный впервые покинул первую сотню рейтинга ATP  http://t.co/b2HqxhYY1X http://t.co/iAObIgKqBJ,Russian Federation,Russian,2015-07-27T08:32:00,2015-07-27T08:32:00,1981.0000000000,954.0000000000,9655.0000000000,R,True
olegIdmitrenko,Красота и скорость по-донецки... или Попробуй не влюбиться))) https://t.co/HVwRqD8S89 с помощью @YouTube,Russian Federation,Ukrainian,2015-07-27T13:51:00,2015-07-27T13:51:00,1980.0000000000,951.0000000000,9656.0000000000,R,True
olegIdmitrenko,Мутко поздравил Квята  http://t.co/cMafeidD3o http://t.co/zHnc5ADfqV,Russian Federation,Bulgarian,2015-07-27T13:54:00,2015-07-27T13:54:00,1980.0000000000,951.0000000000,9657.0000000000,R,True
olegIdmitrenko,«Оживление гонки вооружений вызвано США»  http://t.co/j4gaYTTr4R http://t.co/QTt9Bp2jXm,Russian Federation,Russian,2015-07-27T20:33:00,2015-07-27T20:34:00,1980.0000000000,951.0000000000,9660.0000000000,R,True
olegIdmitrenko,В США произошло крушение самолета http://t.co/4nU1HzxYg5 http://t.co/vw5uEbFzjt,Russian Federation,Russian,2015-07-28T02:32:00,2015-07-28T02:32:00,1981.0000000000,952.0000000000,9662.0000000000,R,True
olegIdmitrenko,Официально представлен «убийца флагманов» OnePlus 2  #hitech,Russian Federation,Russian,2015-07-28T08:12:00,2015-07-28T08:12:00,1981.0000000000,952.0000000000,9663.0000000000,R,True
olegIdmitrenko,Microsoft тестирует возможность запуска Android-приложений на Windows 10 Mobile http://t.co/rZeqKIK7x2,Russian Federation,Russian,2015-07-28T22:34:00,2015-07-28T22:34:00,1981.0000000000,951.0000000000,9667.0000000000,R,True
olegIdmitrenko,Nokia разработает камеру дополненной реальности  #hitech,Russian Federation,Russian,2015-07-29T07:11:00,2015-07-29T07:11:00,1981.0000000000,951.0000000000,9669.0000000000,R,True
olegIdmitrenko,В Киеве умер раненный неизвестными священник #новости http://t.co/l0JzotNS6p,Russian Federation,Russian,2015-07-29T07:32:00,2015-07-29T07:32:00,1981.0000000000,951.0000000000,9670.0000000000,R,True
olegIdmitrenko,Россияне стали относиться к кредитам как к «долговой яме»: http://t.co/4s0jWNyXlg,Russian Federation,Russian,2015-07-29T14:31:00,2015-07-29T14:31:00,1981.0000000000,952.0000000000,9672.0000000000,R,True
olegIdmitrenko,"К антироссийским санкциям ЕС присоеденилась Албания. Албания, Карл! http://t.co/s3iJ4eKHan",Russian Federation,Russian,2015-07-30T01:52:00,2015-07-30T01:52:00,1982.0000000000,953.0000000000,9675.0000000000,R,True
olegIdmitrenko,Обломок от Boeing  MH370 был обнаружен в день наложения РФ вето на создание трибунала по Boeing МН17. Совпадение? http://t.co/ET0DgxKUlw,Russian Federation,Russian,2015-07-30T13:14:00,2015-07-30T13:15:00,1981.0000000000,952.0000000000,9680.0000000000,R,True
olegIdmitrenko,Александр Лукашенко призвал активнее искать нефть и газ в недрах Белоруссии: http://t.co/Widyuonrl6,Russian Federation,Russian,2015-07-30T16:14:00,2015-07-30T16:15:00,1981.0000000000,952.0000000000,9681.0000000000,R,True
