author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
olesyaudina,'@MargoSavazh @history_RF @AlexanderTires все кто начинал против России - все одинаково закончивали',Unknown,Russian,2015-06-22T23:29:00,2015-06-22T23:29:00,403.0000000000,123.0000000000,1571.0000000000,,False
olesyaudina,"Глава «Мегафона» выступил за создание правил работы для мессенджеров http://t.co/0JTwDAm8Du Говорит, вотсапом террористы пользуются",Unknown,Russian,2015-07-15T11:51:00,2015-07-15T11:51:00,400.0000000000,122.0000000000,1608.0000000000,R,True
olesyaudina,«Шинник» в гостях разгромил КАМАЗ http://t.co/Zt7U8nvQSs,Unknown,Russian,2015-07-15T16:53:00,2015-07-15T16:53:00,400.0000000000,122.0000000000,1610.0000000000,R,True
olesyaudina,Более 120 км сетей изъято в рамках рыбоохранных мероприятий с 15 апреля по 15 июня в Нижегородской области http://t.co/fZq7wMwQl1,Unknown,Russian,2015-07-15T17:52:00,2015-07-15T17:53:00,400.0000000000,122.0000000000,1612.0000000000,R,True
olesyaudina,Источник: СБ ООН рассмотрит вопрос о создании трибунала по Boeing 21 июля http://t.co/f1f7EeobYz,Unknown,Russian,2015-07-15T21:32:00,2015-07-15T21:33:00,400.0000000000,122.0000000000,1613.0000000000,R,True
olesyaudina,На Казанском вокзале Москвы произошел взрыв  http://t.co/nttPv2dF1A http://t.co/p2L1X9JCVW,Unknown,Russian,2015-07-16T13:33:00,2015-07-16T13:33:00,400.0000000000,122.0000000000,1615.0000000000,R,True
olesyaudina,"UPD. Четыре морпеха расстреляны в Теннесси, нападавший ликвидирован  http://t.co/xn7XDASn3U",Unknown,Russian,2015-07-17T03:11:00,2015-07-17T03:11:00,400.0000000000,122.0000000000,1618.0000000000,R,True
olesyaudina,"Чуров рассказал, откуда регулируют интернет http://t.co/McRgRlNEo3 http://t.co/uQ5thWSiRi",Unknown,Russian,2015-07-17T19:12:00,2015-07-17T19:12:00,400.0000000000,122.0000000000,1622.0000000000,R,True
olesyaudina,Жители Львова потребовали предоставить автономию Галичине   http://t.co/mKnXb93d4z http://t.co/8itQ0ioCP0,Unknown,Russian,2015-07-18T03:51:00,2015-07-18T03:51:00,400.0000000000,123.0000000000,1623.0000000000,R,True
olesyaudina,Обама с дочерьми посетил бродвейский хип-хоп мюзикл об отцах-основателях  http://t.co/bA0CQoWE2o http://t.co/MMCLIeLl6b,Unknown,Russian,2015-07-19T06:11:00,2015-07-19T06:11:00,400.0000000000,124.0000000000,1628.0000000000,R,True
olesyaudina,Ушла из жизни первая советская олимпийская чемпионка по плаванию Галина Прозуменщикова http://t.co/RO9wSGRPEy,Unknown,Russian,2015-07-19T12:52:00,2015-07-19T12:52:00,400.0000000000,124.0000000000,1628.0000000000,R,True
olesyaudina,Сын Бориса Щербакова рассказал о состоянии отца  http://t.co/6Lq4aTMoWl http://t.co/chIjjV4m6a,Unknown,Russian,2015-07-19T13:53:00,2015-07-19T13:53:00,400.0000000000,124.0000000000,1631.0000000000,R,True
olesyaudina,Власти Сахалина намерены доплачивать врачам за выявление онкозаболеваний на ранних стадиях  http://t.co/vNgSC8WmLk,Unknown,Russian,2015-07-20T01:51:00,2015-07-20T01:51:00,400.0000000000,124.0000000000,1633.0000000000,R,True
olesyaudina,8 спортсменов представят Казань на водном ЧМ http://t.co/shXK9TKoSF,Unknown,Bulgarian,2015-07-20T10:12:00,2015-07-20T10:13:00,400.0000000000,124.0000000000,1635.0000000000,R,True
olesyaudina,"Болельщицу ЦСКА лишили звания ""Мисс Обаяние"" за нацистские фото http://t.co/hq1oKKxp3g",Unknown,Russian,2015-07-21T19:53:00,2015-07-21T19:53:00,200.0000000000,122.0000000000,1643.0000000000,R,True
olesyaudina,ЕС направит своих представителей для мониторинга процессов над Савченко и Сенцовым http://t.co/Wv0lICX2hC,Unknown,Russian,2015-07-22T21:31:00,2015-07-22T21:31:00,200.0000000000,123.0000000000,1647.0000000000,R,True
olesyaudina,Девальвация сделала Россию конкурентоспособнее США  http://t.co/5cnIWM2fBx,Unknown,Russian,2015-07-22T22:31:00,2015-07-22T22:31:00,200.0000000000,123.0000000000,1648.0000000000,R,True
olesyaudina,#ОБСЕ В Донецке — большой митинг против ОБСЕ: наблюдателей просят объясниться https://t.co/51XaJcdUFS,Unknown,Russian,2015-07-23T16:12:00,2015-07-23T16:12:00,200.0000000000,123.0000000000,1651.0000000000,,False
olesyaudina,Жители Донецка требуют ответы от наблюдателей #ОБСЕ  http://t.co/YePu6wVPwZ,Unknown,Russian,2015-07-23T18:01:00,2015-07-23T18:02:00,200.0000000000,123.0000000000,1659.0000000000,,False
olesyaudina,Жители Донецка повредили технику #ОБСЕ https://t.co/51XaJcdUFS,Unknown,Russian,2015-07-23T18:04:00,2015-07-23T18:04:00,200.0000000000,123.0000000000,1660.0000000000,,False
olesyaudina,Жители Донецка требуют встречи с наблюдателями #ОБСЕ  http://t.co/nNqgehSmnt,Unknown,Russian,2015-07-23T20:16:00,2015-07-23T20:16:00,200.0000000000,123.0000000000,1669.0000000000,,False
olesyaudina,Народ устал от молчания наблюдателей #ОБСЕ https://t.co/51XaJcvvxq,Unknown,Russian,2015-07-23T20:24:00,2015-07-23T20:24:00,200.0000000000,123.0000000000,1670.0000000000,,False
olesyaudina,В ДНР подсчитали число подрывов железных дорог военными http://t.co/nt1Exd63lF,Unknown,Russian,2015-07-24T06:33:00,2015-07-24T06:33:00,200.0000000000,124.0000000000,1691.0000000000,R,True
olesyaudina,Российских школьников научат собирать 3D-принтеры из подручных материалов: http://t.co/xMVk1R658p,Unknown,Russian,2015-07-25T08:32:00,2015-07-25T08:32:00,200.0000000000,123.0000000000,1698.0000000000,R,True
olesyaudina,Порошенко пообещал ужесточить ответственность за подкуп избирателей http://t.co/BLu7NLJ10Z,Unknown,Russian,2015-07-25T18:31:00,2015-07-25T18:32:00,200.0000000000,123.0000000000,1699.0000000000,R,True
olesyaudina,Египет в третий раз продлил режим чрезвычайного положения на севере Синайского полуострова http://t.co/uceLP9fENY,Unknown,Russian,2015-07-26T09:52:00,2015-07-26T09:53:00,200.0000000000,123.0000000000,1702.0000000000,R,True
olesyaudina,#Саакашвили не пустил #Тимати в ночной клуб.  ВИДЕО http://t.co/ptAz3mXNuS http://t.co/NRNXPdTwKj,Unknown,Ukrainian,2015-07-26T15:53:00,2015-07-26T15:53:00,200.0000000000,123.0000000000,1704.0000000000,R,True
olesyaudina,"Депардье не понимает, почему на Западе у Лукашенко плохая репутация http://t.co/XJjnXWTWYl",Unknown,Russian,2015-07-26T20:32:00,2015-07-26T20:32:00,200.0000000000,123.0000000000,1706.0000000000,R,True
