author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
PaninaViktorya,Он первый  http://t.co/rYmiwg96Rk,United States,Russian,2015-06-22 13:29:00,2015-06-22 13:29:00,1989,217,1640,R,1
PaninaViktorya,"Россия будет давать Армении, Киргизии и Таджикистану деньги на еду http://t.co/kgRk90O5GZ http://t.co/CDikdcsFH0",United States,Russian,2015-07-01 11:31:00,2015-07-01 11:31:00,1988,216,1648,R,1
PaninaViktorya,"Пассажиры Boeing, вернувшегося в Омск из-за птицы, вылетели в Турцию http://t.co/aZscxBpqC0 http://t.co/5R5W5OviCr",United States,Ukrainian,2015-07-03 14:12:00,2015-07-03 14:12:00,1989,216,1651,R,1
PaninaViktorya,Невеста потратила 1 тыс. часов на вязание свадебного платья http://t.co/PuUG09U6j2,United States,Russian,2015-07-16 08:34:00,2015-07-16 08:34:00,1484,218,1665,R,1
PaninaViktorya,"На комиссию по расследованию катастрофы Boeing оказывается давление, заявили в Росавиации http://t.co/Wb7E5OZqkf",United States,Russian,2015-07-16 11:11:00,2015-07-16 11:12:00,1484,218,1667,R,1
PaninaViktorya,Археологи: люди умели лечить кариес уже 14 тыс. лет назад http://t.co/Dl5yDksVU0,United States,Russian,2015-07-17 11:31:00,2015-07-17 11:31:00,1484,218,1669,R,1
PaninaViktorya,Билялетдинов: впервые слышу про инцидент с Георгиевым в Риме http://t.co/Nsb1CWzZNH,United States,Russian,2015-07-18 18:31:00,2015-07-18 18:31:00,1484,218,1672,R,1
PaninaViktorya,"Моуринью: Фалькао сделал многое, чтобы перейти в «Челси» http://t.co/Hqh71iQFME",United States,Russian,2015-07-19 15:31:00,2015-07-19 15:31:00,1484,219,1673,R,1
PaninaViktorya,Сотрудник ППС задавил байкера под Волгоградом и погиб сам http://t.co/9GxJ263gar,United States,Serbian,2015-07-20 12:34:00,2015-07-20 12:34:00,1484,219,1676,R,1
PaninaViktorya,«Новые шестидесятые»: как еврозоне вернуться к росту после краха в Греции http://t.co/iK94xHa3eD,United States,Russian,2015-07-20 15:51:00,2015-07-20 15:52:00,1484,218,1678,R,1
PaninaViktorya,РФ предлагает назначить спецпосланника ООН по расследованию авиакатастрофы на Украине  http://t.co/T4rbgGk9VC,United States,Russian,2015-07-22 01:14:00,2015-07-22 01:14:00,1484,219,1680,R,1
PaninaViktorya,Канделаки: будет интересно построить крупную телевизионную спортивную редакцию http://t.co/PtnWJ59r7I,United States,Russian,2015-07-22 13:32:00,2015-07-22 13:32:00,1484,220,1681,R,1
PaninaViktorya,замена ответа на вопрос смехом может многое сказать #СмехСквозьСлезы https://t.co/wGLDv8z2cG,United States,Russian,2015-07-22 15:43:00,2015-07-22 15:43:00,1484,220,1683,R,1
PaninaViktorya,Глава французской делегации: референдум позволил Крыму избежать украинского сценария  http://t.co/xOOnTJh9t7,United States,Russian,2015-07-23 20:11:00,2015-07-23 20:11:00,1484,218,1688,R,1
PaninaViktorya,"Украина произвела выплаты на сумму $120 млн по евробондам и избежала технического дефолта, передает Bloomberg  http://t.co/B90RDJWdH0",United States,Russian,2015-07-24 08:33:00,2015-07-24 08:33:00,1484,218,1691,R,1
PaninaViktorya,Первая в мире вакцина от малярии получает «зеленый свет» http://t.co/pO42A9xJjD http://t.co/JSPzDCq5wD,United States,Russian,2015-07-24 21:31:00,2015-07-24 21:31:00,1484,218,1696,R,1
PaninaViktorya,Два игрока сборной Панамы дисквалифицированы на две игры после матча с Мексикой http://t.co/2JtKIUlClQ,United States,Russian,2015-07-25 08:13:00,2015-07-25 08:13:00,1484,218,1697,R,1
PaninaViktorya,"UPD. Путин осмотрел театр эстрады ""Янтарь холл"", который примет фестиваль ""Голосящий КиВиН""  http://t.co/PQqgpD9C0b",United States,Russian,2015-07-25 20:11:00,2015-07-25 20:11:00,1484,218,1701,R,1
PaninaViktorya,"В штабе Навального заявили, что подписи забракованы из-за недочетов в базах данных ФМС  http://t.co/JAb8CIpyCC http://t.co/OBc9wDp01C",United States,Russian,2015-07-26 06:52:00,2015-07-26 06:52:00,1484,218,1703,R,1
PaninaViktorya,Сегодня этот человек начал читать @alduckzа в твиторе https://t.co/6v7rL9585a,United States,Russian,2015-07-26 16:14:00,2015-07-26 16:15:00,1484,218,1707,R,1
PaninaViktorya,Кремль назвал абсурдными сообщения о запрете на упоминание имени Навального среди чиновников и глав госкомпаний: http://t.co/3d3WsldXyo,United States,Russian,2015-07-27 11:14:00,2015-07-27 11:14:00,1484,220,1709,R,1
PaninaViktorya,Мутко и Лебедев зарегистрированы в качестве кандидатов на пост президента РФС http://t.co/UTb6PEZ7Sq,United States,Russian,2015-07-27 11:15:00,2015-07-27 11:15:00,1484,220,1710,R,1
PaninaViktorya,Железной дорогой через Керченский пролив смогут пользоваться более 14 млн пассажиров в год http://t.co/v9UuCIG6Eh,United States,Russian,2015-07-27 12:31:00,2015-07-27 12:31:00,1484,221,1711,R,1
PaninaViktorya,Бибиков: «Мордовия» пока не может связаться с агентом Джалу http://t.co/YNzJsv46Pg,United States,Russian,2015-07-28 10:32:00,2015-07-28 10:32:00,1484,221,1716,R,1
PaninaViktorya,"Осужденный за пожар в ""Хромой лошади"" пиротехник подпал под амнистию http://t.co/LtqRfAAmTX",United States,Russian,2015-07-28 10:34:00,2015-07-28 10:34:00,1484,221,1717,R,1
PaninaViktorya,Эксперимент на БАКе нанёс новый удар по теории суперсимметрии http://t.co/J6wNTdUod2,United States,Russian,2015-07-28 11:53:00,2015-07-28 11:53:00,1484,221,1719,R,1
PaninaViktorya,Яшин: уголовное дело против Пивоварова носит политический характер  http://t.co/zs1HL3hT8n http://t.co/khvN6uPMqY,United States,Russian,2015-07-28 11:56:00,2015-07-28 11:56:00,1484,221,1720,R,1
PaninaViktorya,Только не сбивай меня с пути!,United States,Ukrainian,2015-07-28 16:07:00,2015-07-28 16:09:00,1484,221,1724,,0
PaninaViktorya,Ликсутов предложил отрегулировать работу агрегаторов такси в России http://t.co/unKiCIV7eg,United States,Russian,2015-07-28 20:52:00,2015-07-28 20:52:00,1484,221,1730,R,1
PaninaViktorya,Основатель «Династии» Зимин вернулся в Россию  http://t.co/Efq3m89o9w http://t.co/o3yW8azmfE,United States,Russian,2015-07-29 08:32:00,2015-07-29 08:32:00,1484,221,1733,R,1
PaninaViktorya,Только карта: сложно ли прожить в Москве без наличных денег: http://t.co/IEoEO4GIks,United States,Russian,2015-07-29 12:50:00,2015-07-29 12:50:00,1484,221,1734,R,1
PaninaViktorya,На 10 улицах в Химках в 2015 году могут ввести платные парковки  http://t.co/k5f6xKyxB8,United States,Russian,2015-07-30 07:31:00,2015-07-30 07:31:00,1484,220,1735,R,1
PaninaViktorya,"Первая часть пазла найдена: на Реюньоне обнаружили обломок ""Боинга 777"" http://t.co/4XNg82IERD",United States,Russian,2015-07-30 18:31:00,2015-07-30 18:31:00,1484,220,1743,R,1
PaninaViktorya,ФОТОГАЛЕРЕЯ. Джоан Роулинг – 50  http://t.co/f1mTTppBLh http://t.co/BfcDRE6vg6,United States,Uzbek,2015-07-31 07:14:00,2015-07-31 07:14:00,1484,220,1745,R,1
PaninaViktorya,"Канал Cinemax опубликовал первый тизер второго сезона ""Больницы Никербокер"" http://t.co/3PSYEOfkUJ",United States,Russian,2015-07-31 15:32:00,2015-07-31 15:32:00,1483,220,1747,R,1
PaninaViktorya,ВИДЕО. Пекин станет столицей зимней Олимпиады-2022  http://t.co/zptDxK3M7v http://t.co/1lu7OSJmL5,United States,Uzbek,2015-07-31 15:52:00,2015-07-31 15:52:00,1483,220,1748,R,1
PaninaViktorya,Американская разведка подтвердила смерть лидера «Талибана» муллы Омара http://t.co/opvkDMMDqk,United States,Russian,2015-08-01 02:12:00,2015-08-01 02:12:00,1483,220,1749,R,1
PaninaViktorya,Букмекеры оценивают победу «Зенита» над «Тереком» коэффициентом 1.40 http://t.co/hyY9UN4wVp,United States,Russian,2015-08-01 12:12:00,2015-08-01 12:12:00,1483,220,1753,R,1
PaninaViktorya,Российские школьники заняли первое место на международной олимпиаде по информатике http://t.co/wo3Gqt5G6E,United States,Russian,2015-08-01 17:32:00,2015-08-01 17:32:00,1483,220,1754,R,1
PaninaViktorya,"Киев «присваивает» князя Владимира, чтобы создать национальную культуру http://t.co/VPgwGQadr5 http://t.co/V3aWLZfTLJ",United States,Russian,2015-08-02 07:52:00,2015-08-02 07:52:00,1483,220,1756,R,1
PaninaViktorya,МИД Швеции разочарован решением российских коллег  http://t.co/PXEY7AQVwf http://t.co/CkVgww4XTD,United States,Russian,2015-08-03 17:31:00,2015-08-03 17:31:00,1484,220,1763,R,1
PaninaViktorya,Традиционно https://t.co/y9bzhyVBJm http://t.co/KnaMN51K1i,United States,Russian,2015-08-03 17:33:00,2015-08-03 17:33:00,1484,220,1765,R,1
PaninaViktorya,Из самого высокого небоскреба Лондона из-за пожара эвакуированы 100 человек http://t.co/xe7Xfkh9d9,United States,Russian,2015-08-04 14:13:00,2015-08-04 14:13:00,1484,220,1768,R,1
PaninaViktorya,"Моуринью: раньше у меня были разногласия с Абрамовичем, сейчас проблем нет http://t.co/GwP7CRyW7N",United States,Russian,2015-08-04 14:53:00,2015-08-04 14:53:00,1484,220,1771,R,1
PaninaViktorya,"Умные девочки на дискатеках присматриваются к самым плохо танцующим парням, да",United States,Russian,2015-08-04 19:53:00,2015-08-04 19:53:00,1485,220,1773,R,1
PaninaViktorya,"""Известия"": Минздрав просят пометить вредные продукты http://t.co/4B0at0C9Xi",United States,Russian,2015-08-05 01:53:00,2015-08-05 01:53:00,1485,220,1775,R,1
PaninaViktorya,В Хабаровском крае 6 августа объявлено днем траура по погибшим в ДТП http://t.co/zYBYeDdYof,United States,Russian,2015-08-05 09:13:00,2015-08-05 09:14:00,1485,220,1778,R,1
PaninaViktorya,В Магадане приготовят гигантский бутерброд с 25 кг красной икры http://t.co/iDntoQgjIV,United States,Russian,2015-08-06 10:13:00,2015-08-06 10:14:00,1485,218,1784,R,1
PaninaViktorya,"Cамый популярный клип в Молдавии, например http://t.co/KjXsAG6Psj",United States,Russian,2015-08-08 12:53:00,2015-08-08 12:53:00,1485,219,1793,R,1
