author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
PetrSablin,Минсельхоз готовит достойный ответ на санкции Евросоюза http://t.co/viROYpxxhy http://t.co/aoepPLLj8r,Unknown,Russian,2015-06-22T15:31:00,2015-06-22T15:31:00,1099.0000000000,138.0000000000,1919.0000000000,R,True
PetrSablin,Прошу пани: 5 польских фильмов в «Победе»  http://t.co/8tllLdNSt4 http://t.co/XFF9FjXOJ9,Unknown,Russian,2015-07-01T13:51:00,2015-07-01T13:51:00,1097.0000000000,138.0000000000,1947.0000000000,R,True
PetrSablin,В США учительницу приговорили к 22 годам тюрьмы за секс с тремя подростками http://t.co/xB128GNSbg http://t.co/hcz5miMvzR,Unknown,Russian,2015-07-03T13:34:00,2015-07-03T13:34:00,1097.0000000000,138.0000000000,1949.0000000000,R,True
PetrSablin,"Талантливый парень,не дадим загубить его талант #ВсёДляНауки",Unknown,Russian,2015-07-16T12:25:00,2015-07-16T12:28:00,1096.0000000000,139.0000000000,1959.0000000000,,False
PetrSablin,Преподаватель с 2008 года задает студентам это задание. Пока только раз кто-то получил баллы https://t.co/C5YadzTQ2R http://t.co/jozObmQ7Zn,Unknown,Russian,2015-07-17T08:53:00,2015-07-17T08:53:00,1096.0000000000,138.0000000000,1970.0000000000,R,True
PetrSablin,Скончался Игорь Арташонов  http://t.co/5wKBZAArRv http://t.co/PRhYIp8WPX,Unknown,Russian,2015-07-18T22:13:00,2015-07-18T22:13:00,1096.0000000000,138.0000000000,1978.0000000000,R,True
PetrSablin,'@byDrBre @n_barmaleykina  зенит потом толпой  накроет',Unknown,Russian,2015-07-19T22:41:00,2015-07-19T22:41:00,1096.0000000000,139.0000000000,1979.0000000000,,False
PetrSablin,"'@MargoSavazh @_Valentina133 @Gold_Million ну это ведь достойные и выдающиеся люди, им можно во вдасть'",Unknown,Russian,2015-07-19T23:27:00,2015-07-19T23:27:00,1096.0000000000,140.0000000000,1981.0000000000,,False
PetrSablin,Ким Чен Ын отдал свой голос за водителя троллейбуса  http://t.co/xt8OWPRpMc http://t.co/YElASJcs6i,Unknown,Russian,2015-07-20T05:53:00,2015-07-20T05:53:00,1096.0000000000,140.0000000000,1983.0000000000,R,True
PetrSablin,Как не надо парковаться — пьяная именинница протаранила три авто в Москве  http://t.co/ofFkQZ5w1u  Видео:  http://t.co/eR8jFbigZb,Unknown,Ukrainian,2015-07-22T09:54:00,2015-07-22T09:54:00,1096.0000000000,140.0000000000,1987.0000000000,R,True
PetrSablin,О чем сейчас снимаются американские сериалы? http://t.co/HSo465wtog,Unknown,Russian,2015-07-23T17:41:00,2015-07-23T17:42:00,1096.0000000000,140.0000000000,1989.0000000000,R,True
PetrSablin,Наблюдатели ОБСЕ полтора часа были под минометным обстрелом на территории ЛНР  http://t.co/FJ10GLa7S6,Unknown,Russian,2015-07-26T22:11:00,2015-07-26T22:11:00,1096.0000000000,141.0000000000,1995.0000000000,R,True
PetrSablin,«АвтоВаз» инвестировал более 220 млн. евро в двигатели  http://t.co/Z6efE8Zfum,Unknown,Russian,2015-07-27T01:54:00,2015-07-27T01:54:00,1096.0000000000,141.0000000000,1996.0000000000,R,True
PetrSablin,ВИДЕО. Крестный ход по случаю тысячелетия преставления князя Владимира  http://t.co/iofZr5AJdP http://t.co/B95i43HCMn,Unknown,Russian,2015-07-27T18:33:00,2015-07-27T18:34:00,1096.0000000000,141.0000000000,1999.0000000000,R,True
PetrSablin,При пожаре на мебельной фабрике в Египте погибли 24 человека http://t.co/ff7YDrDFP6,Unknown,Russian,2015-07-28T15:52:00,2015-07-28T15:52:00,1096.0000000000,140.0000000000,2001.0000000000,R,True
PetrSablin,Тарханов: Березуцкие и Игнашевич – оплот обороны ЦСКА http://t.co/fihW7Ul6Eo,Unknown,Russian,2015-07-29T13:31:00,2015-07-29T13:31:00,1096.0000000000,140.0000000000,2004.0000000000,R,True
PetrSablin,Калачёв: поражение «Краснодара» от «Спартака» не должно вводить в заблуждение http://t.co/fOeMWa8sbr,Unknown,Russian,2015-07-29T14:32:00,2015-07-29T14:32:00,1096.0000000000,140.0000000000,2005.0000000000,R,True
PetrSablin,ВИДЕО. Прыжки в длину на тягаче  http://t.co/kFai8eOOKK http://t.co/UdOD4t5ZJP,Unknown,Russian,2015-07-29T15:32:00,2015-07-29T15:32:00,1096.0000000000,140.0000000000,2006.0000000000,R,True
PetrSablin,Российских хакеров обвинили в хищении данных Белого дома через Twitter  #hitech,Unknown,Russian,2015-07-30T06:31:00,2015-07-30T06:31:00,1096.0000000000,140.0000000000,2008.0000000000,R,True
PetrSablin,МИД РФ: Москва не сочла возможным пропустить политизированное решение по MH 17  https://t.co/XicYOlROz4 http://t.co/3P7piSasjk,Unknown,Russian,2015-07-30T07:51:00,2015-07-30T07:51:00,1096.0000000000,140.0000000000,2009.0000000000,R,True
PetrSablin,Там и оставайтесь http://t.co/DqL53Ni2kR,Unknown,Russian,2015-07-30T16:14:00,2015-07-30T16:14:00,1096.0000000000,142.0000000000,2012.0000000000,R,True
PetrSablin,"Возможно медикаменты, используемые при борьбе с Эболой тоже были заражены http://t.co/LsYCJDjbsq",Unknown,Russian,2015-07-31T13:17:00,2015-07-31T13:17:00,1095.0000000000,142.0000000000,2016.0000000000,R,True
PetrSablin,Помощник Путина предложил перенести начало учебного года  http://t.co/7IcaWaxBLP http://t.co/j8S0KL9Wxm,Unknown,Russian,2015-07-31T14:32:00,2015-07-31T14:32:00,1095.0000000000,142.0000000000,2018.0000000000,R,True
PetrSablin,"Бельгийский принц предпочел стать мужем, а не королем  http://t.co/Dlimlalf29 http://t.co/RfVbgk3l2q",Unknown,Russian,2015-07-31T15:32:00,2015-07-31T15:32:00,1095.0000000000,142.0000000000,2019.0000000000,R,True
