author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
PhilGrech,Россия предупредила страны ОБСЕ о внезапной проверке боеготовности в ЦВО #УченияЦВО,Unknown,Russian,2015-05-26T19:16:00,2015-05-26T19:18:00,346.0000000000,126.0000000000,453.0000000000,,False
PhilGrech,О России и стереотипах https://t.co/F5wUINcWcd #РусскиеВарвары,Unknown,Russian,2015-07-14T18:48:00,2015-07-14T18:48:00,333.0000000000,119.0000000000,494.0000000000,,False
PhilGrech,В Советской России медведи ходят по улицам в шапках-ушанках #РусскиеВарвары https://t.co/F5wUINcWcd,Unknown,Russian,2015-07-14T19:21:00,2015-07-14T19:21:00,333.0000000000,119.0000000000,496.0000000000,,False
PhilGrech,Мы не агрессор! https://t.co/F5wUINcWcd #РусскиеВарвары,Unknown,Ukrainian,2015-07-14T19:49:00,2015-07-14T19:49:00,333.0000000000,119.0000000000,497.0000000000,,False
PhilGrech,'@MaxDementiev @SPB_citizen @zapvv четкий нацик',Unknown,Russian,2015-07-16T22:14:00,2015-07-16T22:14:00,333.0000000000,119.0000000000,504.0000000000,,False
PhilGrech,#НиШагуНазад - приказ № 227 Народного комиссара обороны СССР И. В. Сталина от 28 июля 1942 года http://t.co/mk1B8snSk3,Unknown,Russian,2015-07-28T15:05:00,2015-07-28T15:05:00,213.0000000000,119.0000000000,515.0000000000,R,True
PhilGrech,«ВКонтакте» занимает 18-е место в рейтинге социальных сетей на 2015й год   http://t.co/Ab9FUiPmcJ,Unknown,Russian,2015-08-05T11:36:00,2015-08-05T11:36:00,213.0000000000,119.0000000000,519.0000000000,R,True
PhilGrech,#РоссияЖжет пусть Еропа снимет санкции с России и  еда будет поступать к нам легально http://t.co/SzpY6Bc0C3,Unknown,Russian,2015-08-10T08:19:00,2015-08-10T08:20:00,213.0000000000,120.0000000000,530.0000000000,R,True
PhilGrech,Россия и Украина - #ОдинНарод http://t.co/c6oANKKsLC,Unknown,Russian,2015-08-18T15:06:00,2015-08-18T15:08:00,213.0000000000,120.0000000000,542.0000000000,R,True
PhilGrech,'@McFaul @Yuri_Romanov @US_progress @Autogenz @USAID http://t.co/rTowrCJYJu',Unknown,Russian,2015-08-20T15:40:00,2015-08-20T15:40:00,213.0000000000,120.0000000000,546.0000000000,R,True
PhilGrech,«Черный понедельник» начался в Шанхае и накрыл весь мир #BlackMonday http://t.co/GGJKyEdBBk http://t.co/9uA7bPwzoy,Unknown,Russian,2015-08-24T14:43:00,2015-09-20T03:09:00,213.0000000000,120.0000000000,549.0000000000,R,True
PhilGrech,Опять кризис? http://t.co/OKWY6vvVqX,Unknown,Russian,2015-08-24T17:13:00,2015-08-24T17:13:00,213.0000000000,120.0000000000,550.0000000000,R,True
PhilGrech,Если вас волнует курс рубля http://t.co/rTky7gmeuR,Unknown,Russian,2015-08-24T17:18:00,2015-08-24T17:18:00,213.0000000000,120.0000000000,551.0000000000,R,True
PhilGrech,СРОЧНО: На учениях НАТО в Черном море будут корабль и самолеты с ядерным зарядом    http://t.co/a8VGOQ46bS http://t.co/ywiX7v4iMC,Unknown,Russian,2015-08-31T11:46:00,2015-08-31T11:47:00,213.0000000000,120.0000000000,557.0000000000,R,True
PhilGrech,'@HillaryClinton @SenatorBaldwin http://t.co/KiLNbMTJBK',Unknown,Russian,2015-08-31T15:06:00,2015-08-31T15:06:00,213.0000000000,120.0000000000,563.0000000000,R,True
PhilGrech,Навальный пригласил дипломатов США в Кострому для отчета   https://t.co/top8wyQANe http://t.co/jC5rTMszZM,Unknown,Ukrainian,2015-09-04T09:54:00,2015-09-04T09:54:00,213.0000000000,121.0000000000,568.0000000000,R,True
PhilGrech,"История о том, как заказать петербургское такси в Пулково за 4 тыс и опоздать на 5 часов...  http://t.co/XLPkFKj0xZ http://t.co/Ry8us3IknM",Unknown,Russian,2015-09-08T14:44:00,2015-09-08T14:45:00,213.0000000000,120.0000000000,571.0000000000,R,True
PhilGrech,На «ИжАвто» сегодня стартовало производство долгожданной LADA Vesta #НоваяЛада,Unknown,Russian,2015-09-25T15:47:00,2015-09-25T15:47:00,208.0000000000,119.0000000000,593.0000000000,,False
PhilGrech,"#НоваяЛада Кто будет покупать LADA Vesta, произведенную на «ИжАвто»",Unknown,Russian,2015-09-25T15:48:00,2015-09-25T15:48:00,208.0000000000,119.0000000000,594.0000000000,,False
PhilGrech,Производство «вседорожного» универсала Lada Vesta Cross начнется осенью 2016 года #НоваяЛада,Unknown,Russian,2015-09-25T16:02:00,2015-09-25T16:02:00,208.0000000000,119.0000000000,595.0000000000,,False
PhilGrech,«АвтоВАЗ» начинает выпуск LADA Vesta #НоваяЛада,Unknown,Russian,2015-09-25T16:17:00,2015-09-25T16:18:00,208.0000000000,119.0000000000,596.0000000000,,False
PhilGrech,Сегодня утром дан старт серийному производству Lada Vesta #НоваяЛада,Unknown,Russian,2015-09-25T16:27:00,2015-09-25T16:28:00,208.0000000000,119.0000000000,597.0000000000,,False
PhilGrech,АвтоВАЗ приступил к серийному выпуску модели Lada Vesta #НоваяЛада,Unknown,Russian,2015-09-28T18:01:00,2015-09-28T18:02:00,207.0000000000,121.0000000000,599.0000000000,,False
PhilGrech,#НоваяЛада «АвтоВАЗ» начал серийный выпуск Lada Vesta,Unknown,Russian,2015-09-28T18:13:00,2015-09-28T18:16:00,207.0000000000,121.0000000000,600.0000000000,,False
PhilGrech,#НоваяЛада «АвтоВАЗ» запустил серийное производство Lada Vesta,Unknown,Russian,2015-09-28T18:21:00,2015-09-28T18:21:00,207.0000000000,121.0000000000,601.0000000000,,False
PhilGrech,Бу Андерсон: «Цена Lada Vesta составит от 495 до 600 тысяч рублей» #НоваяЛада,Unknown,Russian,2015-09-28T18:26:00,2015-09-28T18:26:00,207.0000000000,121.0000000000,602.0000000000,,False
PhilGrech,#НоваяЛада АвтоВАЗ начал серийное производство LADA Vesta,Unknown,Russian,2015-09-28T18:44:00,2015-09-28T18:44:00,207.0000000000,121.0000000000,603.0000000000,,False
PhilGrech,'@GrahamWP_UK Спецкор: в Донецк возвращаются жители в надежде на мир http://t.co/WmchRpU5ev http://t.co/CFw2pdEMxh',Unknown,Russian,2015-10-07T15:34:00,2015-10-07T15:34:00,207.0000000000,117.0000000000,608.0000000000,R,True
PhilGrech,Всех поздравляю с выходом на Евро16! Слуцкий вот такой мужик � #СлуцкийНеУходи http://t.co/uMPUQSU9JY,Unknown,Russian,2015-10-13T15:13:00,2015-10-13T15:14:00,207.0000000000,112.0000000000,607.0000000000,R,True
PhilGrech,Ужасы школьной практики http://t.co/rFM1wde5m6,Unknown,Russian,2015-10-18T16:49:00,2015-10-18T16:49:00,208.0000000000,113.0000000000,613.0000000000,R,True
PhilGrech,"CNN уже ИГ ""оппозиционной группировкой"" называет  https://t.co/Oj2gGwk51Y https://t.co/4V2LieAdZC",Unknown,Russian,2015-10-25T07:51:00,2015-10-25T07:51:00,208.0000000000,113.0000000000,621.0000000000,R,True
PhilGrech,В Черногории 5000 чел. вышли на протестные акции против вступления страны в НАТО и за расформирование правительства  https://t.co/i7ANovQonf,Unknown,Russian,2015-10-25T11:27:00,2015-10-25T11:27:00,208.0000000000,113.0000000000,623.0000000000,R,True
PhilGrech,Россия против терроризма: поле боя – Интернет  https://t.co/UiP4R5hmzH,Unknown,Russian,2015-11-05T07:17:00,2015-11-05T07:17:00,208.0000000000,112.0000000000,631.0000000000,R,True
PhilGrech,"Что скрывали Fanta, Ford и Ikea?  https://t.co/6nTstgqowL",Unknown,Ukrainian,2015-11-10T14:17:00,2015-11-10T14:18:00,208.0000000000,112.0000000000,634.0000000000,R,True
PhilGrech,Salon: Путин как госдеятель превосходит любого из политиков США  https://t.co/fo6IKAO7IY https://t.co/NiDqmPxrCu,Unknown,Russian,2015-11-26T10:03:00,2015-11-26T10:04:00,208.0000000000,112.0000000000,650.0000000000,R,True
PhilGrech,"А для чего тогда он там? Доверять, теперь не доверяем #Syria #Turkey #Zakharova #S400 https://t.co/Fw5vVBPrX3",Unknown,Russian,2015-11-26T15:32:00,2015-11-26T15:32:00,208.0000000000,112.0000000000,653.0000000000,R,True
PhilGrech,"Размещение российских С-400 в Сирии, ноябрь 2015 года  #Syria #Latakia #S400 https://t.co/xpWHKUdsv6",Unknown,Russian,2015-11-26T16:25:00,2015-11-26T16:26:00,208.0000000000,111.0000000000,655.0000000000,R,True
PhilGrech,Готический #Пушкин #Gothic #architecture https://t.co/inAiPbPAYK,Unknown,Russian,2015-11-30T19:42:00,2015-11-30T19:42:00,208.0000000000,110.0000000000,657.0000000000,R,True
PhilGrech,Кому это НАТО?  https://t.co/mLFNSE5oY9,Unknown,Ukrainian,2015-12-02T15:06:00,2015-12-02T15:09:00,208.0000000000,113.0000000000,660.0000000000,R,True
