author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
PhillipCarrr,The Great Pleasure in Life is Doing What People Say You Cannot Do. Walter Bagehot,United States,English,2015-05-19T02:16:00,2015-05-19T02:16:00,61.0000000000,48.0000000000,332.0000000000,,False
PhillipCarrr,"If you wonder where your child left his roller skates, try walking around the house in the dark #quote #fail",United States,English,2015-05-19T02:28:00,2015-05-19T02:28:00,61.0000000000,48.0000000000,333.0000000000,,False
PhillipCarrr,You're so busy trying to be what everyone else wants you to be that you don't know who you are.,United States,English,2015-05-19T02:29:00,2015-05-19T02:30:00,61.0000000000,48.0000000000,334.0000000000,,False
PhillipCarrr,Narrating People's Lives: At the Park! � (I guess it's true! XD) https://t.co/cobNYLW3PE,United States,English,2015-05-19T02:30:00,2015-05-19T02:30:00,61.0000000000,48.0000000000,335.0000000000,,False
PhillipCarrr,"Fun, only son can fix this hi-tech crap",United States,English,2015-05-19T02:41:00,2015-05-19T02:41:00,61.0000000000,48.0000000000,336.0000000000,,False
PhillipCarrr,'@Politweecs My thanks for all vets!',United States,English,2015-06-06T18:00:00,2015-06-06T18:00:00,61.0000000000,48.0000000000,338.0000000000,,False
PhillipCarrr,'@Humoritarian no democracy-no problems',United States,English,2015-06-08T17:00:00,2015-06-08T17:00:00,60.0000000000,48.0000000000,339.0000000000,,False
PhillipCarrr,BUT - #Jewish SETTLERS STORM AL-AQSA #MOSQUE WITH #POLICE PROTECTION   http://t.co/kmOUlVD3uU  #mosques http://t.co/dmG1HCK5QK,United States,English,2015-09-24T11:39:00,2015-09-24T11:39:00,56.0000000000,45.0000000000,340.0000000000,R,True
PhillipCarrr,"BUT - @VP Biden, @HillaryClinton to speak at major #gayrights group’s event http://t.co/Dr0TnSYjFX http://t.co/osdCkUEJuB",United States,English,2015-09-27T11:31:00,2015-09-27T11:31:00,56.0000000000,45.0000000000,341.0000000000,R,True
PhillipCarrr,BUT - #Muslims in #ShowBiz Worry About Anti-Islamic Rhetoric http://t.co/omuwK3rpFg http://t.co/snhPlbNiLB,United States,English,2015-09-27T11:32:00,2015-09-27T11:32:00,56.0000000000,45.0000000000,342.0000000000,R,True
PhillipCarrr,https://t.co/4NtKgxdRko #bacon pancakes!!!,United States,Kurdish,2015-11-17T13:37:00,2015-11-17T13:37:00,56.0000000000,45.0000000000,344.0000000000,,False
PhillipCarrr,goals to go cosmic tubing,United States,English,2015-11-17T13:38:00,2015-11-17T13:38:00,56.0000000000,45.0000000000,345.0000000000,,False
PhillipCarrr,We all write our own history  – how's yours looking?  – Sakura Oddie #ff,United States,English,2015-11-17T13:38:00,2015-11-17T13:38:00,56.0000000000,45.0000000000,346.0000000000,,False
PhillipCarrr,charming https://t.co/fQZhnWg9Xr,United States,English,2015-11-17T13:39:00,2015-11-17T13:39:00,56.0000000000,45.0000000000,347.0000000000,,False
PhillipCarrr,"Thanks, I got a new phobia https://t.co/LjmcYrKY1z",United States,English,2015-11-17T13:40:00,2015-11-17T13:41:00,56.0000000000,45.0000000000,348.0000000000,,False
PhillipCarrr,I hate not being able to sleep bc I wake up thinking abt everything,United States,English,2015-11-17T13:43:00,2015-11-17T13:43:00,56.0000000000,45.0000000000,351.0000000000,,False
PhillipCarrr,really good movies! https://t.co/mNIqHQ7nxr,United States,English,2015-11-17T13:44:00,2015-11-17T13:45:00,56.0000000000,45.0000000000,352.0000000000,,False
PhillipCarrr,The minute you stop making mistakes is the minute you stop learning.,United States,English,2015-11-17T13:47:00,2015-11-17T13:47:00,56.0000000000,45.0000000000,356.0000000000,,False
PhillipCarrr,Ok and I love lasagna https://t.co/ehLChYDCDe,United States,English,2015-11-17T13:47:00,2015-11-17T13:47:00,56.0000000000,45.0000000000,355.0000000000,,False
PhillipCarrr,No more terrorism #RubThemOutInTheOuthouse,United States,English,2015-11-17T17:47:00,2015-11-17T17:47:00,56.0000000000,45.0000000000,357.0000000000,,False
PhillipCarrr,#TurkeyAggressor Russia confirms its jet shot down near Turkish border,United States,English,2015-11-24T18:39:00,2015-11-24T18:39:00,56.0000000000,45.0000000000,360.0000000000,,False
PhillipCarrr,Putin: Downing Of Jet A 'Stab In The Back' #ww3 #worldwar3 #russianplane #shotdown https://t.co/rFyasr9WyR  #TurkeyAggressor,United States,English,2015-11-24T18:40:00,2015-11-24T18:40:00,56.0000000000,45.0000000000,362.0000000000,,False
PhillipCarrr,#TurkeyAggressor Turkey Says It Has Shot Down A Russian Warplane Near Border With Syria,United States,English,2015-11-24T18:44:00,2015-11-24T18:44:00,56.0000000000,45.0000000000,364.0000000000,,False
PhillipCarrr,Turkey shoots down Russian warplane on Syria border #TurkeyAggressor,United States,English,2015-11-24T18:52:00,2015-11-24T18:52:00,56.0000000000,45.0000000000,367.0000000000,,False
PhillipCarrr,"#TurkeyAggressor Turkey shoots down Russian warplane near Syria border, Moscow denies airspace",United States,English,2015-11-24T19:05:00,2015-11-24T19:05:00,56.0000000000,45.0000000000,374.0000000000,,False
PhillipCarrr,#TurkeyAggressor Turkmen Commander: We shot both pilots dead as they parachuted after the shoot down. Their dead bodies are here.,United States,English,2015-11-24T19:06:00,2015-11-24T19:06:00,56.0000000000,45.0000000000,375.0000000000,,False
PhillipCarrr,#TurkeyAggressor Downing the plane is a stab in the back and would have serious consequences of Russian-Turkish relations,United States,English,2015-11-24T19:11:00,2015-11-24T19:11:00,56.0000000000,45.0000000000,377.0000000000,,False
PhillipCarrr,The Latest: Turkish prime minister defends downing of Russian fighter jet #TurkeyAggressor,United States,English,2015-11-24T19:11:00,2015-11-24T19:11:00,56.0000000000,45.0000000000,378.0000000000,,False
PhillipCarrr,"BREAKING: FSA 1st Coastal Division destroying a Russian helicopter w/TOW, was already down #TurkeyAggressor",United States,English,2015-11-24T19:14:00,2015-11-24T19:14:00,56.0000000000,45.0000000000,382.0000000000,,False
PhillipCarrr,Not in my name. I do not consent.Governments and Religions MUST STOP this madness!#Turkey #Russianplane #worldpeace  #TurkeyAggressor,United States,English,2015-11-24T19:18:00,2015-11-24T19:19:00,56.0000000000,45.0000000000,384.0000000000,,False
PhillipCarrr,Happy thanksgiving sherm pie,United States,English,2015-11-26T15:16:00,2015-11-26T15:16:00,56.0000000000,45.0000000000,386.0000000000,,False
PhillipCarrr,"But one thing is needful: and Mary hath chosen that good part, which shall not be taken away from her.",United States,English,2015-11-26T16:28:00,2015-11-26T16:28:00,56.0000000000,45.0000000000,387.0000000000,,False
PhillipCarrr,Happy Thanksgiving! Don't forget to bring your non-perishable goods to the #Healdsburg #TurkeyTrot to donate,United States,English,2015-11-26T16:33:00,2015-11-26T16:33:00,56.0000000000,45.0000000000,388.0000000000,,False
