author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
PhoenixDailyNew,"GCU men's basketball gives up 61 points in 2nd half, loses to Nebraska-Omaha in OT  #sports",United States,English,2015-12-14 05:51:00,2015-12-21 15:01:00,7117,12004,13715,,0
PhoenixDailyNew,Wisconsin coach Bo Ryan retires after win  #sports,United States,English,2015-12-16 06:44:00,2015-12-21 15:14:00,7117,12004,13715,,0
PhoenixDailyNew,LifeLock paying $100M to settle federal fraud case  #politics,United States,English,2015-12-18 06:36:00,2015-12-21 07:41:00,7118,12003,13709,,0
PhoenixDailyNew,#local #news Weather: Warm weekend for the Phoenix area,United States,English,2015-12-18 14:06:00,2015-12-18 21:02:00,7123,12009,13653,,0
PhoenixDailyNew,#local #news 5 more inductees into the Veterans Hall of Fame,United States,English,2015-12-18 15:45:00,2015-12-18 15:45:00,7123,12008,13641,,0
PhoenixDailyNew,Caitlyn Jenner named Barbara Walters' Most Fascinating Person of 2015  #celebs #news,United States,English,2015-12-18 16:20:00,2015-12-18 16:20:00,7123,12009,13642,,0
PhoenixDailyNew,Education investigator resigns amid data flap  #politics,United States,English,2015-12-18 16:28:00,2015-12-18 16:28:00,7123,12009,13643,,0
PhoenixDailyNew,"Reds agree to trade Phillips to Nats, not D-Backs  #sports",United States,English,2015-12-18 16:49:00,2015-12-18 16:49:00,7123,12009,13644,,0
PhoenixDailyNew,#local #news Casino near Glendale to open Sunday after long battle,United States,English,2015-12-18 17:17:00,2015-12-18 17:17:00,7123,12009,13645,,0
PhoenixDailyNew,Medical examiner: Scott Weiland died from toxic mix of drugs  #celebs #news,United States,English,2015-12-18 17:52:00,2015-12-18 17:52:00,7123,12008,13646,,0
PhoenixDailyNew,"Senate clears massive spending bill, tax measures  #politics",United States,English,2015-12-18 18:00:00,2015-12-18 18:00:00,7123,12009,13647,,0
PhoenixDailyNew,LeBron James collides with Jason Day's wife  #sports,United States,English,2015-12-18 18:19:00,2015-12-18 18:19:00,7123,12009,13648,,0
PhoenixDailyNew,#local #news https://t.co/1qfTvhOPs8's best images of the moon,United States,English,2015-12-18 18:47:00,2015-12-18 18:47:00,7123,12010,13649,,0
PhoenixDailyNew,Audrina Patridge is pregnant  #celebs #news,United States,English,2015-12-18 19:22:00,2015-12-18 19:22:00,7123,12010,13650,,0
PhoenixDailyNew,How QB transfers impact Murphy recruitment  #sports,United States,English,2015-12-18 19:48:00,2015-12-18 19:48:00,7123,12010,13651,,0
PhoenixDailyNew,Star Wars fever takes over Phoenix  #events,United States,English,2015-12-18 20:09:00,2015-12-18 20:09:00,7123,12010,13652,,0
PhoenixDailyNew,#local #news Tonight: Last food-truck Friday in downtown Gilbert,United States,English,2015-12-18 20:16:00,2015-12-18 20:17:00,7123,12010,13653,,0
PhoenixDailyNew,"Notre Dame, Arizona have opened doors to Brophy Prep RB Ryan Velez  #sports",United States,English,2015-12-18 21:09:00,2015-12-18 21:09:00,7123,12009,13654,,0
PhoenixDailyNew,#local #news 78th_Fire_12.18.15,United States,English,2015-12-18 21:34:00,2015-12-18 21:34:00,7123,12010,13655,,0
PhoenixDailyNew,Majority of Arizona delegation opposes budget deal  #politics,United States,English,2015-12-18 22:17:00,2015-12-18 22:17:00,7123,12010,13656,,0
PhoenixDailyNew,Brunner nearing return for ASU women's basketball  #sports,United States,English,2015-12-18 22:32:00,2015-12-18 22:33:00,7123,12010,13657,,0
PhoenixDailyNew,Biggest and best upcoming events around Phoenix  #events,United States,English,2015-12-18 22:52:00,2015-12-18 22:54:00,7123,12011,13658,,0
PhoenixDailyNew,#local #news Find out what happened this week in Arizona history,United States,English,2015-12-18 22:57:00,2015-12-18 22:58:00,7123,12011,13659,,0
PhoenixDailyNew,#local #news Tempe-based Four Peaks Brewing Co. sold to Anheuser-Busch,United States,English,2015-12-19 00:11:00,2015-12-19 00:12:00,7123,12012,13660,,0
PhoenixDailyNew,Celebrity style: Red carpet looks  #celebs #news,United States,English,2015-12-19 00:41:00,2015-12-19 00:41:00,7123,12012,13661,,0
PhoenixDailyNew,Sanders campaign sues DNC over database access  #politics,United States,English,2015-12-19 00:48:00,2015-12-19 00:48:00,7123,12012,13662,,0
PhoenixDailyNew,Obert: Hoophall West Classic Day 1 rundown  #sports,United States,English,2015-12-19 01:00:00,2015-12-19 01:00:00,7123,12012,13663,,0
PhoenixDailyNew,#local #news 3 companies bid to run Glendale's Gila River Arena,United States,English,2015-12-19 02:29:00,2015-12-19 02:29:00,7123,12012,13664,,0
PhoenixDailyNew,#local #news Get carded: 11 last-minute gift-card ideas for Phoenix area and beyond,United States,English,2015-12-19 03:33:00,2015-12-19 03:34:00,7123,12011,13665,,0
PhoenixDailyNew,Bordow: Two days of hoops at Hoophall Invitiational  #sports,United States,English,2015-12-19 04:22:00,2015-12-19 04:23:00,7123,12011,13666,,0
PhoenixDailyNew,Suns' defensive problems rooted in many issues  #sports,United States,English,2015-12-19 05:31:00,2015-12-19 05:31:00,7123,12010,13667,,0
PhoenixDailyNew,#local #news Memorial honoring Tucson shooting victims moving forward,United States,English,2015-12-19 05:50:00,2015-12-19 05:52:00,7122,12010,13668,,0
PhoenixDailyNew,ABC Democratic presidential debate: How to tune in  #politics,United States,English,2015-12-19 06:29:00,2015-12-19 06:29:00,7122,12010,13669,,0
PhoenixDailyNew,#local #news USS Arizona survivors could return to Pearl Harbor for 75th anniversary,United States,English,2015-12-19 06:59:00,2015-12-19 06:59:00,7122,12010,13670,,0
PhoenixDailyNew,Suns get things on track in win over Pelicans  #sports,United States,English,2015-12-19 07:50:00,2015-12-19 07:52:00,7122,12013,13671,,0
PhoenixDailyNew,Sanders campaign sues DNC over database access  #politics,United States,English,2015-12-19 15:21:00,2015-12-19 15:22:00,7123,12016,13672,,0
PhoenixDailyNew,#local #news Pedestrian killed along Loop 101 in Scottsdale,United States,English,2015-12-19 15:57:00,2015-12-19 15:57:00,7123,12016,13673,,0
PhoenixDailyNew,Cosby lawyers fight deposition of wife Camille  #celebs #news,United States,English,2015-12-19 16:27:00,2015-12-19 16:27:00,7123,12016,13674,,0
PhoenixDailyNew,Arizona swimmers finish strong in pre-Olympic year  #sports,United States,English,2015-12-19 16:56:00,2015-12-19 16:57:00,7123,12017,13675,,0
PhoenixDailyNew,Daily Celebrity Watch  #celebs #news,United States,English,2015-12-19 17:47:00,2015-12-19 17:47:00,7123,12018,13676,,0
PhoenixDailyNew,JJ Abrams thought Star Wars would hurt his career  #celebs #news,United States,English,2015-12-19 19:04:00,2015-12-19 19:04:00,7123,12018,13677,,0
PhoenixDailyNew,Meet azcentral sports' All-Arizona football team  #sports,United States,English,2015-12-19 20:46:00,2015-12-19 20:47:00,7123,12018,13678,,0
PhoenixDailyNew,#local #news Cottonwood PD: 1 dead after truck collides with UPS semi,United States,English,2015-12-19 21:03:00,2015-12-19 21:03:00,7123,12018,13679,,0
PhoenixDailyNew,Miss Spain gets promotion: Miss World  #celebs #news,United States,English,2015-12-19 21:34:00,2015-12-19 21:34:00,7123,12018,13680,,0
PhoenixDailyNew,"ASU finds shooting stroke, routs Houston Baptist  #sports",United States,English,2015-12-19 21:59:00,2015-12-19 21:59:00,7123,12004,13681,,0
PhoenixDailyNew,#local #news Midtown Phoenix high-rise fire call causes evacuation,United States,English,2015-12-19 22:19:00,2015-12-19 22:20:00,7123,12004,13682,,0
PhoenixDailyNew,Sanders campaign says DNC has restored its access to voter database  #politics,United States,English,2015-12-19 23:03:00,2015-12-19 23:03:00,7123,12004,13683,,0
PhoenixDailyNew,Obert: Hoophall West Classic Day 2 rundown  #sports,United States,English,2015-12-19 23:16:00,2015-12-19 23:16:00,7123,12004,13684,,0
PhoenixDailyNew,#local #news Casa Grande dairy gets OK to grow marijuana,United States,English,2015-12-19 23:35:00,2015-12-19 23:35:00,7123,12004,13685,,0
PhoenixDailyNew,#local #news Surprise moves forward with changes of voter-approved plan,United States,English,2015-12-20 00:50:00,2015-12-20 00:50:00,7123,12004,13686,,0
PhoenixDailyNew,Celebrity style: Red carpet looks  #celebs #news,United States,English,2015-12-20 01:21:00,2015-12-20 01:21:00,7123,12004,13687,,0
PhoenixDailyNew,UA holds off New Mexico to end with bowl win  #sports,United States,English,2015-12-20 01:48:00,2015-12-20 01:48:00,7123,12003,13688,,0
PhoenixDailyNew,Steroids era may enter new phase in HOF voting  #sports,United States,English,2015-12-20 02:56:00,2015-12-20 02:57:00,7123,12003,13689,,0
PhoenixDailyNew,"Sanders to Clinton on data breach: 'Yes, I apologize'  #politics",United States,English,2015-12-20 04:57:00,2015-12-20 04:57:00,7123,12003,13690,,0
PhoenixDailyNew,"#local #news Police: Tow truck hits, kills woman in Tempe",United States,English,2015-12-20 05:22:00,2015-12-20 05:22:00,7123,12002,13691,,0
PhoenixDailyNew,Arizona men's basketball holds off UNLV at home  #sports,United States,English,2015-12-20 06:22:00,2015-12-20 06:23:00,7123,12002,13692,,0
