author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
PiterKarasev,Мнение Кудрина и мое немного не совпали  - #МандатДоверия проверить можно и потом,Unknown,Russian,2015-06-18 16:05:00,2015-06-18 16:05:00,40,3,90,,0
PiterKarasev,Кончита Вурст снялась топлес для журнала Rolling Stone http://t.co/WF7lca9FYt,Unknown,Ukrainian,2015-06-25 11:32:00,2015-06-25 11:32:00,40,3,106,R,1
PiterKarasev,Из-за аварии Falcon выход в открытый космос по программе США могут перенести #ЭтоПростоКосмос,Unknown,Russian,2015-06-29 16:02:00,2015-06-29 16:02:00,40,5,108,,0
PiterKarasev,Ролик смешной) #ЭтоПростоКосмос http://t.co/nE5dDNQTdI,Unknown,Russian,2015-06-29 16:52:00,2015-06-29 16:52:00,40,5,110,,0
PiterKarasev,"#этоПростоКосмос  Весной 2014 года «Южмаш» лишился российских заказов, не приобретя взамен ничего. http://t.co/nE5dDNQTdI",Unknown,Russian,2015-06-29 17:27:00,2015-06-29 17:27:00,40,5,111,,0
PiterKarasev,В день рождения Илона Маска его ракета Falcon 9 взорвалась http://t.co/nE5dDNQTdI,Unknown,Russian,2015-06-29 19:19:00,2015-06-29 19:19:00,40,5,113,,0
PiterKarasev,Россия – мировой лидер по производству инженеров  http://t.co/uhxqw3AEIr http://t.co/MQeiV8zx2P,Unknown,Russian,2015-07-01 15:41:00,2015-07-01 15:41:00,40,5,114,R,1
PiterKarasev,'@zubovnik @rgrus @aleksey_kry   Зенит - чемпион чемпионов!!!',Unknown,Russian,2015-07-12 21:45:00,2015-07-12 21:46:00,40,5,119,,0
PiterKarasev,'@zubovnik @tass_agency @djat_ir  прям как духи в афгане',Unknown,Bulgarian,2015-07-12 21:56:00,2015-07-12 21:56:00,40,5,120,,0
PiterKarasev,'@byDrBre @Sandy_mustache опять олигархи наживаются на людях',Unknown,Russian,2015-07-31 20:50:00,2015-07-31 20:50:00,95,6,141,,0
PiterKarasev,"#ПосланиеПотомкам Одно послание- сохраните страну. Сделайте ее еще лучше, помните о Родине, где бы вы не находились. http://t.co/eMODJLrV74",Unknown,Russian,2015-08-14 19:07:00,2015-08-14 19:08:00,93,6,148,R,1
PiterKarasev,'@MaxDementiev и хоронить не надо',Unknown,Ukrainian,2015-08-15 22:15:00,2015-08-15 22:17:00,94,6,149,,0
PiterKarasev,Ленинопад на Украине  http://t.co/Js2ZUV1QcB,Unknown,Ukrainian,2015-08-18 13:19:00,2015-08-18 13:19:00,94,6,154,R,1
PiterKarasev,«Черный понедельник» начался в Шанхае и накрыл весь мир #BlackMonday http://t.co/GGJKyEdBBk http://t.co/9uA7bPwzoy,Unknown,Russian,2015-08-24 14:26:00,2015-09-20 02:28:00,94,6,158,R,1
PiterKarasev,У финансовых рынков почва уходит из-под ног.  Падают практически все фондовые и сырьевые активы  #BlackMonday http://t.co/5fFMP0RW2k,Unknown,Russian,2015-08-24 14:41:00,2015-09-20 03:04:00,94,6,160,R,1
PiterKarasev,Сергей Шубенков принес сборной России первое золото ЧМ в беге на 110 метров с барьерами http://t.co/Nh5f2MYIOS http://t.co/orT0XjxEiz,Unknown,Russian,2015-08-28 14:03:00,2015-08-28 14:03:00,94,6,163,R,1
PiterKarasev,'@realDonaldTrump !!!!! http://t.co/gUZLSXgbr8',Unknown,Russian,2015-08-29 12:43:00,2015-08-29 12:43:00,94,6,168,R,1
PiterKarasev,"Вот в такую ситуацию можно попасть, если заказать первое попавшееся такси  http://t.co/lLiWML7UCi http://t.co/EGzPOn15mO",Unknown,Russian,2015-09-08 14:25:00,2015-09-08 14:25:00,93,7,175,R,1
PiterKarasev,"История о том, как заказать петербургское такси в Пулково за 4 тыс и опоздать на 5 часов...  http://t.co/XLPkFKj0xZ http://t.co/Ry8us3IknM",Unknown,Russian,2015-09-08 14:28:00,2015-09-08 14:28:00,93,7,176,R,1
PiterKarasev,халявных green card! налетай!  но только если ты - сириец   http://t.co/3UG6wxX8Ad,Unknown,Russian,2015-09-10 15:41:00,2015-09-10 15:41:00,93,6,179,R,1
PiterKarasev,российская армия — вечный двигатель высшего образования,Unknown,Russian,2015-09-28 09:06:00,2015-09-28 09:06:00,93,6,186,R,1
PiterKarasev,"Афганистан. Первые версии уничтожения госпиталя ""Врачи без границ"" http://t.co/79FfjXbzPG",Unknown,Russian,2015-10-07 07:38:00,2015-10-07 07:39:00,92,6,196,R,1
PiterKarasev,Всех поздравляю с выходом на Евро16! Слуцкий вот такой мужик � #СлуцкийНеУходи http://t.co/uMPUQSU9JY,Unknown,Russian,2015-10-13 15:15:00,2015-10-13 15:15:00,92,6,197,R,1
PiterKarasev,#будущеенаступило Ждём российские базы на Луне! https://t.co/4cZ0Wt88w6,Unknown,Russian,2015-10-21 09:58:00,2015-10-21 09:59:00,91,6,206,R,1
PiterKarasev,Совпадение? Не думаю! #НеЕдувТурцию https://t.co/Am6DxyLVk6,Unknown,Russian,2015-11-24 14:32:00,2015-11-24 14:33:00,90,7,231,R,1
PiterKarasev,"На севере Алеппо ИГ применили начинённый взрывчаткой грузовик против бригады боевиков ССА, поддерживаемой США #Сирия https://t.co/VicaokkhrB",Unknown,Russian,2015-11-27 09:39:00,2015-11-27 09:39:00,90,7,235,R,1
PiterKarasev,Месть спецназа: сирийцы жестоко отомстили за погибших в Латакии российских военных #Су24 #УдарВСпину #Turkey https://t.co/D0zMjBccg3,Unknown,Russian,2015-11-27 09:53:00,2015-11-27 09:54:00,90,7,236,R,1
PiterKarasev,"""США вводят новые санкции против России"" Андрей Манзолевский   https://t.co/l2toVfPvfm",Unknown,Russian,2015-12-02 17:05:00,2015-12-02 17:05:00,90,7,239,,0
PiterKarasev,"У кого #правда, тот и сильней!  https://t.co/uSrTMkWytS",Unknown,Russian,2015-12-14 14:27:00,2015-12-14 14:27:00,89,7,241,R,1
PiterKarasev,Прямая линия с Владимиром Путиным назначена на 14 апреля#ВопросПрезиденту,Unknown,Russian,2016-04-10 23:34:00,2016-04-10 23:35:00,85,3,253,,0
PiterKarasev,"Друзья, ветерана облитую краской зовут Людмила Самуиловна Пичко, она жива и здорова, умерла 10 Мая её сестра Любовь. https://t.co/om9aj9siYY",Unknown,Russian,2016-05-13 12:50:00,2016-05-13 12:50:00,88,2,261,R,1
PiterKarasev,"13 мая 1783 русские корабли  вошли в бухту,где появится Севастополь. День Черноморского фл. #ВеликийЧерноморскийФлот https://t.co/XGxSMPimye",Unknown,Russian,2016-05-13 12:53:00,2016-05-13 12:53:00,89,2,265,R,1
PiterKarasev,'@g_grushko @history_RF а что случилось?',Unknown,Russian,2016-05-13 12:53:00,2016-05-13 12:53:00,89,2,266,,0
PiterKarasev,Руки свои грязные от самолетов убери!))) https://t.co/H24fkPE0BX,Unknown,Russian,2016-05-13 12:55:00,2016-05-13 12:55:00,89,2,268,,0
