author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
Porter_2type,"If #Jeb is such a clever guy, why did he keep quiet all the years while Jorge was in charge? #LashBush",United States,English,2015-05-21 17:14:00,2015-05-21 17:14:00,89,65,407,,0
Porter_2type,We need unity and not critics #LashBush,United States,English,2015-05-21 17:37:00,2015-05-21 17:37:00,89,65,408,,0
Porter_2type,I`m fed up with the Bush family #LashBush,United States,English,2015-05-21 17:55:00,2015-05-21 17:55:00,89,65,410,,0
Porter_2type,I don`t like the idea of another Bush as our president #LashBush,United States,English,2015-05-21 18:20:00,2015-05-21 18:22:00,89,65,411,,0
Porter_2type,The summer is over #FallDepressionReasons,United States,English,2015-09-27 14:04:00,2015-09-27 14:04:00,81,66,412,,0
Porter_2type,My car is broken #FallDepressionReasons,United States,English,2015-09-27 14:08:00,2015-09-27 14:08:00,81,66,414,,0
Porter_2type,Feel sad… Very sad#FallDepressionReasons,United States,English,2015-09-27 14:08:00,2015-09-27 14:09:00,81,66,416,,0
Porter_2type,#GOPStop who is ready to solve our economical problems? #foxbusinessdebate,United States,English,2015-11-11 02:41:00,2015-11-11 02:41:00,81,66,417,,0
Porter_2type,#GOPStop Faces from the last #GOPDebate audience. Sleep well.,United States,English,2015-11-11 03:16:00,2015-11-11 03:16:00,81,66,419,,0
Porter_2type,Another #foxbusinessdebate is for another lie… #foxbusinessdebate #GOPStop,United States,English,2015-11-11 03:29:00,2015-11-11 03:29:00,81,66,420,,0
Porter_2type,"#GOPStop Chris Christie, Rand Paul campaigns complain about bathroom-like greenrooms ahead of #GOPdebate",United States,English,2015-11-11 03:38:00,2015-11-11 03:38:00,81,66,421,,0
Porter_2type,"#GOPStop #foxbusinessdebate I've got a new slogan for Rubio: ""If you want another pointless war in the Middle East, support Rubio!""",United States,English,2015-11-11 04:12:00,2015-11-11 04:12:00,81,66,422,,0
Porter_2type,I’m sure that the republican prez will destroy our economy #GOPDebate #GOPStop,United States,English,2015-11-11 04:21:00,2015-11-11 04:21:00,81,66,423,,0
Porter_2type,#GOPStop I am not actually going to watch #GOPDebateQuestions. I don't like when people lie,United States,English,2015-11-11 04:53:00,2015-11-11 04:53:00,81,66,424,,0
Porter_2type,#GOPStop I am ready to barf #GopDebate,United States,English,2015-11-11 05:09:00,2015-11-11 05:09:00,81,66,425,,0
Porter_2type,Someone Vandalized The Black Culture Center Sign On Mizzou s Campus #DemnDebate #DemDebate #WakeUpAmerica,United States,English,2015-11-15 03:35:00,2015-11-15 03:35:00,81,66,428,,0
Porter_2type,"Ben Carson tries to muddy the waters on Syria, China connection #DemnDebate #DemDebate #ccot",United States,English,2015-11-15 03:35:00,2015-11-15 03:35:00,81,66,427,,0
Porter_2type,Carson Responds to Trump s Insults: Pray for Him #DemnDebate #DemDebate #MakeDCListen,United States,English,2015-11-15 03:35:00,2015-11-15 03:36:00,81,66,429,,0
Porter_2type,#DemDebate Ben Carson camp laughs off media scrutiny in parody video #DemnDebate #WakeUpAmerica,United States,English,2015-11-15 03:36:00,2015-11-15 03:36:00,81,66,430,,0
Porter_2type,#DemDebate Boston shows solidarity and increased security after Paris attacks #DemnDebate #teaparty,United States,English,2015-11-15 03:37:00,2015-11-15 03:37:00,81,66,431,,0
Porter_2type,#DemnDebate Christian community rallies behind Amanda Blackburn s family #DemDebate #gop,United States,English,2015-11-15 03:39:00,2015-11-15 03:39:00,81,66,433,,0
Porter_2type,"#DemDebate #DemnDebate Carson : My sources are better than Obama on China, Syria relationship #pjnet",United States,English,2015-11-15 03:41:00,2015-11-15 03:41:00,81,66,435,,0
Porter_2type,Lymphoma Diagnosis Leads to Resignation For Mizzou s Gary Pinkel #DemnDebate #DemDebate #tcot,United States,English,2015-11-15 03:42:00,2015-11-15 03:42:00,81,66,438,,0
Porter_2type,"#DemnDebate When He Hears What Ben Carson Said About China, All Josh Earnest Can Do Is... #pjnet",United States,English,2015-11-15 03:42:00,2015-11-15 03:42:00,81,66,437,,0
Porter_2type,#DemnDebate Trump Shows Iowa His Crotch #DemDebate #RT,United States,English,2015-11-15 03:42:00,2015-11-15 03:43:00,81,66,439,,0
Porter_2type,Carson in the cross hairs #DemnDebate #DemDebate #tcot,United States,English,2015-11-15 03:42:00,2015-11-15 03:42:00,81,66,436,,0
Porter_2type,#DemnDebate Trump Continues to Utterly Lose His Shit Over Ben Carson s Durable Poll Numbers #tcot,United States,English,2015-11-15 03:42:00,2015-11-15 03:43:00,81,66,440,,0
