author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
petrgorelov,"Надеюсь,что армяне не настолько ведомы #YerevanBeSmart",Unknown,Russian,2015-06-23T16:48:00,2015-06-23T16:50:00,1984.0000000000,699.0000000000,6588.0000000000,,False
petrgorelov,у кого-то пукан рвет http://t.co/gEpmgz2qCm,Unknown,Ukrainian,2015-06-29T08:47:00,2015-06-29T08:47:00,1982.0000000000,699.0000000000,6606.0000000000,R,True
petrgorelov,В Донецк и Луганск отправилась новая гуманитарная колонна МЧС России: http://t.co/WgSy9acnO9,Unknown,Russian,2015-07-16T02:51:00,2015-07-16T02:53:00,1977.0000000000,696.0000000000,6630.0000000000,R,True
petrgorelov,Самолет Boeing экстренно сел в Краснодаре из-за аллергии пассажира http://t.co/9xX5OGqsPZ,Unknown,Ukrainian,2015-07-16T05:12:00,2015-07-16T05:12:00,1977.0000000000,696.0000000000,6631.0000000000,R,True
petrgorelov,Honda HR-V нового поколения поступит в продажу в Европе в сентябре http://t.co/jrRgfUnHZV,Unknown,Russian,2015-07-16T11:12:00,2015-07-16T11:12:00,1977.0000000000,696.0000000000,6633.0000000000,R,True
petrgorelov,МИД России обеспокоен «децентрализацией по-киевски» http://t.co/ccKzaaXO8d http://t.co/xXm9km8YIX,Unknown,Russian,2015-07-17T11:52:00,2015-07-17T11:52:00,1977.0000000000,697.0000000000,6636.0000000000,R,True
petrgorelov,Журнал Charlie Hebdo отказался от карикатур на пророка Мухаммеда http://t.co/fw1pA9UxkE,Unknown,Russian,2015-07-18T08:33:00,2015-07-18T08:33:00,1977.0000000000,697.0000000000,6640.0000000000,R,True
petrgorelov,США и союзники нанесли 31 авиаудар по позициям ИГ в Сирии и Ираке http://t.co/e4dxRyYmxo,Unknown,Russian,2015-07-18T17:11:00,2015-07-18T17:11:00,1977.0000000000,697.0000000000,6641.0000000000,R,True
petrgorelov,Прочитали новый роман Харпер Ли и постарались рассказать про него без спойлеров  https://t.co/U5cELGKcp3,Unknown,Russian,2015-07-19T09:32:00,2015-07-19T09:32:00,1977.0000000000,695.0000000000,6643.0000000000,R,True
petrgorelov,«Ювентус» намерен предложить € 12-15 млн за защитника «Порту» Алекса Сандро http://t.co/C6R4JCbCtx,Unknown,Ukrainian,2015-07-19T11:31:00,2015-07-19T11:31:00,1977.0000000000,696.0000000000,6644.0000000000,R,True
petrgorelov,«Анжи» — «Крылья Советов»: на матче ожидается порядка 20 болельщиков из Самары http://t.co/lFDMBHMiKy,Unknown,Russian,2015-07-19T11:33:00,2015-07-19T11:33:00,1977.0000000000,696.0000000000,6646.0000000000,R,True
petrgorelov,«Съездил в ДНР и теперь боюсь возвращаться в США»  http://t.co/u2qMryrtdA http://t.co/deFQSnEwpX,Unknown,Russian,2015-07-19T19:51:00,2015-07-19T19:51:00,1977.0000000000,695.0000000000,6648.0000000000,R,True
petrgorelov,'@salty_1970 Давайте тгавить Пасечника! @rubin_paceka @MedvedevRussia',Unknown,Russian,2015-07-20T12:34:00,2015-07-20T12:34:00,1977.0000000000,695.0000000000,6651.0000000000,R,True
petrgorelov,Члены кабмина ФРГ из-за угрозы прослушки на время зарубежных поездок меняют телефоны http://t.co/AIBS0f6rVJ,Unknown,Russian,2015-07-20T12:53:00,2015-07-20T12:53:00,1977.0000000000,695.0000000000,6652.0000000000,R,True
petrgorelov,"Родственники погибших хоккеистов ""Локомотива"" считают единственного обвиняемого невиновным http://t.co/d07EhuUqAt",Unknown,Russian,2015-07-21T15:35:00,2015-07-21T15:35:00,1976.0000000000,693.0000000000,6658.0000000000,R,True
petrgorelov,"Хоккейный ""Спартак"" сыграл первый матч за 504 дня http://t.co/NgnQyI1T9h http://t.co/dfEuWTdATj",Unknown,Russian,2015-07-21T17:32:00,2015-07-21T17:32:00,1976.0000000000,693.0000000000,6659.0000000000,R,True
petrgorelov,Кадыров рассказал о возможном визите короля Саудовской Аравии в Россию http://t.co/D4H6qzGOvt http://t.co/JrVyTKMiik,Unknown,Russian,2015-07-21T17:52:00,2015-07-21T17:52:00,1976.0000000000,693.0000000000,6660.0000000000,R,True
petrgorelov,В Луганске найдены запасы американского оружия http://t.co/i7OB1wvDtV,Unknown,Russian,2015-07-22T17:28:00,2015-07-22T17:28:00,1976.0000000000,695.0000000000,6663.0000000000,R,True
petrgorelov,"""Чарльстонскому стрелку"" предъявлены официальные обвинения по 33 статьям http://t.co/j0GXed5t7W",Unknown,Russian,2015-07-22T20:33:00,2015-07-22T20:34:00,1976.0000000000,695.0000000000,6665.0000000000,R,True
petrgorelov,"Двух россиян, подозреваемых в преступлениях, депортировали из Таиланда в РФ http://t.co/awQCUlu1xk",Unknown,Russian,2015-07-24T05:52:00,2015-07-24T05:52:00,1976.0000000000,688.0000000000,6682.0000000000,R,True
petrgorelov,Опубликован календарь ЧМ по футболу — 2018  http://t.co/QnSSbGMoXP http://t.co/lFjfehMKJW,Unknown,Ukrainian,2015-07-24T14:12:00,2015-07-24T14:12:00,1976.0000000000,688.0000000000,6684.0000000000,R,True
petrgorelov,«Крылья Советов» — ЦСКА: онлайн-трансляция матча начнётся в 19:00 http://t.co/H2RT4tOqvo,Unknown,Russian,2015-07-24T15:12:00,2015-07-24T15:12:00,1976.0000000000,689.0000000000,6686.0000000000,R,True
petrgorelov,Пять семей погибших при обрушении казармы в Омске получат по 1 млн рублей http://t.co/0R2avOWeiS,Unknown,Russian,2015-07-24T18:51:00,2015-07-24T18:51:00,1976.0000000000,690.0000000000,6689.0000000000,R,True
petrgorelov,СБ ООН рассмотрит проект резолюции о трибунале по Boeing 29 июля http://t.co/tn2Ei6ORAI,Unknown,Russian,2015-07-24T23:32:00,2015-07-24T23:32:00,1976.0000000000,690.0000000000,6690.0000000000,R,True
petrgorelov,Посольство России в Киеве не получало уведомлений о задержании якобы российского офицера http://t.co/gJgctRhV2x,Unknown,Russian,2015-07-26T12:30:00,2015-07-26T12:31:00,1974.0000000000,688.0000000000,6698.0000000000,R,True
petrgorelov,Как Англия готовила захват ВМФ http://t.co/LGA37XFPUM,Unknown,Bulgarian,2015-07-26T16:27:00,2015-07-26T16:27:00,1974.0000000000,688.0000000000,6700.0000000000,R,True
petrgorelov,Из-за падения спроса «АвтоВАЗ» остановил конвейер и уходит на вынужденные каникулы  http://t.co/QK6R31lONM http://t.co/owvtoSyb8x,Unknown,Russian,2015-07-27T07:53:00,2015-07-27T07:53:00,1974.0000000000,688.0000000000,6704.0000000000,R,True
petrgorelov,Порошенко предлагает переименовать младших лейтенантов  http://t.co/AxZg7dtd9T http://t.co/X8Z3Ono1AW,Unknown,Russian,2015-07-27T11:52:00,2015-07-27T11:53:00,1974.0000000000,688.0000000000,6705.0000000000,R,True
