author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
ppogresseo,Необычные рестораны McDonald`s http://t.co/F2qsXqCDUw,Unknown,Russian,2015-06-22 12:52:00,2015-06-22 12:52:00,800,173,1890,,0
ppogresseo,«Мегафон» никого не подпускает к своему кабелю http://t.co/9qIi0i1Kx0 http://t.co/BURvWoHFGu,Unknown,Russian,2015-06-25 17:32:00,2015-06-25 17:32:00,800,173,1903,R,1
ppogresseo,"Похоже, греки хотят быстрее освободиться от ЕС http://t.co/NcAOmXohe0",Unknown,Russian,2015-07-03 17:27:00,2015-07-03 17:29:00,799,173,1912,R,1
ppogresseo,Сегодня женская сборная России заканчивает первый этап волейбольного Гран-При  http://t.co/NvYwc7Su1Y http://t.co/6uqKFw8qJj,Unknown,Russian,2015-07-05 13:51:00,2015-07-05 13:51:00,799,174,1916,R,1
ppogresseo,100 лучших книг в истории мировой литературы по версии Newsweek http://t.co/BBx8u6dPqy,Unknown,Russian,2015-07-05 17:52:00,2015-07-05 17:52:00,799,174,1918,,0
ppogresseo,"В блогах: 6 июля 2002 года ""Крылья Советов"" дебютировали в Европе http://t.co/HUtXzcmAJh",Unknown,Russian,2015-07-06 15:31:00,2015-07-06 15:31:00,799,175,1920,R,1
ppogresseo,Яценюк обвинил Путина в намерении уничтожить украинский народ http://t.co/W8xPrzzjhU,Unknown,Russian,2015-07-15 19:53:00,2015-07-15 19:53:00,798,176,1937,R,1
ppogresseo,МГТС решила заработать на хранении персональных данных  http://t.co/H3W1gxIrgY,Unknown,Russian,2015-07-16 08:35:00,2015-07-16 08:35:00,798,176,1939,R,1
ppogresseo,Власти Москвы определили конкретные съезды со МКАД для их закрытия на реконструкцию  http://t.co/giXs8rekn4,Unknown,Russian,2015-07-16 09:11:00,2015-07-16 09:11:00,798,176,1940,R,1
ppogresseo,СРОЧНО!  В камере хранения на Казанском вокзале произошел подозрительный хлопок.   http://t.co/Uce9QzPMQe http://t.co/jKOTzrxXAK,Unknown,Russian,2015-07-16 13:53:00,2015-07-16 13:53:00,798,176,1941,R,1
ppogresseo,В Латвии появилось первое постоянное военное формирование НАТО http://t.co/sM3vQ14PTn,Unknown,Russian,2015-07-16 15:52:00,2015-07-16 15:52:00,798,176,1945,R,1
ppogresseo,Агет Касильяса: Икер не хотел уходить из «Реала» http://t.co/0RSfHvFcNY,Unknown,Ukrainian,2015-07-16 18:54:00,2015-07-16 18:54:00,798,176,1949,R,1
ppogresseo,"В твиторе опять копяются, бляди. Завтра-послезавтра ждите очередное никчемное обновление!",Unknown,Russian,2015-07-16 20:33:00,2015-07-16 20:33:00,798,176,1951,R,1
ppogresseo,Застройщики получили «зеленый свет» на освоение территории МГУ. Корреспондент РБК побывал на публичных слушаниях: http://t.co/vMP2N9gOZm,Unknown,Russian,2015-07-17 12:51:00,2015-07-17 12:51:00,798,176,1953,R,1
ppogresseo,А кому теперь держать карман шире? Правильно ))) https://t.co/REN0cClaPw,Unknown,Russian,2015-07-17 15:32:00,2015-07-17 15:32:00,798,176,1954,R,1
ppogresseo,Лидеры МЕРКОСУР на саммите выступили за углубление интеграции и в защиту демократии  http://t.co/CZCLjz5Qr3,Unknown,Russian,2015-07-17 22:13:00,2015-07-17 22:13:00,798,176,1956,R,1
