author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
RBurno_,Вчера Айдар провокационно захватил 2х бойцов Народной милиции ЛНР на её территории. А как же Минские договоренности?  http://t.co/nX2ytzZfYU,Unknown,Russian,2015-05-17T17:45:00,2015-05-17T17:45:00,800.0000000000,112.0000000000,304.0000000000,R,True
RBurno_,"Презентация музея ""Зенита"" http://t.co/MiN1g1bqVx",Unknown,Bulgarian,2015-05-29T17:29:00,2015-05-29T17:29:00,801.0000000000,113.0000000000,308.0000000000,R,True
RBurno_,Дети не должны взрослеть из-за войны #ДеньЗащитыДетей http://t.co/A2gFHAPfym,Unknown,Russian,2015-06-01T17:31:00,2015-06-01T17:33:00,801.0000000000,114.0000000000,309.0000000000,R,True
RBurno_,Автомат Калашникова оснастили выходом в интернет http://t.co/D5VWis1XVv,Unknown,Russian,2015-06-17T11:20:00,2015-06-17T11:20:00,788.0000000000,105.0000000000,312.0000000000,R,True
RBurno_,"Кризис - полезнное явлением для экономики, так как выживут самые сильные предприятия #ЗапасПрочности",Unknown,Russian,2015-06-19T15:35:00,2015-06-19T15:36:00,788.0000000000,105.0000000000,318.0000000000,,False
RBurno_,Кушайте на здоровье: новое меню в больницах Подмосковья  http://t.co/S99ZpctOWj http://t.co/WUjvdHzILc,Unknown,Russian,2015-07-17T10:09:00,2015-07-17T10:09:00,785.0000000000,106.0000000000,340.0000000000,R,True
RBurno_,Отборные факты о России по версии иностранцев http://t.co/k1psWbSqZs #Россия #RuOpen,Unknown,Russian,2015-07-21T16:29:00,2015-07-21T16:30:00,783.0000000000,106.0000000000,343.0000000000,R,True
RBurno_,Конкурс «Мастера автобронетанковой техники» завершился победой сборной России   http://t.co/tVgJVYTXcO,Unknown,Russian,2015-08-17T07:46:00,2015-08-17T07:46:00,782.0000000000,103.0000000000,360.0000000000,R,True
RBurno_,Фильм-портрет о лучшем кондукторе Санкт-Петербурга Викторе Петровиче Лукьянове  https://t.co/LBxMx0isJA #ЛучшийКондукторПетербурга  @varlamov,Unknown,Russian,2015-08-28T16:14:00,2015-08-28T16:15:00,777.0000000000,101.0000000000,373.0000000000,R,True
RBurno_,"Прикольно, можно хоть не тратить много в путешествиях по России http://t.co/yJe9hQoqpk #ОтдыхаемДома",Unknown,Russian,2015-08-29T15:00:00,2015-09-25T05:49:00,778.0000000000,101.0000000000,390.0000000000,,False
RBurno_,Навальный пригласил дипломатов США в Кострому для отчета   https://t.co/top8wyQANe http://t.co/jC5rTMszZM,Unknown,Ukrainian,2015-09-04T12:01:00,2015-09-04T12:04:00,776.0000000000,101.0000000000,398.0000000000,R,True
RBurno_,'@GrahamWP_UK  Аксенов нашел у властей Украины фантомные боли и частичную потерю памяти   http://t.co/caBwc1MFGb http://t.co/lYLSSf52pV',Unknown,Russian,2015-09-04T14:15:00,2015-09-04T14:15:00,776.0000000000,101.0000000000,402.0000000000,R,True
RBurno_,'@GrahamWP_UK Аксенов: Крым приступает к реализации Федеральной целевой программы http://t.co/Ehubx4eskS http://t.co/OrD82oMyIl',Unknown,Russian,2015-09-04T14:20:00,2015-09-04T14:21:00,776.0000000000,101.0000000000,403.0000000000,R,True
RBurno_,'@GrahamWP_UK Сергей Аксенов сообщил о предстоящем отстранении ряда чиновников Крыма http://t.co/v57dSt9hfe http://t.co/cK0LOhsGBe',Unknown,Russian,2015-09-05T07:54:00,2015-09-05T07:54:00,776.0000000000,101.0000000000,411.0000000000,R,True
RBurno_,Леонид Парфенов читает в стиле Кровосток #CoubМарафон http://t.co/EkZcUY3nZI,Unknown,Russian,2015-09-05T12:27:00,2015-09-05T12:27:00,776.0000000000,101.0000000000,416.0000000000,R,True
RBurno_,'@BarackObama Barack Obama !',Unknown,Croatian,2015-09-05T15:50:00,2015-09-05T15:50:00,776.0000000000,101.0000000000,417.0000000000,R,True
RBurno_,"Вот в такую ситуацию можно попасть, если заказать первое попавшееся такси  http://t.co/lLiWML7UCi http://t.co/EGzPOn15mO",Unknown,Russian,2015-09-08T16:17:00,2015-09-08T16:17:00,776.0000000000,101.0000000000,424.0000000000,R,True
RBurno_,Германия закрывает границу #беженцы   https://t.co/LtP1BW3Hxt,Unknown,Russian,2015-09-17T14:37:00,2015-09-17T14:37:00,767.0000000000,101.0000000000,429.0000000000,R,True
RBurno_,Легко ли стать смертником?  http://t.co/t4ia90feH1,Unknown,Russian,2015-09-23T16:41:00,2015-09-23T16:41:00,767.0000000000,100.0000000000,433.0000000000,R,True
RBurno_,"Что скрывали Fanta, Ford и Ikea?  https://t.co/6nTstgqowL",Unknown,Ukrainian,2015-11-10T14:55:00,2015-11-10T14:55:00,757.0000000000,98.0000000000,448.0000000000,R,True
