author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
rapirago,в России не разучились играть в футбол и именно сейчас все есть шанс это доказать #БолеемЗаНаших http://t.co/ciTAP6vA7E,United States,Russian,2015-07-19T15:50:00,2015-07-19T15:50:00,1670.0000000000,729.0000000000,1799.0000000000,,False
rapirago,Давайте наберемся терпения и пожелаем удачи Леониду Слуцкому #ПоСтопамТарасова http://t.co/FoeQUWmNQ0,United States,Russian,2015-08-07T14:48:00,2015-08-07T14:49:00,200.0000000000,702.0000000000,1814.0000000000,,False
rapirago,'@DonetskNovosti восстанавливать будут?',United States,Russian,2015-08-29T20:06:00,2015-09-25T12:04:00,196.0000000000,657.0000000000,1841.0000000000,,False
rapirago,"Глава ФМС:России не грозит поток мигрантов из Сирии,но ФМС гуманно отнесётся к просьбам тех,кто обратится за помощью  http://t.co/RUKQjC4Fbw",United States,Russian,2015-09-09T12:06:00,2015-09-09T12:06:00,195.0000000000,651.0000000000,1852.0000000000,R,True
rapirago,Если Дамаск попросит помочь в борьбе с ИГИЛ - мы поможем!  https://t.co/LnIgZbjhyY,United States,Russian,2015-09-21T14:27:00,2015-09-21T14:27:00,196.0000000000,643.0000000000,1879.0000000000,R,True
rapirago,Пойдет ли Запад на 4 условия Путина?  http://t.co/EvNazciQHH http://t.co/gfIyQ0xjgu,United States,Russian,2015-09-28T14:34:00,2015-09-28T14:34:00,196.0000000000,641.0000000000,1892.0000000000,R,True
rapirago,Немного хорошей пародии на тему блокады Крыма  https://t.co/7WUJ6mOUY4,United States,Russian,2015-09-29T13:15:00,2015-09-29T13:16:00,196.0000000000,639.0000000000,1893.0000000000,,False
rapirago,'@NovostiSmr а если не работать   и кайфовать -  то можно вообще до 120 лет жить',United States,Russian,2015-10-03T20:51:00,2015-10-03T20:51:00,195.0000000000,636.0000000000,1901.0000000000,,False
rapirago,Украина умирает: без злорадства про дефолт и его последствия  http://t.co/Ncw4F4yy5C http://t.co/xZRch5cn75,United States,Russian,2015-10-06T10:59:00,2015-10-06T10:59:00,195.0000000000,636.0000000000,1905.0000000000,,False
rapirago,'@NovostiSmr их же теперь должен аэрофлот взять',United States,Russian,2015-10-08T20:31:00,2015-10-08T20:32:00,195.0000000000,633.0000000000,1910.0000000000,,False
rapirago,'@NovostiMsk зачем животным интернет?',United States,Russian,2015-10-11T20:25:00,2015-10-11T20:25:00,195.0000000000,632.0000000000,1905.0000000000,,False
rapirago,"#ДеньТрезвости я решил, что в этот НГ пить не буду АХАХАХА",United States,Ukrainian,2015-10-14T15:36:00,2015-10-14T15:36:00,195.0000000000,631.0000000000,1912.0000000000,,False
rapirago,"Бомбим ИГИЛ, боремся со злом! Буду летчиком #поэтомуясупергерой http://t.co/UsMiWKynlr",United States,Russian,2015-10-19T18:41:00,2015-10-19T18:41:00,196.0000000000,629.0000000000,1919.0000000000,R,True
rapirago,Что ждет украинских граждан в России ?  https://t.co/KIblnViSol https://t.co/K0nkS4R0rd,United States,Russian,2015-10-19T18:45:00,2015-10-19T18:45:00,196.0000000000,629.0000000000,1920.0000000000,R,True
rapirago,https://t.co/Nf5QlY8fBV 1.ВАЗ 2101 2. ВАЗ 2104 3.ВАЗ 2109 4.ВАЗ 2110 5.Лада седан –БАКЛАЖАН!,United States,Uzbek,2015-10-20T02:23:00,2015-10-20T02:23:00,196.0000000000,629.0000000000,1924.0000000000,,False
rapirago,Политики нетривиально поздравили читателей ФАН в День народного единства https://t.co/4aRbsOXTGh https://t.co/6CKkRhb6gD,United States,Russian,2015-11-04T10:06:00,2015-11-04T10:06:00,196.0000000000,625.0000000000,1938.0000000000,R,True
rapirago,"Кто девушку ужинает, тот ее и танцует? https://t.co/UjvB7QrANP",United States,Russian,2015-11-16T17:54:00,2015-11-16T17:55:00,197.0000000000,620.0000000000,1943.0000000000,R,True
