author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
SlavaGolcev,Рогозин: Falcon 9 погубило «политиканство в космосе» http://t.co/D6NFwnMmsc http://t.co/bPWDkUb0iS,United Arab Emirates,Russian,2015-06-29T13:16:00,2015-06-29T13:16:00,1380.0000000000,336.0000000000,2042.0000000000,R,True
SlavaGolcev,Moody’s понизило прогноз по Греции http://t.co/wCyF4ii6wP http://t.co/78nGDeVPZU,United Arab Emirates,Russian,2015-07-02T08:33:00,2015-07-02T08:33:00,1380.0000000000,335.0000000000,2047.0000000000,R,True
SlavaGolcev,"Россия в июне нарастила международные резервы на 1,3% http://t.co/Zze6v2ZWqd http://t.co/RMwqC5Qjjd",United Arab Emirates,Russian,2015-07-07T14:51:00,2015-07-07T14:51:00,1378.0000000000,336.0000000000,2059.0000000000,R,True
SlavaGolcev,Российские банки потратят рекордные средства на создание резервов  http://t.co/a0aWJjhwpp,United Arab Emirates,Russian,2015-07-15T19:52:00,2015-07-15T19:53:00,1376.0000000000,338.0000000000,2065.0000000000,R,True
SlavaGolcev,Путин обсудил с премьером Нидерландов расследование крушения Boeing на Украине http://t.co/C3M0q50xKD,United Arab Emirates,Russian,2015-07-16T11:11:00,2015-07-16T11:11:00,1376.0000000000,338.0000000000,2069.0000000000,R,True
SlavaGolcev,Instagram запретил поиск фотографий по хештегу #curvy (пышные): http://t.co/bqPYYpJTH2,United Arab Emirates,Russian,2015-07-16T13:33:00,2015-07-16T13:33:00,1376.0000000000,338.0000000000,2071.0000000000,R,True
SlavaGolcev,"Концерт Кустурицы, запланированный на 28 июля в Киеве, отменен http://t.co/q8vkbCmggT",United Arab Emirates,Russian,2015-07-16T15:34:00,2015-07-16T15:34:00,1376.0000000000,338.0000000000,2073.0000000000,R,True
SlavaGolcev,Жители ДНР сегодня почтут память жертв крушения MH 17  http://t.co/1ZW4FoDYvd,United Arab Emirates,Russian,2015-07-17T04:32:00,2015-07-17T04:32:00,1376.0000000000,339.0000000000,2077.0000000000,R,True
SlavaGolcev,Пострадавшим в Омске десантникам выплатят от 60 до 230 тыс. рублей страховки http://t.co/XOTc12gsCh,United Arab Emirates,Ukrainian,2015-07-17T11:32:00,2015-07-17T11:32:00,1376.0000000000,340.0000000000,2078.0000000000,R,True
SlavaGolcev,Капков возглавит исследовательский центр при экономическом факультете МГУ http://t.co/o4Xfv4aN6N,United Arab Emirates,Russian,2015-07-17T12:52:00,2015-07-17T12:52:00,1376.0000000000,340.0000000000,2080.0000000000,R,True
SlavaGolcev,Google блокировал составленную немецкими ультраправыми карту приютов для беженцев http://t.co/rLdRV4NH6q,United Arab Emirates,Russian,2015-07-17T15:32:00,2015-07-17T15:32:00,1376.0000000000,340.0000000000,2082.0000000000,R,True
SlavaGolcev,"Привет, блогеры!",United Arab Emirates,Russian,2015-07-18T01:51:00,2015-07-18T01:51:00,1376.0000000000,340.0000000000,2084.0000000000,R,True
SlavaGolcev,Власти США отказываются комментировать расследование катастрофы Boeing на Украине  http://t.co/NQqH0vG0sM,United Arab Emirates,Russian,2015-07-18T03:11:00,2015-07-18T03:11:00,1376.0000000000,340.0000000000,2085.0000000000,R,True
SlavaGolcev,В журнале Charlie Hebdo больше не будет карикатур на религиозные темы  http://t.co/x66BE1noS3 http://t.co/c6hwjwNamA,United Arab Emirates,Russian,2015-07-18T04:31:00,2015-07-18T04:31:00,1376.0000000000,340.0000000000,2086.0000000000,R,True
SlavaGolcev,«Хватит лжи о катастрофе Boeing!» — голландцы вышли на митинги   http://t.co/0nYpbCSkOP https://t.co/gAMww5GX7g,United Arab Emirates,Uzbek,2015-07-19T14:33:00,2015-07-19T14:33:00,1374.0000000000,340.0000000000,2091.0000000000,R,True
SlavaGolcev,"Новак: подорожание бензина не будет связано с переходом на ""Евро-5"" http://t.co/GRlDia6H3s",United Arab Emirates,Russian,2015-07-20T01:31:00,2015-07-20T01:31:00,1374.0000000000,340.0000000000,2096.0000000000,R,True
SlavaGolcev,Опять нахуй? https://t.co/txHOX9pdsq,United Arab Emirates,Russian,2015-07-20T07:32:00,2015-07-20T07:32:00,1373.0000000000,340.0000000000,2097.0000000000,R,True
SlavaGolcev,"'@SFGO76 Он, сука, всех пчел своих заморил! Должен ответить! @rubin_paceka @MedvedevRussia'",United Arab Emirates,Russian,2015-07-20T12:34:00,2015-07-20T12:34:00,1373.0000000000,339.0000000000,2100.0000000000,R,True
SlavaGolcev,«Динамо» не будет настаивать на дисквалификации Гарсии  http://t.co/90piFlpitW http://t.co/XGsoJr5sqI,United Arab Emirates,Russian,2015-07-20T16:53:00,2015-07-20T16:54:00,1373.0000000000,339.0000000000,2101.0000000000,R,True
SlavaGolcev,Турция усилит охрану на границе с Сирией после теракта http://t.co/c7uj6hKSUr,United Arab Emirates,Serbian,2015-07-20T18:34:00,2015-07-20T18:34:00,1373.0000000000,338.0000000000,2102.0000000000,R,True
SlavaGolcev,.@skrotzky @Lexis20004 Ахахахаха! https://t.co/rxba6GsZkm,United Arab Emirates,Russian,2015-07-22T08:31:00,2015-07-22T08:31:00,1374.0000000000,338.0000000000,2110.0000000000,R,True
SlavaGolcev,"ФМС: из России могут выслать 2,7 млн иностранцев #новости http://t.co/mMA6gyTKWf",United Arab Emirates,Russian,2015-07-22T10:12:00,2015-07-22T10:12:00,1374.0000000000,338.0000000000,2111.0000000000,R,True
SlavaGolcev,ВИДЕО. Первый трейлер нового фильма «бондианы»  http://t.co/DqDW00uSNU http://t.co/RIZvNhKJC4,United Arab Emirates,Russian,2015-07-22T10:32:00,2015-07-22T10:32:00,1374.0000000000,339.0000000000,2112.0000000000,R,True
SlavaGolcev,Чугайнов: «Локомотиву» будет тяжеловато стать чемпионом России уже в этом сезоне http://t.co/2CuAZaKx78,United Arab Emirates,Russian,2015-07-22T12:12:00,2015-07-22T12:12:00,1374.0000000000,339.0000000000,2113.0000000000,R,True
SlavaGolcev,Блогеры уличили Порошенко в очередном запое http://t.co/IggC6DFUEW с помощью @rentvchannel,United Arab Emirates,Russian,2015-07-22T15:53:00,2015-07-22T15:54:00,1374.0000000000,339.0000000000,2115.0000000000,R,True
SlavaGolcev,В Воронеже семеро голых молодых наркоманов повредили 15 машин  http://t.co/9Lpklv3k2z,United Arab Emirates,Russian,2015-07-23T09:51:00,2015-07-23T09:51:00,1374.0000000000,339.0000000000,2119.0000000000,R,True
SlavaGolcev,ФОТОГАЛЕРЕЯ. Как московская студентка стала порноактрисой   http://t.co/uDFPVkjTNi http://t.co/ITyKjhrFaX,United Arab Emirates,Russian,2015-07-23T13:32:00,2015-07-23T13:32:00,1374.0000000000,339.0000000000,2120.0000000000,R,True
SlavaGolcev,Наталья Ищенко будет знаменосцем сборной России на ЧМ-2015 по водным видам спорта http://t.co/OVferxu27D,United Arab Emirates,Russian,2015-07-23T15:11:00,2015-07-23T15:12:00,1374.0000000000,339.0000000000,2121.0000000000,R,True
SlavaGolcev,Умер один из авторов «В мире животных»  http://t.co/wJIjqfTOi0 http://t.co/1o0AUVQUyr,United Arab Emirates,Russian,2015-07-23T15:13:00,2015-07-23T15:13:00,1374.0000000000,339.0000000000,2122.0000000000,R,True
SlavaGolcev,Сериалы разлагают молодежь http://t.co/nSO6gTFiNi,United Arab Emirates,Russian,2015-07-23T17:42:00,2015-07-23T17:42:00,1374.0000000000,339.0000000000,2123.0000000000,R,True
SlavaGolcev,Реакция МИД ФРГ на визит французских депутатов в Крым  http://t.co/tfphIUT5PH http://t.co/swpPkFjGo7,United Arab Emirates,Ukrainian,2015-07-23T18:13:00,2015-07-23T18:13:00,1374.0000000000,339.0000000000,2124.0000000000,R,True
SlavaGolcev,Глава СК Александр Бастрыкин потребовал от владельцев Домодедово возместить ущерб от теракта 2011 года: http://t.co/QJBSoYPMRn,United Arab Emirates,Russian,2015-07-24T08:52:00,2015-07-24T08:53:00,1374.0000000000,338.0000000000,2126.0000000000,R,True
SlavaGolcev,На стадионе «Динамо» установят самое большое информационное табло в России http://t.co/Xx50kxvtaw,United Arab Emirates,Russian,2015-07-24T09:53:00,2015-07-24T09:53:00,1374.0000000000,338.0000000000,2127.0000000000,R,True
SlavaGolcev,Власти Санкт-Петербурга убрали McDonald's из числа важных для города компаний: http://t.co/uqf4eJcyGh,United Arab Emirates,Russian,2015-07-24T12:53:00,2015-07-24T12:53:00,1374.0000000000,338.0000000000,2129.0000000000,R,True
SlavaGolcev,Порошенко сменил руководителя департамента контрразведки СБУ http://t.co/ezGE4RHGNb,United Arab Emirates,Russian,2015-07-24T15:51:00,2015-07-24T15:51:00,1374.0000000000,338.0000000000,2130.0000000000,R,True
SlavaGolcev,Минфин Греции: переговоры Афин и миссии кредиторов начнутся 28 июля  http://t.co/3v9Gg7rMsw,United Arab Emirates,Russian,2015-07-25T21:11:00,2015-07-25T21:11:00,1374.0000000000,337.0000000000,2133.0000000000,R,True
SlavaGolcev,Кассы стадиона «Томи» остались без электричества http://t.co/zoaDFEbP9i,United Arab Emirates,Russian,2015-07-26T08:52:00,2015-07-26T08:52:00,1374.0000000000,337.0000000000,2136.0000000000,R,True
SlavaGolcev,"Тренер сборной Англии о политических призывах, касающихся ЧМ-2018  http://t.co/mUHfxabVeb http://t.co/fiX1mJ17cT",United Arab Emirates,Russian,2015-07-26T17:31:00,2015-07-26T17:31:00,1374.0000000000,336.0000000000,2140.0000000000,R,True
SlavaGolcev,Компания Huawei выпустила новый бюджетный смартфон Honor 4A  #hitech,United Arab Emirates,Russian,2015-07-26T18:51:00,2015-07-26T18:51:00,1374.0000000000,336.0000000000,2142.0000000000,R,True
SlavaGolcev,Черданцев и Генич станут комментаторами в FIFA 16  http://t.co/4qqM2qwxfF http://t.co/mwo0FhSeG1,United Arab Emirates,Russian,2015-07-27T11:52:00,2015-07-27T11:53:00,1374.0000000000,336.0000000000,2149.0000000000,R,True
SlavaGolcev,Компания Airbus подтвердила участие A350 XWB в МАКС-2015  http://t.co/MIKtPiHUhq,United Arab Emirates,Russian,2015-07-27T12:13:00,2015-07-27T12:13:00,1374.0000000000,336.0000000000,2150.0000000000,R,True
SlavaGolcev,Дрогба подписал контракт с «Чикаго Файр» и был обменян в «Монреаль Импакт» http://t.co/f2gxuZDjPh,United Arab Emirates,Russian,2015-07-27T18:52:00,2015-07-27T18:52:00,1374.0000000000,336.0000000000,2154.0000000000,R,True
SlavaGolcev,"Анастасия Голуб покинула пост директора ""Гоголь-центра"" http://t.co/UaUhEIhPS2",United Arab Emirates,Serbian,2015-07-28T11:53:00,2015-07-28T11:53:00,1374.0000000000,336.0000000000,2158.0000000000,R,True
SlavaGolcev,При пожаре на мебельной фабрике в Египте погибли 24 человека http://t.co/ff7YDrDFP6,United Arab Emirates,Russian,2015-07-28T15:52:00,2015-07-28T15:52:00,1374.0000000000,336.0000000000,2159.0000000000,R,True
SlavaGolcev,"«FIBA мечом размахивает», — Мутко прокомментировал дисквалификацию Российской федерации баскетбола: http://t.co/NWYvEZg6kl",United Arab Emirates,Russian,2015-07-29T19:13:00,2015-07-29T19:13:00,1374.0000000000,336.0000000000,2165.0000000000,R,True
SlavaGolcev,"Чуркин объяснил, почему РФ наложила вето на проект резолюции о создании трибунала по Boeing  http://t.co/K0PecMnKvL http://t.co/ehdNxvln18",United Arab Emirates,Russian,2015-07-29T20:32:00,2015-07-29T20:32:00,1374.0000000000,336.0000000000,2166.0000000000,R,True
SlavaGolcev,В Индии казнили организатора серии терактов 1993 года в Мумбаи http://t.co/xDNiLoGQmI,United Arab Emirates,Russian,2015-07-30T04:31:00,2015-07-30T04:31:00,1375.0000000000,338.0000000000,2168.0000000000,R,True
SlavaGolcev,Вышла вторая часть популярной игры Angry Birds  #hitech,United Arab Emirates,Russian,2015-07-30T13:54:00,2015-07-30T13:54:00,1375.0000000000,338.0000000000,2170.0000000000,R,True
SlavaGolcev,Дюрица рассчитывает присоединиться к общей группе через две-три недели http://t.co/jRFpTsoHWI,United Arab Emirates,Russian,2015-07-30T17:52:00,2015-07-30T17:53:00,1375.0000000000,338.0000000000,2171.0000000000,R,True
SlavaGolcev,"Аналог ЕСПЧ может появиться в евразийском пространстве, сообщают СМИ  http://t.co/8coCRT4JmD http://t.co/F9rvBaCxdk",United Arab Emirates,Russian,2015-07-31T07:14:00,2015-07-31T07:14:00,1375.0000000000,338.0000000000,2172.0000000000,R,True
SlavaGolcev,"Канал Cinemax опубликовал первый тизер второго сезона ""Больницы Никербокер"" http://t.co/3PSYEOfkUJ",United Arab Emirates,Russian,2015-07-31T15:32:00,2015-07-31T15:32:00,1375.0000000000,338.0000000000,2174.0000000000,R,True
SlavaGolcev,"На суде в США свидетели дали показания против россиянина, подозреваемого в терроризме  http://t.co/ipnHh6Chy4",United Arab Emirates,Russian,2015-08-01T05:52:00,2015-08-01T05:52:00,1375.0000000000,338.0000000000,2179.0000000000,R,True
SlavaGolcev,Минобороны назвало причину крушения Ми-28 под Рязанью  http://t.co/mQNOION1N1 http://t.co/7NXLvcw3Bz,United Arab Emirates,Russian,2015-08-02T11:32:00,2015-08-02T11:32:00,1374.0000000000,335.0000000000,2184.0000000000,R,True
SlavaGolcev,«Почта России» вложит в Почтовый банк более 10 млрд рублей  http://t.co/xBzP6HrH90,United Arab Emirates,Russian,2015-08-03T01:51:00,2015-08-03T01:51:00,1374.0000000000,334.0000000000,2186.0000000000,R,True
SlavaGolcev,"Казарма в Омске обрушилась из-за некачественного ремонта  — ну, так считает следствие https://t.co/UZcMp9gOdn",United Arab Emirates,Russian,2015-08-03T06:31:00,2015-08-03T06:31:00,1374.0000000000,334.0000000000,2187.0000000000,R,True
SlavaGolcev,Лавров и Керри обсудят 5 августа в Куала-Лумпуре ситуацию на Украине  http://t.co/pVIH2JZTEE,United Arab Emirates,Russian,2015-08-04T04:52:00,2015-08-04T04:52:00,1375.0000000000,334.0000000000,2192.0000000000,R,True
SlavaGolcev,ЭКСКЛЮЗИВ. КПРФ отправила запрос во ФСИН и Генпрокуратуру по поводу нахождения Васильевой  http://t.co/LuqwkFxqL6 http://t.co/bZoVB7KCyv,United Arab Emirates,Russian,2015-08-04T16:34:00,2015-08-04T16:34:00,1375.0000000000,334.0000000000,2196.0000000000,R,True
