author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
SonderKatharina,1. wir brauchen Kennzeichung von verarbeiteten Produkten mit #Ei 2. keine #Hermesbürgschaften  mehr f #Käfige @europamagazin,Germany,German,2016-07-12 13:45:00,2016-07-12 13:45:00,21,0,2,R,1
SonderKatharina,EM-Spezial: Gut und günstig - Deutsches Fan-Camping in Paris - https://t.co/BQIs23DIRE https://t.co/5PIeuUMd9H,Germany,German,2016-07-12 13:45:00,2016-07-12 13:45:00,21,0,1,R,1
SonderKatharina,"Eine #Smartwatch kann deine Bewegungen messen - blöderweise auch die, mit der du am Geldautomat deine PIN eintippst: https://t.co/IsL8BxTzfh",Germany,German,2016-07-12 13:46:00,2016-07-12 13:46:00,21,0,3,R,1
SonderKatharina,Merkel sieht keine Chance für neues Brexit-Votum https://t.co/JsnxP3R2l9 #Merkel #Sommerinterview,Germany,German,2016-07-12 13:47:00,2016-07-12 13:47:00,86,0,4,R,1
SonderKatharina,Fußball-Nationalmannschaft: Joachim Löw bleibt Bundestrainer https://t.co/UyjMHKOv0H #DieNachrichten #Spiegel,Germany,German,2016-07-12 13:48:00,2016-07-12 13:50:00,120,1,6,R,1
SonderKatharina,#n24 Entscheidung gefallen - Joachim Löw bleibt bis 2018 Bundestrainer: Nächste Station… https://t.co/E7heP2COmj,Germany,German,2016-07-12 13:48:00,2016-07-12 13:49:00,120,1,7,R,1
SonderKatharina,"Kanzlerin #Merkel empfängt den Ministerpräs. Irlands, @EndaKennyTD. Pressekonf. um 14 Uhr: https://t.co/0lQLkkBo9l https://t.co/ZctDNQQUla",Germany,Swedish,2016-07-12 13:48:00,2016-07-12 13:48:00,103,0,5,R,1
SonderKatharina,80 Mio. Deutsche enttäuscht: Trotz ihrer perfekten Eignung ging Job doch an unfähigen Mitbewerber. #Bundestrainer https://t.co/k01y0pViRn,Germany,German,2016-07-12 13:49:00,2016-07-12 13:49:00,120,1,9,R,1
SonderKatharina,"Ob Löw Bundestrainer bleibt oder nicht - zweitrangig. Kann er nach dem ""Vorfall"" Nivea-Werbeträger bleiben.",Germany,German,2016-07-12 13:49:00,2016-07-12 13:49:00,120,1,8,R,1
SonderKatharina,"meanwhile, in Canada https://t.co/NJOTgrWLRT",Germany,English,2016-07-12 13:50:00,2016-07-12 13:50:00,120,1,10,R,1
SonderKatharina,Die IG Metall will ihr ganzes Gewicht für eine Stärkung der gesetzlichen Rente in die Waagschale werfen: https://t.co/nq0HtuzfBq,Germany,German,2016-07-20 15:27:00,2016-07-20 15:27:00,116,16,13,R,1
SonderKatharina,Wie sehen deutsche Entscheider die EU nach dem #Brexit? Erste Einblicke in die Stimmung: https://t.co/bUJXxuBUXc https://t.co/CvAtghcVSq,Germany,German,2016-07-20 15:27:00,2016-07-20 15:28:00,116,16,14,R,1
SonderKatharina,Hat ein Mullah den Bruder des pakistanischen Social-Media-Stars Qandeel Baloch zum Mord angestiftet? https://t.co/HBUW5PQw3u,Germany,German,2016-07-20 15:27:00,2016-07-20 15:27:00,116,16,11,R,1
SonderKatharina,"Ein Riese, der ein Waisenmädchen entführt – klingt nach einem Kinderfilm: https://t.co/ApKNI0sjmM https://t.co/pLuFY2huWO",Germany,German,2016-07-20 15:27:00,2016-07-20 15:27:00,116,16,12,R,1
SonderKatharina,Wechsel von Augsburger #Klavan zum FC #Liverpool perfekt +++ Köln holt Stürmer Sehrou #Guirassy https://t.co/0xR48GTIJ3,Germany,German,2016-07-20 15:28:00,2016-07-20 15:28:00,116,16,15,R,1
SonderKatharina,"Merkel ist nicht radikal, dennoch macht sie keine Rückschritte! #Merkelmussbleiben",Germany,German,2016-07-21 10:22:00,2016-07-21 10:22:00,116,17,24,R,1
SonderKatharina,Ohne Einwanderer geht Wohlstand verloren. #Merkelmussbleiben,Germany,German,2016-07-21 10:22:00,2016-07-21 10:25:00,116,17,25,R,1
SonderKatharina,"Unser Land soll Bildungsrepublik werden und #Merkel macht alles, was nötig ist #Merkelmussbleiben",Germany,German,2016-07-21 10:22:00,2016-07-21 10:22:00,116,17,21,R,1
SonderKatharina,"#NATO ist die einzige Organisation, die uns den Frieden sichern kann, Merkel versteht es #Merkelmussbleiben",Germany,German,2016-07-21 10:22:00,2016-07-21 10:22:00,116,17,20,R,1
SonderKatharina,#Merkel hat immer die Interessen von Deutschland verteidigt #Merkelmussbleiben,Germany,German,2016-07-21 10:22:00,2016-07-21 10:22:00,116,17,17,R,1
SonderKatharina,Die #Bundeskanzlerin entscheidet auch über ihre Stellvertreterinnen und Stellvertreter #Merkelmussbleiben,Germany,German,2016-07-21 10:22:00,2016-07-21 10:22:00,116,17,16,R,1
SonderKatharina,"Man gibt es einfach nicht auf, #Merkel schlechtzureden trotzdem #Merkelmussbleiben",Germany,German,2016-07-21 10:22:00,2016-07-21 10:23:00,116,17,22,R,1
SonderKatharina,#EU ist noch ganz junges Wesen und Merkel sieht viel mehr als wir #Merkelmussbleiben,Germany,German,2016-07-21 10:22:00,2016-07-21 10:22:00,116,17,23,R,1
SonderKatharina,"Ich bin sicher, Deutschland wird in der UN einen Sitzt bei Merkel kriegen! #Merkelmussbleiben",Germany,German,2016-07-21 10:22:00,2016-07-21 10:23:00,116,17,26,R,1
SonderKatharina,"5 Minister sind von der CDU, es ist ihr Erfolg! #Merkelmussbleiben",Germany,German,2016-07-21 10:22:00,2016-07-21 10:22:00,116,17,18,R,1
SonderKatharina,#Merkel und ihre Partei wird weiter Familie und Ehe stärken #Merkelmussbleiben,Germany,German,2016-07-21 10:22:00,2016-07-21 10:22:00,116,17,19,R,1
SonderKatharina,Dank #Merkel haben wir Vertrauen in der Welt zurückgewonnen. #Merkelmussbleiben,Germany,German,2016-07-21 10:23:00,2016-07-21 10:23:00,116,17,27,R,1
SonderKatharina,'@Angie_Merkel #Merkelmussbleiben',Germany,German,2016-07-21 10:24:00,2016-07-21 10:24:00,117,17,29,,0
SonderKatharina,.@Danny_Sunset #Merkelmussbleiben,Germany,German,2016-07-21 10:25:00,2016-07-21 10:25:00,117,17,32,,0
SonderKatharina,#Merkel bedeutet Stabilität #Merkelmussbleiben,Germany,German,2016-07-21 10:28:00,2016-07-21 10:28:00,141,17,42,R,1
SonderKatharina,#Merkel actet auf Ordnung in Deutschland #Merkelmussbleiben,Germany,German,2016-07-21 10:28:00,2016-07-21 10:28:00,141,17,43,R,1
SonderKatharina,",@HeHoffmann #Merkel ist  #Merkelmussbleiben",Germany,German,2016-07-21 10:29:00,2016-07-21 10:29:00,144,18,45,,0
SonderKatharina,#Merkel ist ebenfalls besorgt über den Putschversuch in der Türkei #Merkelmussbleiben,Germany,German,2016-07-21 10:29:00,2016-07-21 10:29:00,144,18,44,R,1
