author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
SophieKole,She still irons my clothes #ReasonMyMomIsBetter #ReasonMyMomIsBetter,United States,English,2015-05-10T15:56:00,2015-05-10T15:56:00,840.0000000000,321.0000000000,991.0000000000,,False
SophieKole,She gives me peace and love! #ReasonMyMomIsBetter #ReasonMyMomIsBetter,United States,English,2015-05-10T16:03:00,2015-05-10T16:03:00,840.0000000000,321.0000000000,992.0000000000,,False
SophieKole,She`s extra special!! #ReasonMyMomIsBetter #ReasonMyMomIsBetter,United States,English,2015-05-10T16:08:00,2015-05-10T16:08:00,840.0000000000,321.0000000000,995.0000000000,,False
SophieKole,#BlueLivesMatter? #BlackLivesMatter? No. #AllLivesMatter http://t.co/qLIqbAfSlG,United States,English,2015-05-10T16:50:00,2015-05-10T16:50:00,840.0000000000,324.0000000000,996.0000000000,R,True
SophieKole,This one should be on all meat and dairy products! #WarningLabelsForPeople http://t.co/asHiBfxPcj,United States,English,2015-05-17T15:32:00,2015-05-17T15:33:00,311.0000000000,308.0000000000,997.0000000000,R,True
SophieKole,Warning: Meat = Animal Cruelty #WarningLabelsForPeople http://t.co/rl4c298h8n,United States,Uzbek,2015-05-17T15:33:00,2015-05-17T15:33:00,311.0000000000,308.0000000000,998.0000000000,R,True
SophieKole,"#WarningLabelsForPeople  If there is a dog at your house when you invite me over, that's where I'll be.",United States,English,2015-05-17T15:33:00,2015-05-17T15:33:00,311.0000000000,308.0000000000,999.0000000000,R,True
SophieKole,Will Yell If Coffee Accidentally Knocked Over.  #WarningLabelsForPeople,United States,English,2015-05-17T15:33:00,2015-05-17T15:33:00,311.0000000000,308.0000000000,1000.0000000000,R,True
SophieKole,#WarningLabelsForPeople   May cause blood flow to erogenous areas. Enjoy.,United States,English,2015-05-17T15:34:00,2015-05-17T15:34:00,311.0000000000,308.0000000000,1004.0000000000,R,True
SophieKole,<----------Cannot parallel park.  #WarningLabelsForPeople,United States,English,2015-05-17T15:34:00,2015-05-17T15:35:00,311.0000000000,308.0000000000,1003.0000000000,R,True
SophieKole,Rear Entrance Closed to Incoming Traffic. #WarningLabelsForPeople,United States,English,2015-05-17T15:34:00,2015-05-17T15:34:00,311.0000000000,308.0000000000,1001.0000000000,R,True
SophieKole,#MuseumSchmovies O' Brother there is art now,United States,English,2015-05-18T16:20:00,2015-05-18T16:20:00,311.0000000000,307.0000000000,1006.0000000000,R,True
SophieKole,"Pollock, Stock, and Two Smoking Breugels #MuseumSchmovies @schmovie",United States,English,2015-05-18T16:21:00,2015-05-18T16:21:00,311.0000000000,307.0000000000,1008.0000000000,R,True
SophieKole,Guardians Of The Gallery #MuseumSchmovies @Schmovie http://t.co/b0bPzn7Fu3,United States,English,2015-05-18T16:21:00,2015-05-18T16:21:00,311.0000000000,307.0000000000,1009.0000000000,R,True
SophieKole,Getty Him to the Greek #MuseumSchmovies @Schmovie,United States,English,2015-05-18T16:22:00,2015-05-18T16:22:00,311.0000000000,307.0000000000,1013.0000000000,R,True
SophieKole,Eat Pray patronize #MuseumSchmovies,United States,Romanian,2015-05-18T16:22:00,2015-05-18T16:22:00,311.0000000000,307.0000000000,1012.0000000000,R,True
SophieKole,Natural history born killers #MuseumSchmovies,United States,English,2015-05-18T16:22:00,2015-05-18T16:22:00,311.0000000000,307.0000000000,1011.0000000000,R,True
SophieKole,"Louvre, Actually. #MuseumSchmovies @Schmovie",United States,French,2015-05-18T16:23:00,2015-05-18T16:23:00,311.0000000000,307.0000000000,1018.0000000000,R,True
SophieKole,"Me, Myself And Museum  #MuseumSchmovies @Schmovie",United States,English,2015-05-18T16:23:00,2015-05-18T16:24:00,311.0000000000,307.0000000000,1020.0000000000,R,True
SophieKole,How To Louvre A Guy In 10 Days #MuseumSchmovies,United States,English,2015-05-18T16:23:00,2015-05-18T16:23:00,311.0000000000,307.0000000000,1015.0000000000,R,True
SophieKole,Yourself Your loved ones God #ThreeThingsToLove,United States,English,2015-05-20T17:14:00,2015-05-20T17:14:00,311.0000000000,307.0000000000,1021.0000000000,R,True
SophieKole,Take a seat.  No soup for you! This is how you get ants! #ThreeThingsToLove,United States,English,2015-05-20T17:16:00,2015-05-20T17:16:00,311.0000000000,307.0000000000,1022.0000000000,R,True
SophieKole,#Burundi protests continue; president plays #football http://t.co/9UDO18u2uJ,United States,English,2015-05-21T15:03:00,2015-05-21T15:03:00,310.0000000000,307.0000000000,1024.0000000000,R,True
SophieKole,Spelling beer #RejectedUniversityClasses http://t.co/qDvA3iBAGh,United States,Dutch,2015-05-21T17:08:00,2015-05-21T17:08:00,310.0000000000,307.0000000000,1025.0000000000,R,True
SophieKole,NIALLS HAT IS WHAT MAKES YOU BEAUTIFUL��� #REPLACE1DSONGSWITHNIALLSHAT http://t.co/7fac9A1iJn,United States,English,2015-05-27T15:00:00,2015-05-27T15:00:00,311.0000000000,306.0000000000,1027.0000000000,R,True
SophieKole,#MakeAMovieHillary The 60 Years Old And Not Virgin http://t.co/tW6vYtNsPE,United States,English,2015-05-30T13:02:00,2015-05-30T13:02:00,310.0000000000,302.0000000000,1029.0000000000,,False
SophieKole,#MakeAMovieHillary Star Wars: Episode III - Revenge of the Sith http://t.co/zH1tOpTIWk,United States,English,2015-05-30T13:09:00,2015-05-30T13:09:00,310.0000000000,302.0000000000,1030.0000000000,,False
SophieKole,American Beauty? #MakeAMovieHillary,United States,English,2015-05-30T13:19:00,2015-05-30T13:19:00,310.0000000000,302.0000000000,1031.0000000000,,False
SophieKole,Pirates of the Democribbean: the curse of the black president #MakeAMovieHillary,United States,English,2015-05-30T13:22:00,2015-05-30T13:22:00,310.0000000000,302.0000000000,1032.0000000000,,False
SophieKole,Star Wars: Episode II - Attack of ex-president's wife #MakeAMovieHillary,United States,English,2015-05-30T13:24:00,2015-05-30T13:26:00,310.0000000000,302.0000000000,1033.0000000000,,False
SophieKole,Aunt Hillary Who can’t recall her past emails #MakeAMovieHillary,United States,English,2015-05-30T13:26:00,2015-05-30T13:26:00,310.0000000000,302.0000000000,1034.0000000000,,False
SophieKole,A mighty Woman #MakeAMovieHillary,United States,Farsi (Persian),2015-05-30T13:34:00,2015-05-30T13:34:00,310.0000000000,302.0000000000,1035.0000000000,,False
SophieKole,Million Dollar Baby #MakeAMovieHillary,United States,English,2015-05-30T13:35:00,2015-05-30T13:35:00,310.0000000000,302.0000000000,1036.0000000000,,False
SophieKole,my old cell phone #NostalgiaToMe http://t.co/1pTElOmMlQ,United States,English,2015-06-02T15:48:00,2015-06-02T15:48:00,309.0000000000,301.0000000000,1037.0000000000,R,True
SophieKole,Yet they're still more relevant than all of you will ever be in you're entire lives................... #lamesupergroups one direction,United States,English,2015-06-23T09:44:00,2015-06-23T09:44:00,308.0000000000,300.0000000000,1037.0000000000,R,True
SophieKole,#BucketListFails I made a bucket list. Then died.,United States,English,2015-06-27T11:38:00,2015-06-27T11:38:00,308.0000000000,298.0000000000,1038.0000000000,R,True
SophieKole,my ex cheated on me with my best friend #ThingsITryToForgetButCant,United States,English,2015-06-27T15:30:00,2015-06-27T15:30:00,308.0000000000,298.0000000000,1039.0000000000,,False
SophieKole,#ThingsITryToForgetButCant 50 shades of Grey,United States,English,2015-06-27T15:33:00,2015-06-27T15:34:00,308.0000000000,298.0000000000,1041.0000000000,,False
SophieKole,#ThingsITryToForgetButCant I’ve dropped my pizza yesterday!!,United States,English,2015-06-27T15:33:00,2015-06-27T15:33:00,308.0000000000,298.0000000000,1040.0000000000,,False
SophieKole,#ThingsITryToForgetButCant My first unfair police chase,United States,English,2015-06-27T15:39:00,2015-06-27T15:39:00,308.0000000000,298.0000000000,1043.0000000000,,False
SophieKole,My first trip to Amsterdam #ThingsITryToForgetButCant,United States,English,2015-06-27T15:45:00,2015-06-27T15:45:00,308.0000000000,298.0000000000,1044.0000000000,,False
SophieKole,#ThingsIRevoltAgainst  Indifference to human suffering. http://t.co/v2hVzF5bmp,United States,English,2015-07-03T18:10:00,2015-07-03T18:10:00,307.0000000000,297.0000000000,1050.0000000000,R,True
SophieKole,"#ThingsIRevoltAgainst Today's disgusting, anti-woman, pro-rich, anti-science, racist Republican party and its discredited policies.",United States,English,2015-07-03T18:10:00,2015-07-03T18:11:00,307.0000000000,297.0000000000,1051.0000000000,R,True
SophieKole,#ThingsIRevoltAgainst -- animal experimentation. http://t.co/Y74egF772u,United States,Romanian,2015-07-03T18:10:00,2015-07-03T18:10:00,307.0000000000,297.0000000000,1049.0000000000,R,True
SophieKole,Anything Kardashian. #ThingsIRevoltAgainst,United States,English,2015-07-03T18:10:00,2015-07-03T18:10:00,307.0000000000,297.0000000000,1048.0000000000,R,True
SophieKole,"#ThingsIRevoltAgainst  Fascism, racism and dogs wearing sweaters.",United States,English,2015-07-03T18:10:00,2015-07-03T18:11:00,307.0000000000,297.0000000000,1052.0000000000,R,True
SophieKole,#ThingsIRevoltAgainst Rapists being allowed to pursue parental rights in at least 20 states.,United States,English,2015-07-03T18:11:00,2015-07-03T18:11:00,307.0000000000,297.0000000000,1054.0000000000,R,True
SophieKole,#ThingsIRevoltAgainst SC telling black state worker to raise Confederate flag back up after @BreeNewsome took it down http://t.co/8dJOZrC0Rf,United States,English,2015-07-03T18:11:00,2015-07-03T18:11:00,307.0000000000,297.0000000000,1055.0000000000,R,True
SophieKole,#ThingsIRevoltAgainst all forms of segregation and discrimination http://t.co/PWGZqpyrJO,United States,English,2015-07-03T18:11:00,2015-07-03T18:11:00,307.0000000000,297.0000000000,1053.0000000000,R,True
SophieKole,rap music's motherland #UnitedStatesIn3Words,United States,English,2015-07-04T14:43:00,2015-07-04T14:43:00,307.0000000000,299.0000000000,1058.0000000000,,False
SophieKole,Giant laser squirrels #UnitedStatesIn3Words @viewfrommyoffic http://t.co/E1YWvQs6xS,United States,English,2015-07-04T17:15:00,2015-07-04T17:15:00,307.0000000000,299.0000000000,1061.0000000000,R,True
SophieKole,#UnitedStatesIn3Words We created technologies http://t.co/W061qcPwRW,United States,English,2015-07-04T17:15:00,2015-07-04T17:15:00,307.0000000000,299.0000000000,1059.0000000000,R,True
SophieKole,"#UnitedStatesIn3Words diet coke, please http://t.co/CjVD49K9TG",United States,English,2015-07-04T17:15:00,2015-07-04T17:15:00,307.0000000000,299.0000000000,1060.0000000000,R,True
SophieKole,Bigots Feel Oppressed  #UnitedStatesIn3Words http://t.co/3MMcBrv6tD,United States,English,2015-07-04T17:15:00,2015-07-04T17:15:00,307.0000000000,299.0000000000,1062.0000000000,R,True
SophieKole,Canada's loud neighbor. #UnitedStatesIn3Words,United States,English,2015-07-04T17:15:00,2015-07-04T17:16:00,307.0000000000,299.0000000000,1064.0000000000,R,True
SophieKole,#UnitedStatesIn3Words Better than Iran,United States,English,2015-07-04T17:17:00,2015-07-04T17:17:00,307.0000000000,299.0000000000,1071.0000000000,R,True
SophieKole,Crazy reality tv #UnitedStatesIn3Words,United States,English,2015-07-04T17:17:00,2015-07-04T17:17:00,307.0000000000,299.0000000000,1066.0000000000,R,True
SophieKole,"Red, White, Blue  #UnitedStatesIn3Words",United States,English,2015-07-04T17:17:00,2015-07-04T17:17:00,307.0000000000,299.0000000000,1068.0000000000,R,True
SophieKole,Gold Guns Girls ~ Metric #UnitedStatesIn3Words,United States,English,2015-07-04T17:17:00,2015-07-04T17:17:00,307.0000000000,299.0000000000,1067.0000000000,R,True
SophieKole,#UnitedStatesIn3Words Happy Independence Day!��������,United States,English,2015-07-04T17:18:00,2015-07-04T17:18:00,307.0000000000,299.0000000000,1073.0000000000,R,True
SophieKole,#WasteAMillionIn3Words Pay Greece’s debts http://t.co/cYr8QeBoJv,United States,English,2015-07-11T15:42:00,2015-07-11T15:42:00,306.0000000000,299.0000000000,1075.0000000000,R,True
SophieKole,Two Carrot Ring   #WasteAMillionIn3Words http://t.co/orGM0zUhmx,United States,English,2015-07-11T15:42:00,2015-07-11T15:42:00,306.0000000000,299.0000000000,1076.0000000000,R,True
SophieKole,#WasteAMillionIn3Words Lobbying For Obama,United States,English,2015-07-11T15:42:00,2015-07-11T15:43:00,306.0000000000,299.0000000000,1078.0000000000,R,True
SophieKole,Guys need your ideas on #WasteAMillionIn3Words @Will3K85 @iamnotchjohnson @grosby81 @thatchecksout @dave_kitchens @BadRonen @RealEvanCharles,United States,English,2015-07-11T15:42:00,2015-07-11T15:42:00,306.0000000000,299.0000000000,1074.0000000000,R,True
SophieKole,Death to America #3WordWorstCaseScenario http://t.co/tmlMFrk6Fe,United States,English,2015-07-23T11:59:00,2015-07-23T11:59:00,307.0000000000,299.0000000000,1080.0000000000,R,True
SophieKole,"Police, stop it #JusticeForSandraBland http://t.co/EGPizRDCxK",United States,English,2015-07-23T13:57:00,2015-07-23T13:57:00,307.0000000000,299.0000000000,1081.0000000000,R,True
SophieKole,I'm loving money instead #TrumpenASong,United States,English,2015-08-15T15:33:00,2015-08-15T15:33:00,306.0000000000,293.0000000000,1082.0000000000,R,True
SophieKole,did you ever try to be single parent? #BlackPickupLines,United States,English,2015-08-16T14:29:00,2015-08-16T14:29:00,306.0000000000,294.0000000000,1083.0000000000,R,True
SophieKole,I'm lookin' for a girl like my mother. She knew her place. But in a good way #blackpickuplines,United States,English,2015-08-16T15:01:00,2015-08-16T15:01:00,306.0000000000,293.0000000000,1085.0000000000,,False
SophieKole,Fuck me if I’m wrong… but you wanna kiss me! #blackpickuplines,United States,English,2015-08-16T15:33:00,2015-08-16T15:33:00,306.0000000000,293.0000000000,1087.0000000000,,False
SophieKole,You want aids cause I could give em to ya #BlackPickupLines,United States,English,2015-08-16T15:34:00,2015-08-16T15:35:00,306.0000000000,293.0000000000,1090.0000000000,,False
SophieKole,Yo parents must been assholes gurl cuz u da shit #BlackPickUpLines http://t.co/ad9vPJPgm7,United States,English,2015-08-16T15:53:00,2015-08-16T15:53:00,306.0000000000,293.0000000000,1091.0000000000,R,True
