author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
StsPerov,"ЕС всерьез думает, что после Великой Отечественной нас испугают #санкции? #ВрагБудетРазбит",Belarus,Russian,2015-06-22T16:36:00,2015-06-22T16:36:00,498.0000000000,123.0000000000,400.0000000000,,False
StsPerov,Так-то http://t.co/ah6pqpIm9k  #ТоргНеУместен,Belarus,Ukrainian,2015-06-24T17:16:00,2015-06-24T17:16:00,498.0000000000,123.0000000000,407.0000000000,,False
StsPerov,"Новак заявил, что Украина пока не обращалась в российское правительство для получения скидки на газ #ТоргНеУместен http://t.co/bYtSHMTuek",Belarus,Russian,2015-06-24T17:47:00,2015-06-24T17:47:00,498.0000000000,123.0000000000,408.0000000000,,False
StsPerov,ГРЕЦИЯ ЕЩЕ НЕ ВСЁ http://t.co/eXn6dt5uOO,Belarus,Ukrainian,2015-07-03T17:27:00,2015-07-03T17:27:00,498.0000000000,124.0000000000,411.0000000000,R,True
StsPerov,Топ 5 страхов Украины https://t.co/UqSYDwHhp1,Belarus,Russian,2015-08-10T13:36:00,2015-08-10T13:36:00,392.0000000000,123.0000000000,429.0000000000,R,True
StsPerov,#ЕСхочетПравду – Правду об отсутствии изолированности Крыма  http://t.co/k889ELN4JY Подключайтесь к хештегу! http://t.co/6HhQvpFg0E,Belarus,Russian,2015-08-14T13:23:00,2015-08-14T13:23:00,392.0000000000,121.0000000000,433.0000000000,R,True
StsPerov,"Вот она, жизнь: что значит быть приемными родителями http://t.co/uJ53YVa7eo http://t.co/SjRj6r5Pnb",Belarus,Russian,2015-10-06T08:40:00,2015-10-06T08:40:00,387.0000000000,118.0000000000,454.0000000000,,False
StsPerov,"Теперь против нас сильнейшая ядерная держава, пишут в соцсетях Турции #УдарВСпину  https://t.co/b78q7klQIW https://t.co/fO1XjFeIcM",Belarus,Russian,2015-11-24T13:58:00,2015-11-24T13:58:00,388.0000000000,120.0000000000,455.0000000000,R,True
StsPerov,Властелин Еэс  https://t.co/019p3mfcko,Belarus,Russian,2015-12-08T10:59:00,2015-12-08T10:59:00,388.0000000000,119.0000000000,456.0000000000,R,True
StsPerov,Сайт определяющий эротический контент https://t.co/vjORXfYrXC называет фото Порошенко и Кличко - ПОРНОГРАФИЕЙ)))) https://t.co/kWwqSMZYBN,Belarus,Russian,2016-02-18T19:32:00,2016-02-18T19:32:00,386.0000000000,118.0000000000,463.0000000000,R,True
StsPerov,PS Светлана Немоляева: Ненавижу самолюбование режиссеров,Belarus,Russian,2017-04-19T09:32:00,2017-04-19T09:32:00,374.0000000000,111.0000000000,474.0000000000,,False
StsPerov,МВФ улучшил прогноз экономического роста для России,Belarus,Russian,2017-04-19T11:19:00,2017-04-19T11:19:00,374.0000000000,111.0000000000,476.0000000000,,False
