author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
SvetlankaZZzzz,Житель Арзамаса осужден на 10 лет колонии особого режима за приготовление к незаконному сбыту наркотиков http://t.co/zI6gN6JI4p,United States,Russian,2015-06-23 07:53:00,2015-06-23 07:53:00,1865,5106,2401,R,1
SvetlankaZZzzz,Сбор гуманитарной помощи.Присоединяйтесь http://t.co/1ObHOmMYFo,United States,Russian,2015-07-10 11:17:00,2015-07-10 11:17:00,1862,5101,2430,R,1
SvetlankaZZzzz,"""Получим 2000 человек, которые выйдут на митинг"". Вуз, лишившийся аккредитации, продолжает набирать студентов http://t.co/XQd2WL6sxg",United States,Russian,2015-07-10 14:51:00,2015-07-10 14:51:00,1862,5101,2431,R,1
SvetlankaZZzzz,Власти объявили о невозможности отсрочки закона о персональных данных  http://t.co/q2MCy3A7sX,United States,Russian,2015-07-15 15:12:00,2015-07-15 15:12:00,1362,5101,2446,R,1
SvetlankaZZzzz,"Украинец в Сумах украл детский велосипед, не справился с управлением и упал в кусты http://t.co/Cd9hfsJZuh",United States,Ukrainian,2015-07-15 16:53:00,2015-07-15 16:53:00,1362,5102,2447,R,1
SvetlankaZZzzz,Лавров: трибунал по Boeing создан в интересах США #новости http://t.co/h2KOFNmxuM,United States,Russian,2015-07-16 16:52:00,2015-07-16 16:52:00,1362,5102,2452,R,1
SvetlankaZZzzz,Правительство забраковало идею Грефа о лимите страховых выплат по вкладам  http://t.co/7J0nQir9wJ,United States,Russian,2015-07-17 02:12:00,2015-07-17 02:12:00,1362,5102,2454,R,1
SvetlankaZZzzz,"СБУ сообщила о поимке ""Кощея"" из батальона ""Сомали"" http://t.co/O5dgF6kffB",United States,Russian,2015-07-17 08:51:00,2015-07-17 08:51:00,1362,5103,2457,R,1
SvetlankaZZzzz,Новый стадион «Динамо» получил имя Льва Яшина http://t.co/ezjUWG02vY http://t.co/JH8jme1qMM,United States,Russian,2015-07-17 09:53:00,2015-07-17 09:53:00,1362,5103,2459,R,1
SvetlankaZZzzz,"Украинская власть уйдет таким же страшным образом, как и пришла — Кустурица    http://t.co/IoXMaaKCLc",United States,Russian,2015-07-19 05:11:00,2015-07-19 05:11:00,1362,5101,2464,R,1
SvetlankaZZzzz,"Новак: подорожание бензина не будет связано с переходом на ""Евро-5"" http://t.co/GRlDia6H3s",United States,Russian,2015-07-20 01:31:00,2015-07-20 01:31:00,1362,5101,2465,R,1
SvetlankaZZzzz,CNN: боевики ИГ используют химическое оружие http://t.co/CC1dVDKsjP,United States,Russian,2015-07-20 02:31:00,2015-07-20 02:31:00,1362,5101,2466,R,1
SvetlankaZZzzz,В Пскове самолет с пассажирами съехал на обочину взлетной полосы http://t.co/HflVvwJrIr,United States,Russian,2015-07-20 21:13:00,2015-07-20 21:13:00,1361,5101,2473,R,1
SvetlankaZZzzz,Евросоюз утвердил план по распределению 54 тысяч мигрантов http://t.co/IiIxITfoX4,United States,Russian,2015-07-21 01:12:00,2015-07-21 01:12:00,1361,5101,2474,R,1
SvetlankaZZzzz,"В отличие от Стратегии-2020, которую писали эксперты, соавтором нового плана станут сами чиновники #Стратегия2030",United States,Russian,2015-07-21 15:33:00,2015-07-21 15:33:00,1361,5101,2482,,0
SvetlankaZZzzz,Правительство РФ выделило регионам 17 млрд руб на поддержку малого и среднего бизнеса  http://t.co/b7cDvaXNIb,United States,Russian,2015-07-22 05:33:00,2015-07-22 05:33:00,1361,5102,2489,R,1
