author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
sergey__o,почему данные со спутника до сих пор не обнародованы?! http://t.co/KFhzZXiC8S,Azerbaijan,Ukrainian,2015-07-27T11:09:00,2015-07-27T11:09:00,565.0000000000,215.0000000000,536.0000000000,,False
sergey__o,Впервые в истории ФРГ армия вовлечена в решение гражданских проблем http://t.co/Ol13wtSfXd,Azerbaijan,Russian,2015-08-12T14:47:00,2015-08-12T14:48:00,566.0000000000,214.0000000000,538.0000000000,R,True
sergey__o,Стая Нью-Йоркских птиц выложилась в лицо #ЗагадочноеЛицо #ЛицоИзПтиц,Azerbaijan,Russian,2015-08-12T16:43:00,2015-08-12T16:44:00,566.0000000000,214.0000000000,539.0000000000,R,True
sergey__o,"Хватит бухать, а то уже Путин везде мерещится #ЗагадочноеЛицо #ЛицоИзПтиц",Azerbaijan,Russian,2015-08-12T16:44:00,2015-08-12T16:45:00,566.0000000000,214.0000000000,544.0000000000,R,True
sergey__o,Загадочная история бенджамина Путина #ЗагадочноеЛицо https://t.co/LJvSPcwykb,Azerbaijan,Bulgarian,2015-08-12T16:44:00,2015-08-12T16:44:00,566.0000000000,214.0000000000,540.0000000000,R,True
sergey__o,В сети появилось какое-то загадочное видео #ЗагадочноеЛицо http://t.co/FoGhfBP6AU,Azerbaijan,Russian,2015-08-12T16:45:00,2015-08-12T16:45:00,566.0000000000,214.0000000000,548.0000000000,R,True
sergey__o,Это очень странно… что думаете? #ЗагадочноеЛицо http://t.co/LweN5LL20P,Azerbaijan,Russian,2015-08-12T16:45:00,2015-08-12T16:45:00,566.0000000000,214.0000000000,549.0000000000,R,True
sergey__o,"Ничего не понятно, раз десять пересматривал #ЗагадочноеЛицо https://t.co/OJGUjWYXqc",Azerbaijan,Ukrainian,2015-08-12T16:45:00,2015-08-12T16:45:00,566.0000000000,214.0000000000,546.0000000000,R,True
sergey__o,"Достаточно интересно, а главный вопрос – «это фотошоп»? #ЗагадочноеЛицо https://t.co/oyKZvS6cg6",Azerbaijan,Russian,2015-08-12T16:45:00,2015-08-12T16:45:00,566.0000000000,214.0000000000,545.0000000000,R,True
sergey__o,"Ничего не понятно, раз десять пересматривал #ЗагадочноеЛицо https://t.co/TY5S4rhQXZ",Azerbaijan,Ukrainian,2015-08-12T16:46:00,2015-08-12T16:46:00,566.0000000000,214.0000000000,551.0000000000,R,True
sergey__o,"Самый необычный подарок на премьере фильма! Оказалось, зрителям.....   http://t.co/5aabJfSNBG",Azerbaijan,Russian,2015-09-10T10:13:00,2015-09-10T10:13:00,566.0000000000,218.0000000000,573.0000000000,,False
sergey__o,Россия не дает угрозе ИГИЛ распространяться на другие территории #5причинбомбитьигил https://t.co/64iafIgF5H https://t.co/VaBhbpvsWT,Azerbaijan,Russian,2015-10-21T16:17:00,2015-10-21T16:17:00,561.0000000000,214.0000000000,581.0000000000,R,True
sergey__o,"Мы поддерживаем государства,которые реально борятся с МИРОВОЙ УГРОЗОЙ #5причинбомбитьигил https://t.co/xSpHUiaRxK https://t.co/AdBITzmsQv",Azerbaijan,Russian,2015-10-21T16:17:00,2015-10-21T16:18:00,561.0000000000,214.0000000000,582.0000000000,R,True
sergey__o,50 оттенков ИГИЛа   https://t.co/evjMTBwHWQ,Azerbaijan,Macedonian,2015-10-27T13:43:00,2015-10-27T13:44:00,561.0000000000,214.0000000000,583.0000000000,,False
sergey__o,Почему турок хочет остаться в России  https://t.co/fxZzPVoa7U #Россия #RuOpen https://t.co/U4LVV3elKx,Azerbaijan,Russian,2016-03-03T09:53:00,2016-03-03T10:05:00,548.0000000000,200.0000000000,603.0000000000,R,True
sergey__o,Девушка спела с уличным ансамблем песню про Путина и покорила интернет  https://t.co/vEz1fVl3fA https://t.co/Tnd0wBebrw,Azerbaijan,Russian,2016-04-19T11:25:00,2016-04-19T11:26:00,546.0000000000,201.0000000000,617.0000000000,R,True
sergey__o,Шаурмы в Москве больше не будет #REMOVEKEBAB https://t.co/MlLgthRMVn,Azerbaijan,Russian,2016-04-26T15:20:00,2016-04-26T15:20:00,546.0000000000,201.0000000000,621.0000000000,R,True
