author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
sokolosha,Он первый  http://t.co/rYmiwg96Rk,Unknown,Russian,2015-06-22 14:07:00,2015-06-22 14:07:00,1352,215,2034,R,1
sokolosha,Сборная России досрочно выиграла первые Европейские игры в Баку #ДосрочнаяПобеда,Unknown,Russian,2015-06-26 16:48:00,2015-06-26 16:48:00,1351,213,2045,,0
sokolosha,Европейские игры в Баку принесли России 59 золотых медалей #ДосрочнаяПобеда,Unknown,Russian,2015-06-26 17:01:00,2015-06-26 17:01:00,1351,213,2047,,0
sokolosha,Смартфоны и интернет негативно влияют на память человека http://t.co/eWQz0Z05km,Unknown,Russian,2015-07-02 08:51:00,2015-07-02 08:52:00,1350,212,2058,R,1
sokolosha,Уфимцев пригласили на День классической музыки http://t.co/PkYALutajQ http://t.co/cATHfhtvhI,Unknown,Russian,2015-07-03 16:31:00,2015-07-03 16:31:00,1349,212,2060,R,1
sokolosha,Экс-посол США в России Макфол zabyl русский язык http://t.co/fdo5BRrfvr http://t.co/aKPNoVpi2S,Unknown,Russian,2015-07-12 13:11:00,2015-07-12 13:11:00,1344,215,2078,R,1
sokolosha,Виталий Чуркин: Российские специалисты отстранены от расследования катастрофы Boeing под Донецком  http://t.co/ShsFllR6BR,Unknown,Russian,2015-07-15 17:11:00,2015-07-15 17:12:00,1343,215,2085,R,1
sokolosha,'@turist532 А я уже о Россее думал! @SFGO76 @CherkasovYra @DariaGreen',Unknown,Ukrainian,2015-07-16 18:11:00,2015-07-16 18:12:00,1343,215,2091,R,1
sokolosha,Бегунья Дибаба обновила рекорд 22-летней давности в беге на 1500 м http://t.co/puiDFhVJpR,Unknown,Ukrainian,2015-07-17 21:12:00,2015-07-17 21:12:00,1343,215,2098,R,1
sokolosha,Сотрудники полиции в Астрахани спасли из горящего дома пятерых детей http://t.co/vF4zsKGf15,Unknown,Russian,2015-07-17 22:12:00,2015-07-17 22:12:00,1343,215,2099,R,1
sokolosha,Посоны! Давайте кто сколько может скинемся? Реквизиты у меня в профиле! http://t.co/A198l54nyi,Unknown,Russian,2015-07-18 11:53:00,2015-07-18 11:53:00,1343,215,2100,R,1
sokolosha,"Пьяный водитель пикапа врезался в лимузин в США, погибли подруги невесты http://t.co/Y83u6L8pSg",Unknown,Russian,2015-07-19 02:30:00,2015-07-19 02:30:00,1343,215,2102,R,1
sokolosha,Новак: импортозависимость Европы от российского газа будет расти  http://t.co/S6HmBrj9SX,Unknown,Russian,2015-07-19 17:52:00,2015-07-19 17:52:00,1342,214,2107,R,1
sokolosha,Когда тебе не заплатили за рекламу https://t.co/BkJV92DTgk,Unknown,Ukrainian,2015-07-21 14:28:00,2015-07-21 14:30:00,1261,212,2109,R,1
sokolosha,В США россиянин приговорен к 24 месяцам тюрьмы за интернет-мошенничество http://t.co/CCPZkyj6tn,Unknown,Russian,2015-07-21 15:51:00,2015-07-21 15:52:00,1237,212,2110,R,1
sokolosha,"'@salty_1970 Ну, у нас она работает на отлично.. У них я думаю, для фикции сделана..'",Unknown,Russian,2015-07-23 03:12:00,2015-07-23 03:12:00,1176,214,2120,R,1
sokolosha,"Депутат Госдумы Ольга Епифанова просит Минздрав объяснить, как россиян будут лечить по Skype  http://t.co/L2lZmPuFtO",Unknown,Russian,2015-07-23 04:11:00,2015-07-23 04:12:00,1175,214,2121,R,1
sokolosha,Саакашвили: одесскую милицию будет тренировать ФБР http://t.co/lAPPHQWB8h,Unknown,Russian,2015-07-23 21:12:00,2015-07-23 21:12:00,1175,214,2123,R,1
sokolosha,WADA: каждый десятый спортсмен-профессионал принимает допинг  http://t.co/mKD5USGTdx http://t.co/zIapovSPbp,Unknown,Russian,2015-07-24 04:52:00,2015-07-24 04:52:00,1175,214,2124,R,1
sokolosha,Таиланд депортировал двух российских преступников http://t.co/WdRGxNwK5v,Unknown,Russian,2015-07-24 07:33:00,2015-07-24 07:33:00,1175,214,2125,R,1
