author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
Teodor_FM_,Вчера Айдар провокационно захватил 2х бойцов Народной милиции ЛНР на её территории. А как же Минские договоренности?  http://t.co/nX2ytzZfYU,Azerbaijan,Russian,2015-05-17 17:45:00,2015-05-17 17:47:00,854,164,414,R,1
Teodor_FM_,"Презентация музея ""Зенита"" http://t.co/MiN1g1bqVx",Azerbaijan,Bulgarian,2015-05-29 17:29:00,2015-05-29 17:29:00,855,164,419,R,1
Teodor_FM_,Борец за свободу – Олесь Бузина #ПамятиБузины,Azerbaijan,Ukrainian,2015-07-13 13:58:00,2015-07-13 14:00:00,840,162,435,,0
Teodor_FM_,журналист Оксана Шкода вспоминает Олеся Бузину как талантливого писателя и лидера #ПамятиБузины,Azerbaijan,Russian,2015-07-13 14:34:00,2015-07-13 14:34:00,840,162,438,,0
Teodor_FM_,"«Помощь»,оказанная ЕС,обязывает Грецию так изменить политику и экономику,что шансов на самостоятельность не останется  http://t.co/SlZvfdA9kS",Azerbaijan,Russian,2015-07-22 16:52:00,2015-07-22 16:52:00,839,162,453,R,1
Teodor_FM_,'@byDrBre @LevSharansky @SPB_citizen сделали из не пойми кого культ личности',Azerbaijan,Ukrainian,2015-07-23 20:33:00,2015-07-23 20:33:00,839,163,454,,0
Teodor_FM_,поддержим https://t.co/3IDyESXs1x,Azerbaijan,Russian,2015-07-30 11:23:00,2015-07-30 11:23:00,839,163,456,R,1
Teodor_FM_,#РоссияЖжет пусть Еропа снимет санкции с России и  еда будет поступать к нам легально http://t.co/SzpY6Bc0C3,Azerbaijan,Russian,2015-08-10 08:32:00,2015-08-10 08:32:00,837,162,468,R,1
Teodor_FM_,'@zubovnik @korobkov дача Путина',Azerbaijan,Serbian,2015-08-24 22:51:00,2015-08-24 22:51:00,837,164,488,,0
Teodor_FM_,"Завидую тем, кто живет в Сочи – Черное море под боком, никуда ездить не надо  #ОтдыхаемДома",Azerbaijan,Ukrainian,2015-08-29 14:51:00,2015-09-25 05:39:00,836,164,499,,0
Teodor_FM_,Мне нравится у нас проводить отпуск #ОтдыхаемДома,Azerbaijan,Russian,2015-08-29 15:06:00,2015-09-25 05:57:00,836,164,510,,0
Teodor_FM_,"Матч ЦСКА—Зенит покажут в 16 странах мира, в том числе в США, Германии, Франции и Португалии http://t.co/g9dieZ9qQm http://t.co/cmonLyJvsH",Azerbaijan,Russian,2015-09-10 10:13:00,2015-09-10 10:13:00,832,164,517,R,1
Teodor_FM_,"Бомбим ИГИЛ, боремся со злом! Буду летчиком #поэтомуясупергерой http://t.co/UsMiWKynlr",Azerbaijan,Russian,2015-10-19 16:40:00,2015-10-19 16:40:00,820,165,524,R,1
Teodor_FM_,Просто бомба #поэтомуясупергерой http://t.co/1EF8eQqu8L,Azerbaijan,Russian,2015-10-19 16:41:00,2015-10-19 16:41:00,820,165,525,R,1
Teodor_FM_,Путин в третий раз подряд возглавил рейтинг самых влиятельных людей мира по версии американского журнала Forbes https://t.co/7tiaS7Gdcb,Azerbaijan,Russian,2015-11-04 15:19:00,2015-11-04 15:19:00,818,165,533,R,1
Teodor_FM_,"Если Россия и западные компании построят „Северный поток-2“, это лишит Украину $2 млрд прибыли, — отметил Яценюк  https://t.co/5iVMYGqebg",Azerbaijan,Russian,2015-11-07 11:51:00,2015-11-07 11:51:00,818,164,538,R,1
Teodor_FM_,"Арсений Яценюк пожаловался, что Украина потеряет 2 млрд. долларов в случае реализации проекта ""Северный поток-2"" https://t.co/ukONTBwnc1",Azerbaijan,Russian,2015-11-07 16:06:00,2015-11-07 16:06:00,818,164,542,R,1
Teodor_FM_,'@realDonaldTrump @Morning_Joe @morningmika @DonaldJTrumpJr @EricTrump  Трамп поддержит операцию РФ в Сирии https://t.co/qKJh9CGvDa',Azerbaijan,Russian,2015-11-11 15:51:00,2015-11-11 15:51:00,817,163,558,R,1
Teodor_FM_,'@Alexey_Pushkov Андронов отстранен от работы на «Матч ТВ» за твит о русском мире https://t.co/BUMinOgY3S https://t.co/cUYpX2FThb',Azerbaijan,Russian,2015-11-12 08:40:00,2015-11-12 08:40:00,817,163,561,R,1
Teodor_FM_,Обращение Сергея Поспелова @pospelovsv к Генеральной ассамблее ООН https://t.co/ov81mj6Ary @fadm_ru #ВДФМ https://t.co/rQzcqiTFn9,Azerbaijan,Russian,2015-11-12 09:47:00,2015-11-12 09:47:00,817,163,562,R,1
Teodor_FM_,'@realDonaldTrump @WSJ https://t.co/C7iMqjHINI',Azerbaijan,Russian,2015-11-12 11:42:00,2015-11-12 11:43:00,817,163,566,R,1
Teodor_FM_,Камеры наблюдения в Сан-Франциско зафиксировали новый случай полицейской жестокости   https://t.co/xN3EszPfnj https://t.co/QMxCPIq3JO,Azerbaijan,Russian,2015-11-18 11:49:00,2015-11-18 11:49:00,817,164,578,R,1
Teodor_FM_,Бомбардировщики РФ применили в Сирии секретную крылатую ракету  https://t.co/cRjFppfcOs https://t.co/uuBrtNjITr,Azerbaijan,Russian,2015-11-18 13:49:00,2015-11-18 13:50:00,817,164,579,R,1
Teodor_FM_,Немецкие СМИ предрекают крах МВФ из-за американских махинаций вокруг Украины https://t.co/l3yR021BMe https://t.co/1R2ZSpwOiQ,Azerbaijan,Russian,2015-11-18 14:08:00,2015-11-18 14:08:00,817,164,580,R,1
