author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
ToGanshin,Вот так просто можно оказаться в космосе #УкрКосмос http://t.co/PsSkwk2Rpb http://t.co/bQCXNFWUlB,United States,Russian,2015-06-29 14:58:00,2015-06-29 14:59:00,730,1157,3158,,0
ToGanshin,Россия - щедрая душа! #РусскиеВарвары https://t.co/lCA1DlFgwv,United States,Russian,2015-07-14 15:06:00,2015-07-14 15:06:00,729,1237,3166,,0
ToGanshin,Если Дамаск попросит помочь в борьбе с ИГИЛ - мы поможем!  https://t.co/LnIgZbjhyY,United States,Russian,2015-09-21 14:27:00,2015-09-21 14:27:00,198,1188,3213,R,1
ToGanshin,"28 сентября, главы США и России наконец-таки встретятся на полях Генассамблеи ООН   http://t.co/2KNifDx6W7",United States,Russian,2015-09-24 13:33:00,2015-09-24 13:33:00,198,1185,3215,R,1
ToGanshin,Пойдет ли Запад на 4 условия Путина?  http://t.co/EvNazciQHH http://t.co/gfIyQ0xjgu,United States,Russian,2015-09-28 14:34:00,2015-09-28 14:34:00,198,1179,3222,R,1
ToGanshin,Немного хорошей пародии на тему блокады Крыма  https://t.co/OYDOcA9zjh,United States,Russian,2015-09-29 13:15:00,2015-09-29 13:15:00,198,1179,3224,,0
ToGanshin,Украина умирает: без злорадства про дефолт и его последствия  http://t.co/NtvdcecEdd http://t.co/AJQVHxG3CH,United States,Russian,2015-10-06 10:59:00,2015-10-06 10:59:00,198,1177,3232,,0
ToGanshin,Украинские авиакомпании попросили Росавиацию разрешить полеты в РФ #поэтомуясупергерой http://t.co/bnsxWU7P96,United States,Russian,2015-10-19 16:43:00,2015-10-19 16:43:00,198,1171,3233,R,1
ToGanshin,Что ждет украинских граждан в России ?  https://t.co/KIblnViSol https://t.co/K0nkS4R0rd,United States,Russian,2015-10-19 18:45:00,2015-10-19 18:45:00,198,1171,3234,R,1
ToGanshin,'@NovostiOmska что тогда есть городскому жителю?',United States,Russian,2015-10-27 22:00:00,2015-10-27 22:03:00,197,1163,3242,,0
