author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
transspbgpu,Обама не стал извиняться перед бразильским президентом за шпионаж http://t.co/aN3riyvtPc http://t.co/2GeYingZVF,United States,Ukrainian,2015-06-30T20:31:00,2015-06-30T20:31:00,1990.0000000000,623.0000000000,6815.0000000000,R,True
transspbgpu,Для птицефабрики построят мощную подстанцию за 250 млн рублей http://t.co/1o8vJe9UOQ,United States,Ukrainian,2015-07-06T13:51:00,2015-07-06T13:51:00,1989.0000000000,621.0000000000,6821.0000000000,R,True
transspbgpu,"«Шкода» придумала, чем ответить «Ладе Калине кросс»: показан внедорожный Rapid http://t.co/ldGockZcrM",United States,Russian,2015-07-09T06:11:00,2015-07-09T06:11:00,1988.0000000000,622.0000000000,6825.0000000000,R,True
transspbgpu,ВСУ обстреливают из танков и минометов район донецкого аэропорта http://t.co/NqZ1Nb7a8e http://t.co/jLkE84G9bI,United States,Russian,2015-07-13T20:12:00,2015-07-13T20:12:00,1989.0000000000,621.0000000000,6819.0000000000,R,True
transspbgpu,"Из доклада голландцев следует, что «Боинг» на востоке Украины был сбит сепаратистами   http://t.co/9CPGwybQfX http://t.co/WLrSUS6rmC",United States,Ukrainian,2015-07-15T13:11:00,2015-07-15T13:11:00,1989.0000000000,621.0000000000,6820.0000000000,R,True
transspbgpu,Роспечать: Прибыль Украины от экспорта СМИ в Россию за год увеличилась на $10 млн  http://t.co/ynUJEIgFkl,United States,Russian,2015-07-16T04:31:00,2015-07-16T23:47:00,1989.0000000000,621.0000000000,6823.0000000000,R,True
transspbgpu,Китай проследит за расширением полномочий армии Японии http://t.co/7bzIW3jCev http://t.co/dzQATVIpKB,United States,Russian,2015-07-17T07:32:00,2015-07-17T07:32:00,1989.0000000000,622.0000000000,6836.0000000000,R,True
transspbgpu,Мария Гайдар попросила предоставить ей украинское гражданство http://t.co/uHMe24jEbL,United States,Russian,2015-07-17T11:52:00,2015-07-17T11:52:00,1989.0000000000,622.0000000000,6837.0000000000,R,True
transspbgpu,"Генсек ООН осудил теракт на иракском рынке, жертвами которого стали более 100 человек  http://t.co/bU3DxQ8YQw",United States,Russian,2015-07-18T23:31:00,2015-07-18T23:31:00,1988.0000000000,620.0000000000,6844.0000000000,R,True
transspbgpu,Стали известны подробности стрельбы в Теннесси  http://t.co/W39JxBKvPO http://t.co/P7r4fpWD3P,United States,Russian,2015-07-19T06:32:00,2015-07-19T06:32:00,1988.0000000000,620.0000000000,6845.0000000000,R,True
transspbgpu,Хурадо не интересует «Локомотив» http://t.co/PmHVtMHJea,United States,Ukrainian,2015-07-20T09:32:00,2015-07-20T09:32:00,1988.0000000000,620.0000000000,6847.0000000000,R,True
transspbgpu,"""Ведомости"": подписание контракта о поставках газа в Китай по ""Силе Сибири-2"" откладывается http://t.co/4wPUkEymzB",United States,Russian,2015-07-22T05:32:00,2015-07-22T05:33:00,1488.0000000000,622.0000000000,6854.0000000000,R,True
transspbgpu,#СмехСквозьСлезы когда вместо сырного соуса в макдаке дали огурец,United States,Russian,2015-07-22T17:47:00,2015-07-22T17:51:00,1488.0000000000,622.0000000000,6862.0000000000,,False
transspbgpu,"Наверное он хотел ответить, «вы и сами все прекрасно понимаете» http://t.co/aFgJ6ZJlKb #СмехСквозьСлезы",United States,Russian,2015-07-22T20:18:00,2015-07-22T20:19:00,1488.0000000000,622.0000000000,6869.0000000000,,False
transspbgpu,"Бенитес: Стерлинг весьма хорош, я был рад, когда он перешёл в мой «Ливерпуль» http://t.co/EcbLW9T6tp",United States,Russian,2015-07-23T09:35:00,2015-07-23T09:35:00,1488.0000000000,622.0000000000,6871.0000000000,R,True
transspbgpu,Песков: вопроса о запрете тунеядства нет на повестке дня в Кремле http://t.co/IWX5dwOkkE,United States,Russian,2015-07-23T09:51:00,2015-07-23T09:51:00,1488.0000000000,622.0000000000,6872.0000000000,R,True
