author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
Ubergar,'@ComradZampolit @SPB_citizen @LevSharansky возраст соответствует статусу',Russian Federation,Russian,2015-07-08 23:33:00,2015-07-08 23:34:00,1337,1776,9014,,0
Ubergar,"Турция подписала документ о инвестировании сотен миллиардов рубл. в развитие Крыма. Кстати ""Отдыхайте в России"" http://t.co/RAVZN7r2jZ",Russian Federation,Russian,2015-07-09 09:13:00,2015-07-09 09:13:00,1337,1776,9015,R,1
Ubergar,"#ПамятиБузины все мы знаем, кто стоит за этим убийством",Russian Federation,Russian,2015-07-13 12:16:00,2015-07-13 12:19:00,1336,1777,9018,R,1
Ubergar,Сын Михаила Круга стал капитаном полиции Ссучился и по воровской не пошёл,Russian Federation,Russian,2015-07-17 12:41:00,2015-07-17 12:43:00,1334,1774,9031,R,1
Ubergar,#50событийлета изи выиграли Европейские игры в Баку,Russian Federation,Russian,2015-07-24 14:08:00,2015-07-24 14:08:00,1333,1776,9039,,0
Ubergar,именно он ввел санкции против России #ПоследнийЧерныйПрезидент http://t.co/t6LRfMk4xd,Russian Federation,Russian,2015-08-04 14:47:00,2015-08-04 14:48:00,1332,1757,9044,R,1
Ubergar,"США нужен президент, который будет дружить с Россией #ПоследнийЧерныйПрезидент http://t.co/1ammz2N3UY",Russian Federation,Russian,2015-08-04 14:48:00,2015-08-04 14:49:00,1332,1757,9045,R,1
Ubergar,"Новосибирцы стали «отличниками войсковой разведки», молодцы пацаны!  http://t.co/BQfF6j6o1h",Russian Federation,Russian,2015-08-13 13:07:00,2015-08-13 13:07:00,200,1711,9060,,0
Ubergar,'@NovostiEkb и GPS-маячки',Russian Federation,Russian,2015-08-16 18:57:00,2015-08-16 18:58:00,200,1703,9062,,0
Ubergar,"28 сентября, главы США и России наконец-таки встретятся на полях Генассамблеи ООН   http://t.co/2KNifDx6W7",Russian Federation,Russian,2015-09-24 13:33:00,2015-09-24 13:33:00,199,1640,9089,R,1
Ubergar,Пойдет ли Запад на 4 условия Путина?  http://t.co/EvNazciQHH http://t.co/gfIyQ0xjgu,Russian Federation,Russian,2015-09-28 14:34:00,2015-09-28 14:34:00,199,1611,9096,R,1
Ubergar,Немного хорошей пародии на тему блокады Крыма  https://t.co/u78oohcCIW,Russian Federation,Russian,2015-09-29 13:15:00,2015-09-29 13:15:00,199,1612,9098,,0
Ubergar,Украина умирает: без злорадства про дефолт и его последствия  http://t.co/GeMGzqBf2u http://t.co/3FUonC1cSM,Russian Federation,Russian,2015-10-06 10:59:00,2015-10-06 10:59:00,197,1604,9107,,0
Ubergar,Украинские авиакомпании попросили Росавиацию разрешить полеты в РФ #поэтомуясупергерой http://t.co/bnsxWU7P96,Russian Federation,Russian,2015-10-19 16:43:00,2015-10-19 16:43:00,197,1599,9116,R,1
Ubergar,"Бомбим ИГИЛ, боремся со злом! Буду летчиком #поэтомуясупергерой http://t.co/UsMiWKynlr",Russian Federation,Russian,2015-10-19 16:43:00,2015-10-19 16:43:00,197,1599,9115,R,1
