author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
unicornrainbws,Зарегистрирован температурный максимум за 90 лет в Казани http://t.co/UwuoUCpPqR,Russian Federation,Russian,2015-06-22 08:51:00,2015-06-22 08:51:00,1460,181,1619,R,1
unicornrainbws,АвтоВАЗ продает свою долю в Тольяттинском заводе автоагрегатов http://t.co/bvdlfNu8Qt,Russian Federation,Russian,2015-06-24 07:11:00,2015-06-24 07:11:00,1459,181,1623,R,1
unicornrainbws,Газпром — Украине: скидки — закачаешься! http://t.co/ZZnfCUurDB http://t.co/vbDRtHcykm,Russian Federation,Ukrainian,2015-06-30 08:51:00,2015-06-30 08:52:00,1457,181,1632,R,1
unicornrainbws,Давно пора почистить интернет #ЭтоНезабываемо http://t.co/5hULimh5BZ,Russian Federation,Russian,2015-06-30 15:21:00,2015-06-30 15:21:00,1457,181,1633,R,1
unicornrainbws,Греки возвращаются от евро к своим деньгам http://t.co/jaSKFPXZU1,Russian Federation,Russian,2015-07-03 17:07:00,2015-07-03 17:07:00,1457,180,1637,,0
unicornrainbws,Блаттер боится покидать Швейцарию http://t.co/FrKUEuaD8N http://t.co/sWEcszhiUf,Russian Federation,Russian,2015-07-06 09:31:00,2015-07-06 09:31:00,1458,180,1639,R,1
unicornrainbws,СБУ определила срок действия пропуска в Донбасс http://t.co/ZiVaxEdPI2 http://t.co/6c9hChZpse,Russian Federation,Russian,2015-07-09 16:51:00,2015-07-09 16:51:00,1454,176,1644,R,1
unicornrainbws,Северо-Западный банк Сбербанка упростил покупку льготных билетов в метро http://t.co/JRxCSEccmP http://t.co/UeI6X8RIOe,Russian Federation,Russian,2015-07-13 09:31:00,2015-07-13 09:31:00,1454,176,1644,R,1
unicornrainbws,ВИДЕО. В США самолет экстренно сел на оживленное шоссе  http://t.co/mKgCBkpln1 http://t.co/i7v3Q2aZjd,Russian Federation,Russian,2015-07-15 10:47:00,2015-07-15 10:47:00,1455,178,1650,R,1
unicornrainbws,Пильгуй: «Динамо» плывёт в правильную сторону http://t.co/TPcgMDiYqI,Russian Federation,Russian,2015-07-15 12:11:00,2015-07-15 12:11:00,1455,178,1651,R,1
unicornrainbws,Китайская Lifan начала строить под Липецком автозавод стоимостью $300 млн http://t.co/lIBH3W4mY5,Russian Federation,Russian,2015-07-16 13:32:00,2015-07-16 13:32:00,1454,178,1655,R,1
unicornrainbws,".@ESapognikova вы только балалайку не забудьте взять! Оккупанты всем выдают vodka и медведей, а балалайки не выдают :(",Russian Federation,Russian,2015-07-16 19:53:00,2015-07-16 19:53:00,1454,178,1656,R,1
unicornrainbws,Клятi москалi http://t.co/RYP5yfT5FA,Russian Federation,Russian,2015-07-17 07:32:00,2015-07-17 07:32:00,1455,180,1659,R,1
unicornrainbws,"Хуанфран: я знаю, как Туран хотел играть за «Барселону», так что поздравляю его http://t.co/nrtOrzYZlL",Russian Federation,Russian,2015-07-19 07:52:00,2015-07-19 07:52:00,1455,179,1665,R,1
unicornrainbws,"Буша-старшего, сломавшего шейный позвонок, выписали из больницы  http://t.co/RDcqXsMgk8",Russian Federation,Russian,2015-07-19 18:33:00,2015-07-19 18:33:00,1455,179,1665,R,1
unicornrainbws,Сайт для неверных супругов Ashley Madison взломан хакерами http://t.co/mpODrOI0GK,Russian Federation,Ukrainian,2015-07-20 07:53:00,2015-07-20 07:53:00,1454,179,1666,R,1
unicornrainbws,После драки депутата с журналистами в Чернигове возбуждено дело http://t.co/LNM0B0XGmN,Russian Federation,Macedonian,2015-07-21 18:53:00,2015-07-21 18:53:00,954,179,1676,R,1
unicornrainbws,Пушков: визит французских парламентариев в Крым - это прорыв  http://t.co/BEEMPERapN,Russian Federation,Russian,2015-07-21 23:33:00,2015-07-21 23:33:00,954,180,1677,R,1
unicornrainbws,Белый дом: США завершают разработку плана по закрытию тюрьмы в Гуантанамо http://t.co/9Ok9t8q3XJ,Russian Federation,Russian,2015-07-22 20:32:00,2015-07-22 20:33:00,954,180,1681,R,1
unicornrainbws,"В ходе стыковки с МКС левая батарея ""Союза"" раскрылась http://t.co/tmKIUth5kB",Russian Federation,Russian,2015-07-23 04:11:00,2015-07-23 04:11:00,954,180,1682,R,1
unicornrainbws,"«Победителям — «конгратьюлейшенз и чмоки-чмоки», а за проигравших отвечает власть»  http://t.co/XSVd8jEi8A http://t.co/LUN8DkNkfY",Russian Federation,Russian,2015-07-23 13:34:00,2015-07-23 13:35:00,954,180,1685,R,1
unicornrainbws,Война за «частный» пляж в Одессе: Саакашвили пригрозил олигарху разборкой с Кличко  http://t.co/xSWwYObKwl http://t.co/L1hXDAbXit,Russian Federation,Russian,2015-07-23 20:13:00,2015-07-23 20:13:00,954,180,1687,R,1
unicornrainbws,Какие последствия ждут сотрудников метро за бороды и яркий макияж  http://t.co/LZVp9fowOF http://t.co/TKJtOgzXFz,Russian Federation,Russian,2015-07-24 16:51:00,2015-07-24 16:52:00,954,180,1692,R,1
unicornrainbws,Скончался Владимир Сальников  http://t.co/x30tw9pj94 http://t.co/uHdUFLTSVW,Russian Federation,Russian,2015-07-24 17:31:00,2015-07-24 17:31:00,954,180,1693,R,1
unicornrainbws,МВФ получил от Греции запрос на предоставление нового займа   http://t.co/0PRcNLsFq2,Russian Federation,Russian,2015-07-25 01:52:00,2015-07-25 01:52:00,954,180,1694,R,1
unicornrainbws,На борту летевшего в Москву Boeing произошла разгерметизации салона http://t.co/0yAsiLuzC6,Russian Federation,Russian,2015-07-26 09:33:00,2015-07-26 09:33:00,954,180,1698,R,1
unicornrainbws,"Мексес: нынешний состав «Милана» сильнее, чем в прошлом сезоне http://t.co/8AZzLt5pOf",Russian Federation,Russian,2015-07-26 10:12:00,2015-07-26 10:12:00,954,180,1699,R,1
unicornrainbws,Владимир Путин провёл встречу с Владимиром Жириновским http://t.co/thiCWkYUjk,Russian Federation,Russian,2015-07-27 15:31:00,2015-07-27 15:34:00,953,180,1709,R,1
unicornrainbws,YouTube заблокировал аккаунт чеченского канала «Грозный». Администрация телекомпании заявляет о цензуре: http://t.co/brZkTyyPFG,Russian Federation,Russian,2015-07-27 16:13:00,2015-07-27 16:13:00,953,180,1710,R,1
unicornrainbws,"Рассказываем про «туалетное равноправие», борцы за которое всегда побеждают    https://t.co/qWDd7GTbEi",Russian Federation,Russian,2015-07-28 15:34:00,2015-07-28 15:34:00,953,180,1712,R,1
unicornrainbws,«Зенит» после двух выходных возобновил тренировки http://t.co/BzLBNZwlaX,Russian Federation,Russian,2015-07-29 12:54:00,2015-07-29 12:54:00,953,181,1718,R,1
unicornrainbws,Nokia представила устройство для съемки виртуальной реальности  #hitech,Russian Federation,Russian,2015-07-29 19:15:00,2015-07-29 19:15:00,953,181,1721,R,1
unicornrainbws,Компания Nokia презентовала камеру виртуальной реальности  #hitech,Russian Federation,Russian,2015-07-30 04:50:00,2015-07-30 04:50:00,953,182,1726,R,1
unicornrainbws,"Телеканал MTV продлил сериал ""Крик"" на второй сезон http://t.co/eJ6QLW315z",Russian Federation,Russian,2015-07-30 14:13:00,2015-07-30 14:13:00,953,181,1731,R,1
unicornrainbws,"Французский депутат после визита в Крым заявил, что Украины никогда не было, а в Киеве сидит «хунта».  Куев негодует.  http://t.co/V9gWT5HIwN",Russian Federation,Russian,2015-07-30 16:33:00,2015-07-30 16:33:00,953,181,1732,R,1
unicornrainbws,"Мэр украинского городка предложил Порошенко переименовать государство в ""Украина-Русь"" http://t.co/yTkcbfXtKa",Russian Federation,Russian,2015-07-30 20:52:00,2015-07-30 20:52:00,953,181,1734,R,1
unicornrainbws,США расширили санкции против России: под ударом «Ижмаш» и «Калашников» http://t.co/rYRY5xUIsI,Russian Federation,Russian,2015-07-31 00:51:00,2015-07-31 00:51:00,953,181,1735,R,1
unicornrainbws,Джеймс Вудс подал в суд на пользователя Twitter за обвинение в пристрастии к кокаину http://t.co/barwKFm9LB,Russian Federation,Russian,2015-07-31 03:42:00,2015-07-31 03:42:00,953,181,1736,R,1
unicornrainbws,Прогноз погоды на выходные и следующую неделю  http://t.co/I8l6NPuL56 http://t.co/upxInlCzQg,Russian Federation,Russian,2015-07-31 07:12:00,2015-07-31 07:12:00,953,182,1737,R,1
unicornrainbws,Интерпол отказался по требованию Грузии объявить Михаила Саакашвили в международный розыск http://t.co/qMk5ilAHbJ,Russian Federation,Russian,2015-07-31 22:13:00,2015-07-31 22:13:00,953,182,1740,R,1
unicornrainbws,В Японии опубликовала аудиозапись речи императора о капитуляции во Второй мировой http://t.co/9kgPfTheKI,Russian Federation,Russian,2015-08-01 05:52:00,2015-08-01 05:52:00,953,182,1743,R,1
unicornrainbws,"Минниханов: Казань может принять Олимпиаду, если на то будет воля руководства страны http://t.co/17I5YSBj5v",Russian Federation,Russian,2015-08-01 07:52:00,2015-08-01 07:52:00,953,182,1744,R,1
unicornrainbws,'@byDrBre @rykov @max_katz жил-был художник один',Russian Federation,Russian,2015-08-01 21:38:00,2015-08-01 21:38:00,953,181,1748,,0
unicornrainbws,В Челябинской области 14 детей отравились в летнем лагере  http://t.co/WFJA3QioGa,Russian Federation,Russian,2015-08-03 06:33:00,2015-08-03 06:33:00,353,179,1749,R,1
unicornrainbws,"Дмитрий @Rogozin: РФ сможет самостоятельно создавать двигатели для SSJ100, МС-21 и Ми-26  https://t.co/OUPHfcqcgs http://t.co/BHH3HwVhtF",Russian Federation,Russian,2015-08-03 12:12:00,2015-08-03 12:12:00,353,179,1752,R,1
unicornrainbws,Центральные улицы Москвы продолжают терять арендаторов. Вакантность торговых площадей достигла максимума с 2009 года: http://t.co/x93rUub32i,Russian Federation,Russian,2015-08-03 14:11:00,2015-08-03 14:11:00,354,179,1753,R,1
unicornrainbws,Министерство труда представило кодекс этики чиновников http://t.co/iCfGblsdzP,Russian Federation,Russian,2015-08-03 21:31:00,2015-08-03 21:31:00,354,178,1755,R,1
unicornrainbws,Обама: в СБ ООН должен быть как минимум один представитель африканского континента  http://t.co/1NUCKHsg9a,Russian Federation,Russian,2015-08-03 21:32:00,2015-08-03 21:32:00,354,178,1756,R,1
unicornrainbws,Медведев предложил расширить контрсанкции на новые страны: http://t.co/3Qgo4OUpF8,Russian Federation,Russian,2015-08-04 13:33:00,2015-08-04 13:33:00,354,178,1759,R,1
unicornrainbws,Укросми опять облажались http://t.co/EqdIUcNcB5,Russian Federation,Russian,2015-08-04 16:08:00,2015-08-04 16:08:00,354,178,1763,R,1
unicornrainbws,Пытавшийся сдать ЕГЭ за выпускника студент приговорен к 10 месяцам ограничения свободы http://t.co/wRrjbntoWO,Russian Federation,Russian,2015-08-04 21:14:00,2015-08-04 21:14:00,354,178,1766,R,1
unicornrainbws,"Американская власть на Украине, или Управляемая самостийность (I)   http://t.co/rpQ8yLHxQO http://t.co/mT8jSq4Ht8",Russian Federation,Russian,2015-08-05 04:51:00,2015-08-05 04:51:00,354,179,1768,R,1
unicornrainbws,СМИ: слова Марии Гайдар просят проверить на сепаратизм и экстремизм http://t.co/T5lKNbkDLv http://t.co/gCSj7Yfkop,Russian Federation,Russian,2015-08-05 06:32:00,2015-08-05 06:32:00,354,179,1769,R,1
unicornrainbws,ЦСКА объявил конкурс на лучший вариант окраски трибун нового стадиона http://t.co/Q8DPcRvymM,Russian Federation,Russian,2015-08-05 14:32:00,2015-08-05 14:32:00,354,179,1770,R,1
unicornrainbws,"Обама заявил, что блокировка сделки с Ираном ускорит ядерную программу Тегерана http://t.co/W3g829VdYc",Russian Federation,Russian,2015-08-05 17:52:00,2015-08-05 17:52:00,354,179,1772,R,1
unicornrainbws,Самый популярный прогноз на матч «Шахтёр» — «Фенербахче» — победа «горняков» http://t.co/UakWlMs1rn,Russian Federation,Russian,2015-08-05 18:53:00,2015-08-05 18:53:00,354,179,1773,R,1
unicornrainbws,Российские регионы обяжут составлять перечни аварийно-опасных участков дорог     http://t.co/vCGP9Y5gwE,Russian Federation,Russian,2015-08-06 11:13:00,2015-08-06 11:13:00,354,179,1776,R,1
unicornrainbws,"'@Dasssha2010 можно и свиньям нарример скормить если опасаешься за качество, нахуя сжигать, не понимаю @orgstruk'",Russian Federation,Russian,2015-08-06 14:32:00,2015-08-06 14:32:00,354,179,1779,R,1
unicornrainbws,Саакашвили опубликовал видео выступления в Одессе Гребенщикова с Нино Катамадзе http://t.co/OW7zlUlXzf,Russian Federation,Russian,2015-08-10 11:33:00,2015-08-10 11:34:00,354,179,1795,R,1
unicornrainbws,«Рубин» — «Ростов»: стадион «Центральный» устроил овации Бердыеву и Бухарову http://t.co/QWDz6lSOKk,Russian Federation,Russian,2015-08-10 17:53:00,2015-08-10 17:53:00,354,179,1797,R,1
unicornrainbws,"Карма, про которую так любят говорить хохлы http://t.co/94yUnDiMOm",Russian Federation,Russian,2015-08-11 06:14:00,2015-08-11 06:14:00,354,179,1800,R,1
unicornrainbws,Редкие фото со свадьбы Чарльза и Дианы выставлены на торги  http://t.co/XuwyfAxiyt http://t.co/bIKV9W2Z40,Russian Federation,Russian,2015-08-11 09:12:00,2015-08-11 09:12:00,354,179,1801,R,1
unicornrainbws,Саудовская Аравия может купить у России «Искандеры» http://t.co/SsqiOq1zbO,Russian Federation,Russian,2015-08-11 11:31:00,2015-08-11 11:31:00,354,179,1802,R,1
unicornrainbws,Семьи пассажиров рейса MH370 не приняли заключение Малайзии по обломкам на Реюньоне  https://t.co/zefY6URjNu http://t.co/ohKQttkjZ1,Russian Federation,Russian,2015-08-12 06:50:00,2015-08-12 06:50:00,354,179,1807,R,1
unicornrainbws,Подозреваемый в убийстве шести детей Олег Белов переведен в СИЗО: http://t.co/aDJy1OsnUw,Russian Federation,Russian,2015-08-12 09:11:00,2015-08-12 09:11:00,354,179,1808,R,1
unicornrainbws,"Британка обманула мужа, выдав дога за терьера http://t.co/MEbiOnz3yu",Russian Federation,Ukrainian,2015-08-12 12:52:00,2015-08-12 12:52:00,354,179,1809,R,1
unicornrainbws,Защитник «Ромы» Бальцаретти объявил о завершении карьеры http://t.co/9hoCjH3VXC,Russian Federation,Russian,2015-08-12 12:53:00,2015-08-12 12:53:00,354,179,1810,R,1
unicornrainbws,Керри не будет встречаться с Раулем и Фиделем Кастро в ходе визита на Кубу http://t.co/Il9sdrEfaO,Russian Federation,Russian,2015-08-12 21:51:00,2015-08-12 21:51:00,354,179,1814,R,1
unicornrainbws,Суд Карелии признал закон об отмене выборов мэра Петрозаводска http://t.co/MKOtnucd0y,Russian Federation,Russian,2015-08-12 22:11:00,2015-08-12 22:11:00,354,179,1815,R,1
unicornrainbws,Доступ к 2000 онлайн-казино заблокирован http://t.co/SNUamOmEFg http://t.co/ZEpbzDIFrQ,Russian Federation,Russian,2015-08-13 04:12:00,2015-08-13 04:12:00,354,179,1818,R,1
unicornrainbws,Cadillac к 2020 году собирается выпустить 9 новинок   http://t.co/IxINhGsB7Y,Russian Federation,Russian,2015-08-13 13:52:00,2015-08-13 13:52:00,354,178,1820,R,1
unicornrainbws,Билич призвал прекратить говорить о 16-летнем игроке «Вест Хэма» Оксфорде http://t.co/UN4TuaqrfP,Russian Federation,Russian,2015-08-15 09:12:00,2015-08-15 09:12:00,354,179,1827,R,1
unicornrainbws,Командир МИ-8 вышел на связь. Вертолет упал в море. На борту были 16 человек http://t.co/ntyHbwkaVY http://t.co/3vi9kjWIRT,Russian Federation,Russian,2015-08-15 12:33:00,2015-08-15 12:33:00,354,180,1828,R,1
unicornrainbws,Пушилин: ДНР находится в шаге от полноценной войны.   http://t.co/2ZiKS7Yh1X http://t.co/pEXMNNPhbQ,Russian Federation,Russian,2015-08-16 09:51:00,2015-08-16 09:51:00,354,180,1832,R,1
unicornrainbws,Логашов — в основном составе «Локомотива» на матч с «Тереком» http://t.co/HevU8wVBQu,Russian Federation,Serbian,2015-08-16 10:12:00,2015-08-16 10:12:00,354,180,1833,R,1
unicornrainbws,Дональд Трамп: вопрос вступления Украины в НАТО не имеет большого значения http://t.co/0aopZjr2SR,Russian Federation,Russian,2015-08-16 16:12:00,2015-08-16 16:12:00,354,180,1836,R,1
unicornrainbws,Пучков требует расследовать каждый факт возгорания в лесах http://t.co/NEjKRhW3r2,Russian Federation,Russian,2015-08-17 09:32:00,2015-08-17 09:32:00,354,180,1841,R,1
unicornrainbws,"Киев пригрозил санкциями участникам Koktebel Jazz Party, основатель фестиваля недоумевает http://t.co/lxErX0jGVJ",Russian Federation,Russian,2015-08-17 13:31:00,2015-08-17 13:31:00,354,180,1844,R,1
unicornrainbws,СМИ: В США разрешили продажу «женской виагры»  #hitech,Russian Federation,Russian,2015-08-19 12:34:00,2015-08-19 12:34:00,354,178,1855,R,1
unicornrainbws,Полицейский погиб в результате нападения в тунисском Сусе http://t.co/30T69Nizi0,Russian Federation,Russian,2015-08-19 20:32:00,2015-09-12 11:45:00,354,178,1857,R,1
unicornrainbws,В Риме похоронили влиятельного мафиози клана Казамоника  http://t.co/3cVkGsSYZo http://t.co/1pl2pRiChh,Russian Federation,Russian,2015-08-20 18:11:00,2015-08-20 18:11:00,354,177,1863,R,1
unicornrainbws,Боксер Джонс-младший намерен открыть в России боксерскую школу http://t.co/ufsCKs9xeB http://t.co/KfgTEJ5TL8,Russian Federation,Russian,2015-08-20 20:52:00,2015-09-13 10:53:00,354,177,1865,R,1
unicornrainbws,Малайзия направила Нидерландам реакцию на доклад о крушении рейса MH17  http://t.co/ceseyaKv7y,Russian Federation,Russian,2015-08-23 03:31:00,2015-08-23 03:31:00,354,177,1870,R,1
unicornrainbws,СМИ: Запад знал об опасности полетов над Украиной еще до крушения MH17 http://t.co/v5gLdi7cGX,Russian Federation,Russian,2015-08-23 08:12:00,2015-08-23 08:12:00,354,177,1871,R,1
unicornrainbws,"""Известия"": пилотируемый полет с космодрома Восточный состоится не ранее 2025 года http://t.co/gEAbPsZCxx",Russian Federation,Russian,2015-08-23 23:11:00,2015-08-23 23:12:00,354,177,1873,R,1
unicornrainbws,Россия запатентовала беспилотный ударный комплекс http://t.co/Q3V4TKiIKv http://t.co/xZLKkHEjNe,Russian Federation,Russian,2015-08-24 15:52:00,2015-09-20 06:04:00,354,177,1879,R,1
