author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
VestiZakharova,"Мария Захарова назвала учения украинских военных 1–2 декабря, ""крупномасштабной провокацией"". https://t.co/8KK3RfbJdq",United States,Russian,2016-12-06 14:35:00,2016-12-06 14:35:00,0,2353,2,,0
VestiZakharova,#Захарова не ожидает «торжества дружбы и справедливости» из-за Трампа.   #Trump #Russia #Россия https://t.co/9e3MYmbI8p,United States,Russian,2016-12-09 08:41:00,2016-12-09 08:41:00,0,5683,8,,0
VestiZakharova,"О подписанном, Б.Обамой 23 декабря законе о расходах на оборону США в 2017 году. https://t.co/BgVx4ABFcv",United States,Russian,2016-12-27 13:12:00,2016-12-27 13:12:00,0,5090,10,,0
VestiZakharova,"""На этот раз пощечину Вашингтону нанёс его же хозяин, максимально увеличив количество неотложных дел для приходящей команды.."" https://t.co/V5zW3TwRRV",United States,Russian,2016-12-30 10:20:00,2016-12-30 10:20:00,0,5043,13,,0
VestiZakharova,Чемпионат России по футболу сезона-2016/17 возобновится в пятницу https://t.co/5rEF3VXZWk https://t.co/ifhN8ZSnPp,United States,Russian,2017-03-02 21:34:00,2017-03-02 21:34:00,0,4383,33,,0
VestiZakharova,RT GoogleStreetArt: New Street Art by Gomez  � Marche Italy ��   #art #arte #graffiti #streetart https://t.co/wGo6lA4Sdr,United States,English,2017-03-02 22:27:00,2017-03-02 22:27:00,0,4383,34,,0
VestiZakharova,ФАС может отказать Google в снижении штрафа при заключении мирового соглашения https://t.co/SFfT8juTW0,United States,Russian,2017-03-03 15:43:00,2017-03-03 15:44:00,0,4383,52,,0
VestiZakharova,Street Art by London Police   #art #arte #graffiti #streetart https://t.co/TDNHxBn1rw,United States,English,2017-03-03 19:05:00,2017-03-03 19:05:00,0,4382,55,,0
VestiZakharova,"""Бой с весом"": Нурмагомедов не выступит в UFC из-за проблем со здоровьем https://t.co/kD0gOsUTuW https://t.co/R4FYLDd06h",United States,Ukrainian,2017-03-03 21:46:00,2017-03-03 21:46:00,0,4382,58,,0
VestiZakharova,RT GoogleStreetArt: Street Art by London Police   #art #arte #graffiti #streetart https://t.co/TDNHxBn1rw,United States,English,2017-03-04 01:55:00,2017-03-04 01:55:00,0,4382,64,,0
VestiZakharova,"NBC: США уничтожили одного из главарей ""Аль-Каиды"" в Йемене https://t.co/XOFdYqFwpN",United States,Russian,2017-03-04 03:49:00,2017-03-04 03:49:00,0,4382,66,,0
VestiZakharova,New Street Art by Murmure  � Paris   #art #arte #graffiti #streetart https://t.co/1caexisiIS,United States,English,2017-03-04 12:11:00,2017-03-04 12:12:00,0,4380,76,,0
VestiZakharova,RT GoogleStreetArt: New Street Art by Murmure  � Paris   #art #arte #graffiti #streetart https://t.co/1caexisiIS,United States,English,2017-03-04 14:43:00,2017-03-04 14:43:00,0,4379,79,,0
VestiZakharova,New #Banksy  Street artist Banksy has opened a new hotel... in occupied West Bank.  #streetart #art https://t.co/LPKY2aeteR,United States,English,2017-03-04 15:31:00,2017-03-04 15:31:00,0,4379,80,,0
VestiZakharova,RT GoogleStreetArt: New #Banksy  Street artist Banksy has opened a new hotel... in occupied West Bank.  #streetart… https://t.co/LPKY2aeteR,United States,English,2017-03-04 18:16:00,2017-03-04 18:18:00,0,4378,85,,0
VestiZakharova,"New Street Art by DanKitchener �  Edogawa, Tokyo  #streetart #art #arte https://t.co/e0LR2C5rhl",United States,English,2017-03-04 20:27:00,2017-03-04 20:27:00,0,4377,88,,0
VestiZakharova,"""Спартак"" сыграет с ""Краснодаром"" в матче чемпионата России по футболу https://t.co/QE1S7VGTQG https://t.co/16kutdf4fN",United States,Russian,2017-03-04 21:58:00,2017-03-04 21:58:00,0,4377,90,,0
VestiZakharova,Главой пресс-службы Госдепа США станет ведущая телеканала Fox News https://t.co/W2TFcaZmN7 https://t.co/RAhbLObUui,United States,Russian,2017-03-05 02:00:00,2017-03-05 02:00:00,0,4378,94,,0
VestiZakharova,Источник: солист Bad Boys Blue получил перелом в ДТП по дороге в Томск https://t.co/RrGwsPyY7O,United States,Russian,2017-03-05 06:02:00,2017-03-05 06:02:00,0,4377,98,,0
VestiZakharova,"RT GoogleStreetArt: New Street Art by DanKitchener �  Edogawa, Tokyo  #streetart #art #arte https://t.co/e0LR2C5rhl",United States,English,2017-03-05 08:27:00,2017-03-05 08:27:00,0,4377,101,,0
VestiZakharova,"Махи Идрисов назначен вице-президентом футбольного клуба ""Анжи"" https://t.co/2GAHC6K9ma",United States,Russian,2017-03-05 18:08:00,2017-03-05 18:10:00,0,4377,110,,0
VestiZakharova,"""Манчестер Сити"" одержал четвертую победу подряд в чемпионате Англии, обыграв ""Сандерленд"" https://t.co/ps38fIRGPp",United States,Ukrainian,2017-03-05 18:08:00,2017-03-05 18:11:00,0,4377,111,,0
VestiZakharova,Street Art by ArtofBust   #art #arte #graffiti #streetart https://t.co/URMxfAvG4q,United States,English,2017-03-05 19:02:00,2017-03-05 19:02:00,0,4377,112,,0
VestiZakharova,RT GoogleStreetArt: Street Art by ArtofBust   #art #arte #graffiti #streetart https://t.co/URMxfAvG4q,United States,English,2017-03-05 23:15:00,2017-03-05 23:15:00,0,4374,117,,0
VestiZakharova,3D Street Art by Emmanuel Cruz found in Mexico ��   #art #arte #3D #streetart https://t.co/RdCTYpj91o,United States,English,2017-03-06 06:35:00,2017-03-06 06:35:00,0,4374,125,,0
VestiZakharova,Полиция на Среднем Урале в 2016 году задержала 15 граждан Украины за сбыт наркотиков https://t.co/c2I4K8GJxE,United States,Ukrainian,2017-03-06 14:18:00,2017-03-06 14:18:00,0,4372,133,,0
VestiZakharova,"Белый дом заявил, что Трамп по-прежнему хочет сражаться с ИГ вместе с РФ https://t.co/MBeC9q1YFn",United States,Russian,2017-03-06 20:21:00,2017-03-06 20:21:00,0,4371,138,,0
VestiZakharova,New Street Art by Braga1  � Marseille France ��   #streetart #art #arte https://t.co/iIhh3fOkm1,United States,English,2017-03-06 20:36:00,2017-03-06 20:36:00,0,4371,140,,0
VestiZakharova,RT GoogleStreetArt: New Street Art by Braga1  � Marseille France ��   #streetart #art #arte https://t.co/iIhh3fOkm1,United States,English,2017-03-06 22:16:00,2017-03-06 22:18:00,0,4370,141,,0
VestiZakharova,"В ВВО начался первый этап конкурса ""Мастер оружейник"", входящего в программу ""Арми-2017"" https://t.co/FK2igcx1rK",United States,Russian,2017-03-07 00:23:00,2017-03-07 00:23:00,0,4370,144,,0
VestiZakharova,Южная Корея намерена ввести новые санкции в отношении КНДР в ответ на ее ракетные пуски https://t.co/uJe13Vm2fK,United States,Russian,2017-03-07 04:25:00,2017-03-07 04:25:00,0,4370,148,,0
VestiZakharova,FIS подала апелляцию в CAS на решение о дисквалификации норвежской лыжницы Йохауг https://t.co/WDs3PCLaqV,United States,Russian,2017-03-07 06:26:00,2017-03-07 06:26:00,0,4370,151,,0
VestiZakharova,New Street Art by Nilo Zack   #streetart #art #arte https://t.co/ZVgEGAN39m,United States,English,2017-03-07 06:41:00,2017-03-07 06:41:00,0,4370,152,,0
VestiZakharova,LinkedIn отказалась исполнить требование Роскомнадзора https://t.co/pKtKw3p0VY,United States,Russian,2017-03-07 12:29:00,2017-03-07 12:29:00,0,4368,157,,0
VestiZakharova,"""Новости Google"" не включены в реестр новостных агрегатов из-за недостаточной посещаемости https://t.co/7E29XNVtt6",United States,Russian,2017-03-07 14:32:00,2017-03-07 14:32:00,0,4368,160,,0
VestiZakharova,"Дима Билан отложил операцию из-за участия в шоу ""Голос"" https://t.co/ptfWKzUlk8",United States,Ukrainian,2017-03-07 14:32:00,2017-03-07 14:33:00,0,4368,164,,0
VestiZakharova,ВТБ выплатил материальную помощь 54 семьям погибших при крушении Ту-154 над Черным морем https://t.co/MPIGwXeERL,United States,Russian,2017-03-07 16:33:00,2017-03-07 16:33:00,0,4368,166,,0
VestiZakharova,"На мировом уровне: стадион ФК ""Краснодар"" занял третье место в списке лучших арен-2016 https://t.co/U0OqSFi2Jq https://t.co/hNPuovDta3",United States,Russian,2017-03-07 16:33:00,2017-03-07 16:33:00,0,4368,165,,0
VestiZakharova,New Street Art by Clog2 � Singapore ��   #streetart #art #arte https://t.co/kZjLIhmo6u,United States,English,2017-03-07 21:36:00,2017-03-07 21:37:00,0,4366,171,,0
VestiZakharova,Politico: ЦРУ предоставило сенаторам необработанные данные по кибератаке на выборы США https://t.co/GgGv32BrXC,United States,Russian,2017-03-08 04:39:00,2017-03-08 04:39:00,0,4348,178,,0
VestiZakharova,New anamorphic Street Art by Boa Mistura  � São Paulo Brazil ��   #streetart #art #arte #3D https://t.co/oeG1tqwVIH,United States,Portuguese,2017-03-08 06:41:00,2017-03-08 06:41:00,0,4348,182,,0
VestiZakharova,"Матч открытия стадиона ""Динамо"" планируется провести в июне 2018 года https://t.co/sndBQHMWeV https://t.co/QIZCCcsZMS",United States,Russian,2017-03-08 10:42:00,2017-03-08 10:42:00,0,4347,185,,0
VestiZakharova,WADA пока не получало документов о смене руководства в РУСАДА https://t.co/GZIMNtEq9x https://t.co/xQW39cFxSz,United States,Russian,2017-03-08 10:42:00,2017-03-08 10:42:00,0,4347,186,,0
VestiZakharova,RT GoogleStreetArt: New anamorphic Street Art by Boa Mistura  � São Paulo Brazil ��   #streetart #art #arte #3D https://t.co/oeG1tqwVIH,United States,Portuguese,2017-03-08 13:56:00,2017-03-08 13:56:00,0,4347,189,,0
VestiZakharova,Англоязычный центр поддержки будет работать для болельщиков МЮ в Ростове-на-Дону https://t.co/AltzNY3zt8,United States,Russian,2017-03-08 14:44:00,2017-03-08 14:44:00,0,4347,190,,0
VestiZakharova,"Накладал: матч с ЦСКА был одним из простых в сезоне для ХК ""Локомотив"" https://t.co/ygnT6GeADN",United States,Ukrainian,2017-03-08 18:46:00,2017-03-08 18:47:00,0,4346,194,,0
