author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
VladimirVorono,"Отпуск в ""дикой"" России. История британца Подробности:  https://t.co/q5ltx1YemN https://t.co/yfsHfKsMXn",United States,Russian,2016-09-13T13:50:00,2016-09-13T13:50:00,322.0000000000,172.0000000000,102.0000000000,R,True
VladimirVorono,"Отпуск в ""дикой"" России. История британца Подробности:  https://t.co/q5ltx1YemN https://t.co/yfsHfKsMXn",United States,Russian,2016-09-13T13:50:00,2016-09-13T13:50:00,322.0000000000,172.0000000000,102.0000000000,R,True
VladimirVorono,"""Россия – это яд"". Bloomberg опубликовал инструкцию, как относиться к России Подробности:  https://t.co/r1iQSv8twX https://t.co/rssw2R4IDl",United States,Russian,2016-10-14T12:40:00,2016-10-14T12:40:00,322.0000000000,171.0000000000,127.0000000000,R,True
VladimirVorono,"""Россия – это яд"". Bloomberg опубликовал инструкцию, как относиться к России Подробности:  https://t.co/r1iQSv8twX https://t.co/rssw2R4IDl",United States,Russian,2016-10-14T12:40:00,2016-10-14T12:40:00,322.0000000000,171.0000000000,127.0000000000,R,True
VladimirVorono,"""Первое, что он сказал, было ""holy shit"". Американец в холодной России  https://t.co/bW3uwXCJDi https://t.co/EqnWJaVbfT",United States,Russian,2016-11-01T14:49:00,2016-11-01T14:49:00,322.0000000000,170.0000000000,138.0000000000,R,True
VladimirVorono,"Барышев М.: ""Сегодня ЦСКА - это целая страна""   https://t.co/WtnhcsIkOr https://t.co/ePGGzgqqsI",United States,Russian,2016-11-14T22:23:00,2016-11-14T22:23:00,322.0000000000,171.0000000000,147.0000000000,R,True
VladimirVorono,"Барышев М.: ""Сегодня ЦСКА - это целая страна""  https://t.co/c7HnIagQZ3 https://t.co/XFgdy8cjeI",United States,Russian,2016-11-15T07:50:00,2016-11-15T07:50:00,322.0000000000,171.0000000000,148.0000000000,R,True
VladimirVorono,Секрет бешеной популярности Твиттера сирийской девочки из Алеппо  https://t.co/fDmEokDLDX https://t.co/jerwsyEHAZ,United States,Russian,2016-11-29T11:54:00,2016-11-29T11:55:00,322.0000000000,171.0000000000,162.0000000000,R,True
VladimirVorono,Владимир Путин - самый влиятельный человек в мире по версии Forbes https://t.co/XHaoxg9jBi https://t.co/SAGy3tXK74,United States,Russian,2016-12-14T18:12:00,2016-12-14T18:12:00,322.0000000000,170.0000000000,178.0000000000,R,True
VladimirVorono,"Онищенко предложил перевести ""Боярышник"" в таблетки https://t.co/v5jHsvrIfv https://t.co/zDXtmsr1NY",United States,Russian,2017-01-11T12:18:00,2017-01-11T12:19:00,321.0000000000,170.0000000000,199.0000000000,R,True
