author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
VolodinArt,'@byDrBre а кобаева его уже не устраивает?!)',Unknown,Russian,2015-07-07T16:57:00,2015-07-07T17:00:00,1518.0000000000,186.0000000000,2086.0000000000,,False
VolodinArt,Базука для стрельбы котами и кот со взглядом-лазером. Бред? Да.    https://t.co/DruhBjWEgI http://t.co/loJrCmmyvv,Unknown,Ukrainian,2015-07-16T08:34:00,2015-07-16T08:34:00,1514.0000000000,186.0000000000,2099.0000000000,R,True
VolodinArt,"Студия Walt Disney снимет нового ""Аладдина"" http://t.co/kmfNLcXJAY",Unknown,Ukrainian,2015-07-16T09:52:00,2015-07-16T09:52:00,1514.0000000000,186.0000000000,2100.0000000000,R,True
VolodinArt,"""Яндекс"" выяснил, что россияне хотят знать о свадьбах http://t.co/nU73TxG88I",Unknown,Russian,2015-07-16T11:32:00,2015-07-16T11:33:00,1514.0000000000,186.0000000000,2101.0000000000,R,True
VolodinArt,Корейский рэпер и автор хита Gangnam Style на красном Rolls-Royce врезался в автобус http://t.co/H5GAV4a1EC,Unknown,Russian,2015-07-16T14:31:00,2015-07-16T14:31:00,1514.0000000000,186.0000000000,2103.0000000000,R,True
VolodinArt,Два человека пострадали в результате пожара в Южной Калифорнии  http://t.co/NbIUl2xqgI,Unknown,Russian,2015-07-18T01:31:00,2015-07-18T01:31:00,1514.0000000000,186.0000000000,2109.0000000000,R,True
VolodinArt,Педагогам медицинских вузов разрешат вести медицинскую деятельность  http://t.co/0iSHKXTtsq http://t.co/3EvMfcMcDO,Unknown,Russian,2015-07-18T07:51:00,2015-07-18T07:51:00,1514.0000000000,186.0000000000,2110.0000000000,R,True
VolodinArt,"""Правый сектор"" завершил свой митинг под администрацией Порошенко http://t.co/ydwDGnunXc",Unknown,Russian,2015-07-18T13:52:00,2015-07-18T13:53:00,1514.0000000000,186.0000000000,2111.0000000000,R,True
VolodinArt,"Сегодня знакомая с улицы, показала фотки пуль, которые нашла в своём дворе. Вот этой хренью утюжат Петровку. http://t.co/LemaO1U3Wt",Unknown,Russian,2015-07-19T14:33:00,2015-07-19T14:33:00,1514.0000000000,186.0000000000,2113.0000000000,R,True
VolodinArt,Шокирующее видео момента падения боинга на Украине! Максимальный RT!    http://t.co/TTcL3Oy9Ok,Unknown,Russian,2015-07-20T08:37:00,2015-07-20T08:37:00,1513.0000000000,186.0000000000,2114.0000000000,R,True
VolodinArt,"В результате подрыва смертника в турецком кафе: 27 убитых и свыше 100 раненых курдов, собиравшихся отправиться в Сирию для борьбы с ИГИЛ.",Unknown,Russian,2015-07-20T12:33:00,2015-07-20T12:34:00,1513.0000000000,186.0000000000,2115.0000000000,R,True
VolodinArt,Польша и Голландия запустят русскоязычный телеканал для противодействия «пропаганде» России: http://t.co/ef6P7kCdCt,Unknown,Russian,2015-07-20T16:53:00,2015-07-20T16:53:00,1513.0000000000,186.0000000000,2117.0000000000,R,True
VolodinArt,Владимир Путин устроит в Кремле торжественный прием в честь великого князя Владимира: http://t.co/3LMv0gDNGn,Unknown,Russian,2015-07-21T15:35:00,2015-07-21T15:35:00,1409.0000000000,186.0000000000,2122.0000000000,R,True
VolodinArt,Монахини не дают Кэти Перри купить монастырь http://t.co/121gCZiat0,Unknown,Ukrainian,2015-07-21T16:11:00,2015-07-21T16:11:00,1385.0000000000,186.0000000000,2123.0000000000,R,True
VolodinArt,Минобороны документально подтвердило статус арестованных в Донбассе военных #новости http://t.co/VbOkMmcoLa,Unknown,Russian,2015-07-21T23:34:00,2015-07-21T23:34:00,1333.0000000000,186.0000000000,2124.0000000000,R,True
VolodinArt,В Дагестане придумали жвачку «Love is» для мусульман  http://t.co/xEjjiKuCyJ http://t.co/dtrypIwd9r,Unknown,Ukrainian,2015-07-22T20:33:00,2015-07-22T20:33:00,1333.0000000000,187.0000000000,2126.0000000000,R,True
VolodinArt,Пентагон планирует поставку новых радаров на Украину http://t.co/5Ci2yLy5OF,Unknown,Russian,2015-07-22T22:12:00,2015-07-22T22:12:00,1333.0000000000,187.0000000000,2128.0000000000,R,True
