author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
Vorovskyy,"'@ComradZampolit @SPB_citizen @US_progress  Все от души были покорены этой акции, все теснились на параде, лишь бы видеть это чудо'",Azerbaijan,Russian,2015-05-10T18:29:00,2015-05-10T18:29:00,723.0000000000,162.0000000000,393.0000000000,,False
Vorovskyy,'@ComradZampolit @SPB_citizen @US_progress а они про постановку. Смешно очень',Azerbaijan,Russian,2015-05-10T18:30:00,2015-05-10T18:30:00,723.0000000000,162.0000000000,394.0000000000,,False
Vorovskyy,#Росмолодежь : идеи саммита молодежи БРИКС будут основой общей программы #BRICS  http://t.co/w3pcMGp8YU @fadm_ru http://t.co/IylNygnVxD,Azerbaijan,Russian,2015-07-07T10:02:00,2015-07-07T10:02:00,722.0000000000,170.0000000000,420.0000000000,R,True
Vorovskyy,#СчастливаяСтрана начинается со счастливой семьи http://t.co/bJumaY6o9o,Azerbaijan,Russian,2015-07-10T15:27:00,2015-07-10T15:27:00,720.0000000000,170.0000000000,436.0000000000,R,True
Vorovskyy,Дурачек бестолковый #СмехСквозьСлезы https://t.co/jyFjb9cVbw http://t.co/hpTyM4hIrw,Azerbaijan,Bulgarian,2015-07-22T15:37:00,2015-07-22T15:37:00,626.0000000000,171.0000000000,443.0000000000,R,True
Vorovskyy,"Смех без причины, признак дурачины #СмехСквозьСлезы https://t.co/N60FOv4UuZ http://t.co/x3a9WiSHB9",Azerbaijan,Russian,2015-07-22T15:38:00,2015-07-22T15:38:00,626.0000000000,171.0000000000,445.0000000000,R,True
Vorovskyy,почему данные со спутника до сих пор не обнародованы?! http://t.co/KFhzZXiC8S,Azerbaijan,Ukrainian,2015-07-27T11:11:00,2015-07-27T11:11:00,626.0000000000,171.0000000000,450.0000000000,R,True
Vorovskyy,'@VRSoloviev 69-летнюю пенсионерку призвали воевать в Донбассе http://t.co/Qr0hONXA0j http://t.co/K9JW7Sk2bP',Azerbaijan,Russian,2015-07-27T12:09:00,2015-07-27T12:09:00,626.0000000000,171.0000000000,451.0000000000,R,True
Vorovskyy,Взрыв на борту - причина крушения Боинга  http://t.co/yOVWSP7pMa,Azerbaijan,Russian,2015-07-29T11:47:00,2015-07-29T11:47:00,226.0000000000,171.0000000000,452.0000000000,R,True
Vorovskyy,Самая короткая зимняя Олимпиада за всю историю прошла в Алма-Ате http://t.co/0bqP22PCGd,Azerbaijan,Russian,2015-07-31T10:07:00,2015-07-31T10:07:00,226.0000000000,171.0000000000,455.0000000000,R,True
Vorovskyy,бессовестные люди #ВернитеДиану http://t.co/E7OxbkGWxH,Azerbaijan,Russian,2015-07-31T14:49:00,2015-07-31T14:50:00,226.0000000000,172.0000000000,456.0000000000,R,True
Vorovskyy,Захарченко: ОБСЕ игнорирует гибель мирных жителей   http://t.co/bvDdvi71yc http://t.co/7Wyyi5sYdh,Azerbaijan,Russian,2015-08-20T07:30:00,2015-08-20T07:30:00,225.0000000000,162.0000000000,475.0000000000,R,True
Vorovskyy,"История о том, как заказать петербургское такси в Пулково за 4 тыс и опоздать на 5 часов...  http://t.co/XLPkFKj0xZ http://t.co/Ry8us3IknM",Azerbaijan,Russian,2015-09-08T16:23:00,2015-09-08T16:23:00,225.0000000000,163.0000000000,482.0000000000,R,True
Vorovskyy,Глава ФМС: Потоки беженцев в Европу не угрожают России  http://t.co/uOjschSTHB http://t.co/v9FESdnLez,Azerbaijan,Russian,2015-09-09T11:57:00,2015-09-09T11:57:00,225.0000000000,163.0000000000,484.0000000000,R,True
Vorovskyy,"Вот в такую ситуацию можно попасть, если заказать первое попавшееся такси  http://t.co/lLiWML7UCi http://t.co/EGzPOn15mO",Azerbaijan,Russian,2015-09-09T12:30:00,2015-09-09T12:30:00,225.0000000000,163.0000000000,485.0000000000,R,True
Vorovskyy,Беспилотники США нанесли удары по Сирийской армии. Нарываются...  http://t.co/3243r3PhUG http://t.co/DCvbBFD57H,Azerbaijan,Russian,2015-09-13T12:18:00,2015-09-13T12:18:00,220.0000000000,162.0000000000,494.0000000000,R,True
Vorovskyy,Легко ли стать смертником?  http://t.co/t4ia90feH1,Azerbaijan,Russian,2015-09-23T16:42:00,2015-09-23T16:42:00,223.0000000000,163.0000000000,498.0000000000,R,True
Vorovskyy,'@realDonaldTrump http://t.co/fOFF5531wp',Azerbaijan,Russian,2015-10-10T13:33:00,2015-10-10T13:33:00,222.0000000000,160.0000000000,501.0000000000,R,True
Vorovskyy,"'@GrahamWP_UK Захарченко: скорее, Украина станет частью Донбасса, а не наоборот http://t.co/Assdop7Ey7 http://t.co/kkO2N9ZJMM'",Azerbaijan,Ukrainian,2015-10-14T16:39:00,2015-10-14T16:39:00,223.0000000000,158.0000000000,497.0000000000,R,True
Vorovskyy,Россия продолжает наносить удары на опережение #5причинбомбитьигил https://t.co/AwlIdDFzIu https://t.co/6cHxexwiMt,Azerbaijan,Russian,2015-10-21T16:11:00,2015-10-21T16:11:00,223.0000000000,159.0000000000,500.0000000000,R,True
Vorovskyy,Помощь ближнему-это важно! #5причинбомбитьигил https://t.co/eBaMBOZsGG,Azerbaijan,Russian,2015-10-21T16:14:00,2015-10-21T16:17:00,224.0000000000,159.0000000000,501.0000000000,R,True
Vorovskyy,С помощью ИГ США пытается захватить Ближний Восток #5причинбомбитьигил https://t.co/E1m1kTDPqq,Azerbaijan,Russian,2015-10-21T16:15:00,2015-10-21T16:15:00,224.0000000000,159.0000000000,502.0000000000,R,True
