author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
vlad0alekseev,занавес параллельной вселенной приоткрылся  https://t.co/drDKtNESYB,Unknown,Bulgarian,2015-06-22 10:45:00,2015-06-22 10:45:00,168,76,481,R,1
vlad0alekseev,«ВКонтакте» занимает 18-е место в рейтинге социальных сетей на 2015й год   http://t.co/Ab9FUiPmcJ,Unknown,Russian,2015-08-05 11:40:00,2015-08-05 11:40:00,144,81,514,R,1
vlad0alekseev,Зачем Трапм полез в политику?! Здравый смысл  RIP #ДональдТрамп http://t.co/RVoJeAgVsA,Unknown,Russian,2015-08-17 14:39:00,2015-08-17 14:40:00,144,83,529,R,1
vlad0alekseev,#ДональдТрамп успокой свои волосы http://t.co/wXws8HvI0I,Unknown,Russian,2015-08-17 14:54:00,2015-08-17 14:54:00,144,83,531,R,1
vlad0alekseev,'@McFaul @Yuri_Romanov @US_progress @Autogenz @USAID http://t.co/rTowrCJYJu',Unknown,Bulgarian,2015-08-20 15:40:00,2015-08-20 15:40:00,143,83,535,R,1
vlad0alekseev,У финансовых рынков почва уходит из-под ног.  Падают практически все фондовые и сырьевые активы  #BlackMonday http://t.co/5fFMP0RW2k,Unknown,Russian,2015-08-24 14:51:00,2015-09-20 03:28:00,143,83,536,R,1
vlad0alekseev,Опять кризис? http://t.co/OKWY6vvVqX,Unknown,Russian,2015-08-24 17:13:00,2015-08-24 17:13:00,143,84,537,R,1
vlad0alekseev,Если вас волнует курс рубля http://t.co/rTky7gmeuR,Unknown,Russian,2015-08-24 17:18:00,2015-08-24 17:18:00,143,84,538,R,1
vlad0alekseev,'@realDonaldTrump http://t.co/dYtMxmRTlt',Unknown,Bulgarian,2015-08-31 12:31:00,2015-08-31 12:31:00,143,83,543,R,1
vlad0alekseev,Навальный пригласил дипломатов США в Кострому для отчета   https://t.co/top8wyQANe http://t.co/jC5rTMszZM,Unknown,Ukrainian,2015-09-04 09:45:00,2015-09-04 09:45:00,143,84,549,R,1
vlad0alekseev,"История о том, как заказать петербургское такси в Пулково за 4 тыс и опоздать на 5 часов...  http://t.co/XLPkFKj0xZ http://t.co/Ry8us3IknM",Unknown,Russian,2015-09-08 14:44:00,2015-09-08 14:45:00,143,82,554,R,1
vlad0alekseev,'@realDonaldTrump @IvankaTrump http://t.co/icHvq9SPzr',Unknown,Bulgarian,2015-09-24 15:23:00,2015-09-24 15:25:00,144,83,574,R,1
vlad0alekseev,"Меркель видит кризис, но не видит его причин   http://t.co/K02VLQDsJR http://t.co/45LfDDSwJy",Unknown,Ukrainian,2015-09-25 15:17:00,2015-09-25 15:17:00,144,83,576,R,1
vlad0alekseev,АвтоВАЗ запустил серийный выпуск Lada Vesta #НоваяЛада,Unknown,Russian,2015-09-25 15:50:00,2015-09-25 15:51:00,144,83,577,,0
vlad0alekseev,«АвтоВАЗ» начал серийное производство LADA Vesta #НоваяЛада,Unknown,Russian,2015-09-25 16:04:00,2015-09-25 16:06:00,144,83,578,,0
vlad0alekseev,Официально стартовало производство новой Lada Vesta #НоваяЛада,Unknown,Russian,2015-09-25 16:15:00,2015-09-25 16:16:00,144,83,579,,0
vlad0alekseev,#НоваяЛада АвтоВАЗ начинает производство Lada Vesta,Unknown,Bulgarian,2015-09-25 16:29:00,2015-09-25 16:30:00,144,83,580,,0
vlad0alekseev,Начато серийное производство Lada Vesta #НоваяЛада,Unknown,Bulgarian,2015-09-28 18:36:00,2015-09-28 18:36:00,144,82,581,,0
vlad0alekseev,Первая серийная LADA Vesta окрашена в темно-серый цвет «плутон» #НоваяЛада,Unknown,Russian,2015-09-28 18:49:00,2015-09-28 18:49:00,144,82,582,,0
vlad0alekseev,«АвтоВАЗ» приступил к сборке Lada Vesta #НоваяЛада,Unknown,Serbian,2015-09-28 18:53:00,2015-09-28 18:53:00,144,82,583,,0
vlad0alekseev,Истина придет в каждый дом http://t.co/29iR05YElC,Unknown,Russian,2015-10-07 07:41:00,2015-10-07 07:41:00,144,81,585,R,1
vlad0alekseev,Всех поздравляю с выходом на Евро16! Слуцкий вот такой мужик � #СлуцкийНеУходи http://t.co/uMPUQSU9JY,Unknown,Russian,2015-10-13 15:13:00,2015-10-13 15:13:00,144,83,584,R,1
vlad0alekseev,Ужасы школьной практики http://t.co/rFM1wde5m6,Unknown,Russian,2015-10-18 16:49:00,2015-10-18 16:49:00,145,84,588,R,1
vlad0alekseev,'@realDonaldTrump @CNN @jaketapper @ABC @GStephanopoulos ВМайами сторонники Трампа напали на группу латиноамериканцев https://t.co/mqNMxYZMNG',Unknown,Russian,2015-10-25 13:16:00,2015-10-25 13:16:00,145,84,593,R,1
vlad0alekseev,Россия против терроризма: поле боя – Интернет  https://t.co/UiP4R5hmzH,Unknown,Russian,2015-11-05 07:17:00,2015-11-05 07:17:00,145,82,598,R,1
vlad0alekseev,"А для чего тогда он там? Доверять, теперь не доверяем #Syria #Turkey #Zakharova #S400 https://t.co/Fw5vVBPrX3",Unknown,Bulgarian,2015-11-26 15:32:00,2015-11-26 15:32:00,145,83,617,R,1
vlad0alekseev,"Размещение российских С-400 в Сирии, ноябрь 2015 года  #Syria #Latakia #S400 https://t.co/xpWHKUdsv6",Unknown,Russian,2015-11-26 16:26:00,2015-11-26 16:26:00,145,82,618,R,1
vlad0alekseev,Кому это НАТО?  https://t.co/mLFNSE5oY9,Unknown,Ukrainian,2015-12-02 15:06:00,2015-12-02 15:09:00,144,83,620,R,1
vlad0alekseev,"Количество автомобилей в Москве только прирастает, поэтому война с пробками - это надолго. Касательно всего остального, Собянин - #ЛучшийМэр",Unknown,Russian,2016-06-21 14:09:00,2016-06-21 14:18:00,141,82,634,,0
