author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
vysekii1,Royal Pub откроет летнюю веранду вечером электронной музыки http://t.co/xK1LgiLMYo,United Arab Emirates,Russian,2015-06-22 08:33:00,2015-06-22 08:33:00,1983,734,5114,R,1
vysekii1,"""Джи Эм АвтоВАЗ"" будет работать по четыре дня http://t.co/f3SCat3VdJ",United Arab Emirates,Russian,2015-06-24 12:11:00,2015-06-24 12:11:00,1981,731,5118,R,1
vysekii1,забавный ролик от ЯТЬ http://t.co/ClmRijyCH0,United Arab Emirates,Uzbek,2015-06-29 08:46:00,2015-06-29 08:47:00,1982,731,5125,R,1
vysekii1,Прошу пани: 5 польских фильмов в «Победе»  http://t.co/8tllLdNSt4 http://t.co/XFF9FjXOJ9,United Arab Emirates,Russian,2015-07-01 13:51:00,2015-07-01 13:51:00,1979,729,5131,R,1
vysekii1,СМИ: свыше 200 тысяч австрийцев поддержали референдум о выходе из ЕС http://t.co/Mr6vETN4NI Медленное обрушение европейских ценностей,United Arab Emirates,Russian,2015-07-02 17:55:00,2015-07-02 17:55:00,1982,730,5132,R,1
vysekii1,"23-летний водитель Lexus столкнулся лоб в лоб с ""Ладой"" на Канавинском мосту http://t.co/FQaGKGvvy4",United Arab Emirates,Russian,2015-07-08 07:31:00,2015-07-08 07:31:00,1979,727,5142,R,1
vysekii1,Путешествие с Украины в Китай: Джеки Чан выступит продюсером «Вия 2» http://t.co/B9HEadJ0oa http://t.co/gJ39xehiYO,United Arab Emirates,Russian,2015-07-09 13:32:00,2015-07-09 13:32:00,1979,728,5148,R,1
vysekii1,"'@MargoSavazh пожалуй, верно.'",United Arab Emirates,Russian,2015-07-10 22:27:00,2015-07-10 22:28:00,1977,730,5145,,0
vysekii1,"'@byDrBre Зато живой, должен быть рад'",United Arab Emirates,Russian,2015-07-13 23:02:00,2015-07-13 23:03:00,1976,730,5150,,0
vysekii1,ЦБ опубликовал топ-10 системно значимых банков http://t.co/VjHmoWgYsi,United Arab Emirates,Russian,2015-07-15 18:32:00,2015-07-16 14:37:00,1976,729,5157,R,1
vysekii1,В Греции начались столкновения протестующих с полицией #новости http://t.co/TxUpMF7p1w,United Arab Emirates,Russian,2015-07-15 19:53:00,2015-07-15 19:53:00,1976,729,5158,R,1
vysekii1,КАМАЗ арендовал у «Рубина» Сергея Давыдова http://t.co/KHanqQObtZ,United Arab Emirates,Russian,2015-07-16 08:52:00,2015-07-16 08:52:00,1976,729,5160,R,1
vysekii1,Голосовой помощник Siri начал исправлять пол и имя отчима Ким Кардашьян: http://t.co/6mHU8uwwIw,United Arab Emirates,Russian,2015-07-16 10:19:00,2015-07-16 10:19:00,1976,729,5161,R,1
vysekii1,Англичане расследуют деятельность немецкого Deutsche Bank в России http://t.co/vquaZ0CBty http://t.co/XdC5s8x935,United Arab Emirates,Russian,2015-07-16 10:20:00,2015-07-16 10:20:00,1976,729,5162,R,1
