author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
WilllliBrown,how to test a tire? https://t.co/JMOO6ttLu5,United States,English,2015-05-19 03:01:00,2015-05-19 03:01:00,137,48,388,,0
WilllliBrown,'@Humoritarian You bet!',United States,English,2015-06-04 17:48:00,2015-06-04 17:48:00,136,50,391,,0
WilllliBrown,Obama says the troops won’t join the combat but with the help they are already joining the battle #IraqVol3,United States,English,2015-06-14 16:42:00,2015-06-14 16:42:00,136,51,394,,0
WilllliBrown,What’s wrong with Obama? He wants peace and sends new troops to Iraq #IraqVol3,United States,English,2015-06-14 16:43:00,2015-06-14 16:44:00,136,51,395,,0
WilllliBrown,Obama is sending 450 more troops to Iraq to fight ISIL #IraqVol3,United States,English,2015-06-14 16:46:00,2015-06-14 16:46:00,136,51,399,,0
WilllliBrown,'@G__Aharon he sends them there so that they can give their weapon to ISIS',United States,English,2015-06-14 17:12:00,2015-06-14 17:13:00,136,51,400,,0
WilllliBrown,No mercy for Tsarnaev #TsarnaevsApology,United States,English,2015-06-25 20:49:00,2015-06-25 20:49:00,137,51,401,,0
WilllliBrown,I hope Tsarnaev isn't saying these things to try and get an appeal on his verdict #TsarnaevsApology,United States,English,2015-06-25 20:50:00,2015-06-25 20:51:00,137,51,402,,0
WilllliBrown,Death penalty is too easy. Suffering is what Dzhokhar Tsarnaev really deserves #TsarnaevsApology,United States,English,2015-06-25 20:53:00,2015-06-25 20:53:00,137,51,403,,0
WilllliBrown,We are all under the threat of the terrorism and we must defeat them #TsarnaevsApology,United States,English,2015-06-25 20:55:00,2015-06-25 20:55:00,137,51,404,,0
WilllliBrown,Killing killers does not prevent killing #TsarnaevsApology,United States,English,2015-06-25 20:57:00,2015-06-25 20:58:00,137,51,405,,0
WilllliBrown,"Oh, he's sorry. Well that's all right then #TsarnaevsApology",United States,English,2015-06-25 21:00:00,2015-06-25 21:00:00,137,51,406,,0
WilllliBrown,Brilliant. The USA continues to kill people whilst admonishing those who kill people #TsarnaevsApology,United States,English,2015-06-25 21:03:00,2015-06-25 21:03:00,137,51,407,,0
WilllliBrown,Terrorism is our big problem! Tsarnaev’s death will be good lesson for all of them #TsarnaevsApology,United States,English,2015-06-25 21:04:00,2015-06-25 21:04:00,137,51,408,,0
WilllliBrown,Why he hated people? Why didn't his religion tenets stop him from doing that? What's wrong with him and his religion? #TsarnaevsApology,United States,English,2015-06-25 21:12:00,2015-06-25 21:12:00,137,51,409,,0
WilllliBrown,'@Jenn_Abrams @washingtonpost loooooool',United States,English,2015-07-21 17:33:00,2015-07-21 17:33:00,136,50,410,,0
WilllliBrown,"'@Jenn_Abrams Yup, that's how it works'",United States,English,2015-07-29 17:49:00,2015-07-29 17:50:00,136,49,411,,0
WilllliBrown,"#LiesMenTell ""I did not have sexual relations with that woman"" http://t.co/47YJCbUmoS",United States,English,2015-07-31 16:58:00,2015-07-31 16:58:00,136,49,413,R,1
WilllliBrown,BUT - #Swiss police open criminal proceedings against #FIFA president @SeppBlatter http://t.co/WwSpotDsPJ http://t.co/wJcnKXNhmU,United States,English,2015-09-26 16:40:00,2015-09-26 16:40:00,135,47,416,R,1
WilllliBrown,BUT - who's who...#politics #elections2016 https://t.co/QlfNeB7TDt,United States,English,2015-09-27 11:30:00,2015-09-27 11:30:00,135,47,417,R,1
WilllliBrown,BUT - #Castro arrives in US for @UN meeting http://t.co/ToR64tOxbj #UNGA http://t.co/YVHdIixVuU,United States,English,2015-09-27 11:31:00,2015-09-27 11:32:00,135,47,418,R,1
