author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
ZaytcevY,Independent Association of Journalists for Peace (AJKF) has been created to unite journalists wishing to work freely http://t.co/puTV3SOnBJ,Iraq,English,2015-05-19 18:38:00,2015-05-19 18:39:00,1116,103,468,R,1
ZaytcevY,УИК-ЭНД В ОСВЕНЦИМЕ  Читаем!  http://t.co/nFuzmCf8fP,Iraq,Russian,2015-05-25 10:47:00,2015-05-25 10:47:00,1116,103,477,R,1
ZaytcevY,http://t.co/dd4RUzfW0e - за что убили кролика Алана?,Iraq,Uzbek,2015-05-26 14:57:00,2015-05-26 14:57:00,1116,103,478,R,1
ZaytcevY,стоит ли вообще отправлять детей в такие лагеря?! http://t.co/MaGIJ09vmR,Iraq,Russian,2015-06-08 09:14:00,2015-06-08 09:14:00,1115,100,482,R,1
ZaytcevY,#ТоргНеУместен  Евросоюз выразил готовность помочь Украине с оплатой газа в осенне-зимний период  http://t.co/TbKhPAzUIU,Iraq,Russian,2015-06-24 16:47:00,2015-06-24 16:47:00,1107,99,492,,0
ZaytcevY,Похоже скоро Греки освободятся от ЕС http://t.co/wAqQKo0y1D,Iraq,Russian,2015-07-03 17:27:00,2015-07-03 17:27:00,1106,101,500,R,1
ZaytcevY,"'@byDrBre да уж, конечно. Сами бы украинцы не смогли столько бреда наворотить без помощи'",Iraq,Russian,2015-07-05 23:20:00,2015-07-05 23:22:00,1106,100,502,,0
ZaytcevY,Топ 5 страхов Украины https://t.co/UqSYDwHhp1,Iraq,Ukrainian,2015-08-10 13:44:00,2015-08-10 13:44:00,388,98,512,R,1
ZaytcevY,#ЕСхочетПравду – Правду об отсутствии изолированности Крыма  http://t.co/k889ELN4JY Подключайтесь к хештегу! http://t.co/6HhQvpFg0E,Iraq,Russian,2015-08-14 13:23:00,2015-08-14 13:23:00,388,98,516,R,1
ZaytcevY,"Вот она, жизнь: что значит быть приемными родителями http://t.co/NnDBlVr24C http://t.co/hiAiaHzgL3",Iraq,Russian,2015-10-06 08:40:00,2015-10-06 08:40:00,384,99,530,,0
ZaytcevY,Как получить эстонское гражданство  https://t.co/p1TrTKmIA7,Iraq,Russian,2016-02-03 14:11:00,2016-02-03 14:14:00,355,98,527,R,1
ZaytcevY,Сайт определяющий эротический контент https://t.co/vjORXfYrXC называет фото Порошенко и Кличко - ПОРНОГРАФИЕЙ)))) https://t.co/kWwqSMZYBN,Iraq,Russian,2016-02-18 19:30:00,2016-02-18 19:31:00,356,100,531,R,1
ZaytcevY,Россия: ожидание и реальность. Мнение китаянки https://t.co/EQJxG5YgtY #Россия #RuOpen,Iraq,Russian,2016-02-19 14:01:00,2016-02-19 14:12:00,356,100,532,R,1
ZaytcevY,"В МЧС подтверждают, что на борту разбившегося в Ростове-на-Дону Boeing -737-800 находился 61 человек. #Boeing737800 https://t.co/Tvh7iRYZpd",Iraq,Russian,2016-03-19 03:15:00,2016-03-19 03:17:00,356,101,547,R,1
ZaytcevY,Гражданин Франции подал в суд на работодателя за скучную работу #МояСкучнаяРабота https://t.co/ukDCVxkFkx,Iraq,Russian,2016-05-03 17:22:00,2016-05-03 17:22:00,356,98,556,R,1
ZaytcevY,Француз потребовал от работодателя €360 тысяч за скучную работу #МояСкучнаяРабота https://t.co/YAG28PcSYQ,Iraq,Russian,2016-05-03 17:23:00,2016-05-03 17:23:00,356,98,557,R,1
ZaytcevY,"Пенсионер из Ростовской области убил двоих, желая отомстить за смерть жены  https://t.co/2cOmc8lNh6",Iraq,Russian,2016-05-13 16:12:00,2016-05-13 16:12:00,356,96,562,R,1
